Key,Value
5/30/2017 12:00:00 AM,20
5/31/2017 12:00:00 AM,3
6/1/2017 12:00:00 AM,6
6/2/2017 12:00:00 AM,3
6/3/2017 12:00:00 AM,8
6/4/2017 12:00:00 AM,13
6/5/2017 12:00:00 AM,0
6/6/2017 12:00:00 AM,0
6/7/2017 12:00:00 AM,0
6/8/2017 12:00:00 AM,0
6/9/2017 12:00:00 AM,0
6/10/2017 12:00:00 AM,0
6/11/2017 12:00:00 AM,21
6/12/2017 12:00:00 AM,2
6/13/2017 12:00:00 AM,0
6/14/2017 12:00:00 AM,0
6/15/2017 12:00:00 AM,6
6/16/2017 12:00:00 AM,4
6/17/2017 12:00:00 AM,18
6/18/2017 12:00:00 AM,29
6/19/2017 12:00:00 AM,5
6/20/2017 12:00:00 AM,0
6/21/2017 12:00:00 AM,5
6/22/2017 12:00:00 AM,2
6/23/2017 12:00:00 AM,3
6/24/2017 12:00:00 AM,63
6/25/2017 12:00:00 AM,5
6/26/2017 12:00:00 AM,22
6/27/2017 12:00:00 AM,13
6/28/2017 12:00:00 AM,19
6/29/2017 12:00:00 AM,2
6/30/2017 12:00:00 AM,0
7/1/2017 12:00:00 AM,3
7/2/2017 12:00:00 AM,10
7/3/2017 12:00:00 AM,1
7/4/2017 12:00:00 AM,0
7/5/2017 12:00:00 AM,6
7/6/2017 12:00:00 AM,0
7/7/2017 12:00:00 AM,10
7/8/2017 12:00:00 AM,0
7/9/2017 12:00:00 AM,0
7/10/2017 12:00:00 AM,14
7/11/2017 12:00:00 AM,6
7/12/2017 12:00:00 AM,10
7/13/2017 12:00:00 AM,18
7/14/2017 12:00:00 AM,6
7/15/2017 12:00:00 AM,0
7/16/2017 12:00:00 AM,0
7/17/2017 12:00:00 AM,22
7/18/2017 12:00:00 AM,12
7/19/2017 12:00:00 AM,17
7/20/2017 12:00:00 AM,16
7/21/2017 12:00:00 AM,31
7/22/2017 12:00:00 AM,119
7/23/2017 12:00:00 AM,150
7/24/2017 12:00:00 AM,53
7/25/2017 12:00:00 AM,99
7/26/2017 12:00:00 AM,60
7/27/2017 12:00:00 AM,90
7/28/2017 12:00:00 AM,203
7/29/2017 12:00:00 AM,409
7/30/2017 12:00:00 AM,363
7/31/2017 12:00:00 AM,213
8/1/2017 12:00:00 AM,68
8/2/2017 12:00:00 AM,31
8/3/2017 12:00:00 AM,8
8/4/2017 12:00:00 AM,34
8/5/2017 12:00:00 AM,40
8/6/2017 12:00:00 AM,14
8/7/2017 12:00:00 AM,0
8/8/2017 12:00:00 AM,113
8/9/2017 12:00:00 AM,319
8/10/2017 12:00:00 AM,213
8/11/2017 12:00:00 AM,747
8/12/2017 12:00:00 AM,906
8/13/2017 12:00:00 AM,407
8/14/2017 12:00:00 AM,632
8/15/2017 12:00:00 AM,311
8/16/2017 12:00:00 AM,262
8/17/2017 12:00:00 AM,95
8/18/2017 12:00:00 AM,40
8/19/2017 12:00:00 AM,79
8/20/2017 12:00:00 AM,21
8/21/2017 12:00:00 AM,34
8/22/2017 12:00:00 AM,32
8/23/2017 12:00:00 AM,5
8/24/2017 12:00:00 AM,5
8/25/2017 12:00:00 AM,15
8/26/2017 12:00:00 AM,21
8/27/2017 12:00:00 AM,4
8/28/2017 12:00:00 AM,20
8/29/2017 12:00:00 AM,21
8/30/2017 12:00:00 AM,14
8/31/2017 12:00:00 AM,15
9/1/2017 12:00:00 AM,33
9/2/2017 12:00:00 AM,4
9/3/2017 12:00:00 AM,15
9/4/2017 12:00:00 AM,0
9/5/2017 12:00:00 AM,2
9/6/2017 12:00:00 AM,0
9/7/2017 12:00:00 AM,0
9/8/2017 12:00:00 AM,0
9/9/2017 12:00:00 AM,0
9/10/2017 12:00:00 AM,3
9/11/2017 12:00:00 AM,0
9/12/2017 12:00:00 AM,6
9/13/2017 12:00:00 AM,0
9/14/2017 12:00:00 AM,0
9/15/2017 12:00:00 AM,18
9/16/2017 12:00:00 AM,8
9/17/2017 12:00:00 AM,0
9/18/2017 12:00:00 AM,0
9/19/2017 12:00:00 AM,3
9/20/2017 12:00:00 AM,4
9/21/2017 12:00:00 AM,10
9/22/2017 12:00:00 AM,14
9/23/2017 12:00:00 AM,7
9/24/2017 12:00:00 AM,3
9/25/2017 12:00:00 AM,0
9/26/2017 12:00:00 AM,0
9/27/2017 12:00:00 AM,0
9/28/2017 12:00:00 AM,0
9/29/2017 12:00:00 AM,12
9/30/2017 12:00:00 AM,20
10/1/2017 12:00:00 AM,0
10/2/2017 12:00:00 AM,16
10/3/2017 12:00:00 AM,5
10/4/2017 12:00:00 AM,0
10/5/2017 12:00:00 AM,0
10/6/2017 12:00:00 AM,0
10/7/2017 12:00:00 AM,0
10/8/2017 12:00:00 AM,12
10/9/2017 12:00:00 AM,2
10/10/2017 12:00:00 AM,0
10/11/2017 12:00:00 AM,0
10/12/2017 12:00:00 AM,5
10/13/2017 12:00:00 AM,13
10/14/2017 12:00:00 AM,62
10/15/2017 12:00:00 AM,48
10/16/2017 12:00:00 AM,40
10/17/2017 12:00:00 AM,46
10/18/2017 12:00:00 AM,57
10/19/2017 12:00:00 AM,75
10/20/2017 12:00:00 AM,231
10/21/2017 12:00:00 AM,435
10/22/2017 12:00:00 AM,219
10/23/2017 12:00:00 AM,85
10/24/2017 12:00:00 AM,48
10/25/2017 12:00:00 AM,48
10/26/2017 12:00:00 AM,67
10/27/2017 12:00:00 AM,40
10/28/2017 12:00:00 AM,56
10/29/2017 12:00:00 AM,32
10/30/2017 12:00:00 AM,44
10/31/2017 12:00:00 AM,13
11/1/2017 12:00:00 AM,10
11/2/2017 12:00:00 AM,8
11/3/2017 12:00:00 AM,0
11/4/2017 12:00:00 AM,0
11/5/2017 12:00:00 AM,0
11/6/2017 12:00:00 AM,0
11/7/2017 12:00:00 AM,0
11/8/2017 12:00:00 AM,0
11/9/2017 12:00:00 AM,6
11/10/2017 12:00:00 AM,0
11/11/2017 12:00:00 AM,27
11/12/2017 12:00:00 AM,26
11/13/2017 12:00:00 AM,39
11/14/2017 12:00:00 AM,13
11/15/2017 12:00:00 AM,21
11/16/2017 12:00:00 AM,32
11/17/2017 12:00:00 AM,101
11/18/2017 12:00:00 AM,32
11/19/2017 12:00:00 AM,62
11/20/2017 12:00:00 AM,38
11/21/2017 12:00:00 AM,5
11/22/2017 12:00:00 AM,22
11/23/2017 12:00:00 AM,32
11/24/2017 12:00:00 AM,10
11/25/2017 12:00:00 AM,18
11/26/2017 12:00:00 AM,21
11/27/2017 12:00:00 AM,22
11/28/2017 12:00:00 AM,28
11/29/2017 12:00:00 AM,13
11/30/2017 12:00:00 AM,22
12/1/2017 12:00:00 AM,0
12/2/2017 12:00:00 AM,0
12/3/2017 12:00:00 AM,0
12/4/2017 12:00:00 AM,0
12/5/2017 12:00:00 AM,0
12/6/2017 12:00:00 AM,0
12/7/2017 12:00:00 AM,12
12/8/2017 12:00:00 AM,4
12/9/2017 12:00:00 AM,33
12/10/2017 12:00:00 AM,12
12/11/2017 12:00:00 AM,6
12/12/2017 12:00:00 AM,245
12/13/2017 12:00:00 AM,870
12/14/2017 12:00:00 AM,1702
12/15/2017 12:00:00 AM,176
12/16/2017 12:00:00 AM,49
12/17/2017 12:00:00 AM,20
12/18/2017 12:00:00 AM,8
12/19/2017 12:00:00 AM,6
12/20/2017 12:00:00 AM,26
12/21/2017 12:00:00 AM,21
12/22/2017 12:00:00 AM,18
12/23/2017 12:00:00 AM,8
12/24/2017 12:00:00 AM,8
12/25/2017 12:00:00 AM,9
12/26/2017 12:00:00 AM,14
12/27/2017 12:00:00 AM,27
12/28/2017 12:00:00 AM,0
12/29/2017 12:00:00 AM,22
12/30/2017 12:00:00 AM,14
12/31/2017 12:00:00 AM,8
1/1/2018 12:00:00 AM,3
1/2/2018 12:00:00 AM,0
1/3/2018 12:00:00 AM,3
1/4/2018 12:00:00 AM,62
1/5/2018 12:00:00 AM,0
1/6/2018 12:00:00 AM,30
1/7/2018 12:00:00 AM,62
1/8/2018 12:00:00 AM,16
1/9/2018 12:00:00 AM,23
1/10/2018 12:00:00 AM,0
1/11/2018 12:00:00 AM,0
1/12/2018 12:00:00 AM,6
1/13/2018 12:00:00 AM,0
1/14/2018 12:00:00 AM,65
1/15/2018 12:00:00 AM,4
1/16/2018 12:00:00 AM,24
1/17/2018 12:00:00 AM,13
1/18/2018 12:00:00 AM,21
1/19/2018 12:00:00 AM,23
1/20/2018 12:00:00 AM,15
1/21/2018 12:00:00 AM,13
1/22/2018 12:00:00 AM,4
1/23/2018 12:00:00 AM,4
1/24/2018 12:00:00 AM,4
1/25/2018 12:00:00 AM,16
1/26/2018 12:00:00 AM,4
1/27/2018 12:00:00 AM,3
1/28/2018 12:00:00 AM,3
1/29/2018 12:00:00 AM,0
1/30/2018 12:00:00 AM,0
1/31/2018 12:00:00 AM,0
2/1/2018 12:00:00 AM,0
2/2/2018 12:00:00 AM,0
2/3/2018 12:00:00 AM,0
2/4/2018 12:00:00 AM,9
2/5/2018 12:00:00 AM,23
2/6/2018 12:00:00 AM,5
2/7/2018 12:00:00 AM,16
2/8/2018 12:00:00 AM,16
2/9/2018 12:00:00 AM,28
2/10/2018 12:00:00 AM,18
2/11/2018 12:00:00 AM,3
2/12/2018 12:00:00 AM,2
2/13/2018 12:00:00 AM,20
2/14/2018 12:00:00 AM,29
2/15/2018 12:00:00 AM,0
2/16/2018 12:00:00 AM,0
2/17/2018 12:00:00 AM,0
2/18/2018 12:00:00 AM,6
2/19/2018 12:00:00 AM,0
2/20/2018 12:00:00 AM,2
2/21/2018 12:00:00 AM,13
2/22/2018 12:00:00 AM,0
2/23/2018 12:00:00 AM,10
2/24/2018 12:00:00 AM,6
2/25/2018 12:00:00 AM,13
2/26/2018 12:00:00 AM,0
2/27/2018 12:00:00 AM,2
2/28/2018 12:00:00 AM,0
3/1/2018 12:00:00 AM,0
3/2/2018 12:00:00 AM,0
3/3/2018 12:00:00 AM,0
3/4/2018 12:00:00 AM,0
3/5/2018 12:00:00 AM,0
3/6/2018 12:00:00 AM,0
3/7/2018 12:00:00 AM,0
3/8/2018 12:00:00 AM,0
3/9/2018 12:00:00 AM,0
3/10/2018 12:00:00 AM,20
3/11/2018 12:00:00 AM,9
3/12/2018 12:00:00 AM,0
3/13/2018 12:00:00 AM,2
3/14/2018 12:00:00 AM,16
3/15/2018 12:00:00 AM,17
3/16/2018 12:00:00 AM,25
3/17/2018 12:00:00 AM,20
3/18/2018 12:00:00 AM,10
3/19/2018 12:00:00 AM,21
3/20/2018 12:00:00 AM,16
3/21/2018 12:00:00 AM,8
