oct| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
 01|??? | 2  | 2  | 10 | 16 | 2  | 2  | 4  | 2  | 4  |??? |??? | 3  | 2  | 8  | 6  | 3  | 5  | 1  |??? |??? |??? |??? |??? |
 02|??? |??? |??? |??? | 4  | 6  | 9  | 3  | 9  | 11 | 14 | 6  | 18 | 38 | 9  | 24 | 14 | 3  | 5  |??? | 3  | 6  | 4  |??? |
 03|??? |??? | 7  | 7  | 11 | 3  | 18 | 16 | 2  | 12 | 11 | 14 | 19 | 15 | 9  | 15 |??? |??? |??? |??? |??? |??? | 2  |??? |
 04|??? |??? |??? |??? |??? | 9  | 2  | 3  | 6  |??? | 3  |??? | 1  |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 05|??? |??? |??? |??? | 2  | 29 | 18 | 25 | 12 | 5  | 16 | 11 | 18 | 20 | 18 | 25 | 8  | 18 | 5  | 9  |??? |??? |??? |??? |
 06| 1  | 1  | 4  | 3  | 9  | 7  | 2  | 4  | 2  | 2  | 1  | 4  | 2  | 1  | 9  | 12 | 15 | 10 | 19 | 14 | 2  | 2  |??? |??? |
 07|??? |??? | 2  | 8  | 19 | 7  | 3  | 1  |??? | 20 | 3  | 7  | 11 | 6  | 17 | 16 | 13 | 14 | 23 | 8  | 4  | 9  |??? | 2  |
 08|??? | 3  | 16 |??? | 13 | 24 | 17 | 2  | 8  |??? | 9  | 2  | 12 | 21 | 29 | 27 | 9  | 11 | 6  | 2  | 11 | 3  |??? |??? |
 09| 6  | 2  | 1  | 4  | 20 | 20 | 21 | 24 | 25 | 2  | 10 | 14 | 26 | 23 | 9  | 9  | 20 | 27 | 6  | 8  | 5  | 7  | 3  |??? |
 10|??? |??? |??? | 9  | 9  | 3  |??? |??? | 4  | 4  |??? |??? | 5  | 5  | 14 | 9  | 12 | 18 |??? | 4  | 4  | 4  | 3  | 3  |
 11|??? |??? |??? |??? | 4  | 3  | 7  | 2  | 9  | 7  |??? |??? |??? |??? |??? | 4  | 4  | 10 | 10 | 10 | 1  |??? |??? | 1  |
 12|??? |??? | 5  | 1  | 13 |??? | 8  | 3  | 2  | 3  | 2  | 4  | 7  | 12 | 20 | 13 | 22 | 9  | 11 | 10 | 3  |??? |??? |??? |
 13|??? | 2  |??? | 1  | 2  | 3  | 4  | 1  | 10 | 3  | 10 | 14 | 18 | 12 | 17 | 1  | 15 | 11 | 1  | 10 | 2  |??? |??? | 2  |
 14|??? | 2  | 4  |??? | 2  | 17 | 10 | 11 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 15|??? |??? |??? | 3  | 14 | 35 | 13 | 7  | 21 | 11 | 9  | 24 | 30 | 20 | 17 | 25 | 35 | 22 | 8  | 12 | 11 |??? | 3  | 1  |
 16|??? | 3  | 8  | 7  | 14 | 5  | 15 | 5  | 3  | 7  | 11 | 15 | 13 | 15 | 16 | 9  | 12 | 16 | 2  |??? | 5  |??? |??? |??? |
 17|??? |??? |??? | 12 | 17 | 17 | 6  | 3  | 18 | 11 | 4  | 12 | 5  | 10 | 12 | 10 | 2  | 2  |??? |??? |??? |??? |??? | 2  |
 18|??? |??? |??? |??? | 2  | 14 | 17 | 4  | 7  | 7  | 7  | 6  | 11 | 9  | 13 | 9  | 7  | 10 | 11 | 8  | 11 | 10 | 4  |??? |
 19| 2  | 3  | 1  | 8  |??? | 1  | 2  | 15 | 4  | 12 | 5  | 2  | 11 | 9  | 5  | 7  |??? | 2  | 1  | 3  |??? |??? |??? |??? |
 20| 2  |??? |??? |??? |??? | 4  | 12 | 2  | 2  | 2  | 6  | 7  | 3  | 9  | 8  | 3  |??? |??? |??? | 4  | 7  |??? | 1  |??? |
 21|??? | 1  | 8  | 12 | 13 | 9  |??? | 8  | 6  | 15 | 9  | 5  | 5  | 6  | 2  | 17 | 5  | 1  | 2  | 2  |??? |??? | 2  |??? |
 22|??? | 1  | 3  | 3  | 4  | 6  |??? |??? | 1  | 13 | 1  | 2  | 13 | 3  | 7  | 5  | 9  |??? | 1  |??? |??? |??? |??? |??? |
 23|??? |??? |??? |??? | 1  | 15 | 4  | 14 | 5  | 2  | 8  | 6  | 9  | 11 | 11 | 18 | 9  | 2  | 1  | 2  | 2  | 4  | 7  |??? |
 24| 2  | 5  | 8  | 4  | 4  | 10 | 4  | 17 | 7  | 2  |??? | 8  | 10 | 3  | 9  | 10 | 17 | 8  | 9  | 4  | 4  | 4  |??? | 1  |
 25|??? |??? |??? | 10 | 16 | 5  | 10 | 3  | 6  | 4  | 2  | 2  | 3  | 10 |??? | 2  | 7  | 2  |??? | 5  | 3  | 1  |??? |??? |
 26| 2  | 2  | 9  | 4  | 5  | 6  | 12 | 24 | 29 | 7  | 3  | 9  | 10 | 17 | 9  | 12 | 9  | 10 | 4  | 9  |??? | 8  | 1  |??? |
 27| 1  |??? |??? |??? | 3  | 31 | 3  | 1  |??? |??? |??? |??? |??? |??? | 1  | 3  |??? |??? |??? |??? |??? |??? |??? |??? |
 28| 1  |??? |??? | 2  | 12 |??? |??? | 6  | 7  | 15 | 16 | 5  | 8  | 5  | 20 | 17 | 20 | 8  | 19 | 4  | 2  | 4  | 6  | 3  |
 29| 9  | 8  | 5  | 2  | 20 | 23 | 17 | 11 | 12 | 14 | 12 | 5  | 12 | 15 | 27 | 9  | 10 | 15 | 2  | 5  | 3  |??? |??? |??? |
 30|??? |??? | 6  | 12 | 7  | 9  | 9  | 11 | 13 | 6  | 12 | 7  | 11 | 17 | 3  | 16 | 9  | 10 | 5  |??? |??? |??? |??? |??? |
 31| 4  |??? |??? | 4  | 10 | 3  | 7  | 6  | 3  | 2  | 4  | 3  | 5  | 6  | 7  | 8  | 5  | 9  | 10 |??? |??? | 7  |??? |??? |
