mar| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
 01|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 02|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 03|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 04|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 05|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 06|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 07|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 08|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 09|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 10|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 11|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 12|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 13|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 14|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 15|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 16|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 17|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 18|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 19|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 20|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 21|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 22|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 1  |??? |
 23|??? | 1  | 3  |??? |??? | 1  | 1  |??? | 1  |??? |??? |??? |??? |??? |??? | 1  | 2  | 2  | 1  | 1  |??? |??? |??? |??? |
 24|??? | 1  | 1  |??? |??? |??? |??? |??? |??? |??? | 1  | 1  |??? | 1  |??? |??? |??? |??? |??? | 1  |??? |??? |??? |??? |
 25|??? |??? |??? |??? |??? | 1  | 2  |??? |??? | 2  | 2  |??? | 1  |??? |??? |??? |??? | 1  |??? |??? |??? |??? |??? |??? |
 26|??? |??? | 1  | 1  |??? |??? |??? |??? | 2  |??? |??? |??? | 1  |??? |??? |??? |??? |??? | 1  |??? |??? |??? |??? |??? |
 27|??? | 1  | 3  |??? | 2  | 1  | 3  |??? |??? | 1  |??? |??? | 1  | 2  |??? | 3  |??? | 6  | 1  |??? | 3  |??? |??? | 1  |
 28| 1  | 2  | 2  |??? | 1  | 4  | 2  | 2  | 1  | 1  | 5  | 2  | 2  | 5  |??? |??? | 1  |??? | 2  | 1  | 1  | 1  | 1  | 2  |
 29|??? |??? | 1  |??? | 1  |??? | 1  | 1  |??? | 1  | 4  | 3  | 4  | 3  | 1  | 3  | 4  |??? | 1  | 2  |??? |??? |??? |??? |
 30| 2  | 1  |??? |??? |??? |??? | 1  |??? | 2  |??? |??? | 1  | 2  | 5  | 4  | 5  | 6  | 2  | 10 | 2  | 6  | 1  | 1  | 1  |
 31|??? | 1  | 1  | 1  | 2  | 14 | 7  | 8  | 2  | 8  | 8  | 6  | 1  | 1  | 4  | 6  | 5  | 1  | 2  | 5  | 4  |??? | 2  | 1  |
