dec| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
 01|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 02|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 03|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 04|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 05|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 06|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 07|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 08|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 09|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 10|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 11|??? |221 |279 |309 |312 |376 |404 |397 |448 |453 |423 |402 |398 |375 |352 |309 |327 |302 |275 |234 |203 |210 |182 |179 |
 12|209 |231 |264 |314 |338 |397 |421 |432 |494 |469 |471 |466 |405 |397 |402 |364 |328 |315 |279 |??? |268 |236 |203 |211 |
 13|212 |214 |258 |321 |305 |376 |419 |458 |509 |524 |502 |496 |476 |408 |369 |375 |389 |377 |352 |304 |277 |213 |??? |232 |
 14|217 |209 |221 |258 |236 |304 |357 |386 |402 |431 |433 |397 |407 |358 |342 |336 |302 |306 |286 |242 |228 |197 |189 |205 |
 15|??? |??? |241 |235 |379 |357 |405 |383 |401 |424 |431 |405 |399 |364 |376 |306 |318 |300 |296 |264 |218 |202 |188 |164 |
 16|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 17|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 18|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 19|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 20|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 21|192 |209 |243 |300 |298 |321 |395 |399 |406 |421 |417 |409 |391 |388 |365 |343 |320 |319 |242 |232 |201 |215 |??? |173 |
 22|242 |279 |??? |334 |319 |334 |371 |402 |424 |439 |431 |426 |401 |391 |388 |372 |355 |323 |296 |302 |293 |244 |221 |224 |
 23|189 |201 |246 |352 |302 |341 |386 |409 |411 |436 |433 |406 |412 |401 |376 |373 |332 |330 |285 |247 |232 |222 |207 |203 |
 24|211 |216 |223 |275 |269 |309 |354 |377 |403 |421 |404 |401 |398 |364 |379 |354 |342 |307 |299 |247 |218 |201 |186 |196 |
 25|??? |??? |206 |275 |306 |312 |379 |389 |409 |402 |422 |406 |385 |374 |372 |337 |346 |304 |??? |254 |219 |??? |194 |204 |
 26|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
