jul| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
 01| 1  | 9  | 4  | 3  | 5  | 2  | 8  | 4  |??? |??? |??? |??? |??? | 6  | 7  |??? |??? |??? |??? | 2  |??? |??? |??? | 4  |
 02| 13 | 2  | 4  | 5  | 7  | 21 | 4  | 6  | 3  | 6  |??? | 14 |??? |??? |??? |??? | 2  | 1  |??? | 2  |??? | 3  | 6  | 9  |
 03| 5  | 7  | 9  | 8  | 9  | 5  | 4  | 7  | 7  |??? |??? |??? | 1  | 7  |??? | 2  |??? | 3  | 1  | 1  | 1  | 2  | 3  | 4  |
 04| 2  | 10 | 13 | 8  | 9  | 7  | 8  | 11 | 8  | 6  | 10 | 7  | 5  |??? |??? |??? | 2  | 2  | 4  |??? | 3  | 3  | 10 | 9  |
 05| 2  | 5  | 5  | 8  | 10 | 15 | 11 | 4  | 4  | 3  | 2  | 1  | 2  | 3  | 1  | 1  |??? |??? | 1  | 2  |??? |??? | 3  | 1  |
 06| 6  | 7  | 8  | 11 | 6  | 7  | 5  | 7  | 6  | 1  | 5  | 10 | 7  | 7  | 2  |??? | 2  |??? | 1  | 1  | 2  | 2  | 3  | 4  |
 07| 7  | 13 | 6  | 11 | 9  | 5  | 11 | 6  | 4  | 4  | 8  |??? | 3  | 4  | 3  | 6  |??? | 1  | 2  | 1  | 4  | 3  |??? |??? |
 08|??? |??? |??? |??? |??? |??? | 3  | 3  | 10 | 5  | 6  | 3  | 3  | 2  | 3  | 4  |??? | 3  | 1  | 1  | 2  | 1  | 3  | 5  |
 09| 1  | 3  | 3  | 3  | 6  | 9  | 6  | 4  |??? |??? |??? |??? | 2  | 5  | 1  | 4  | 3  | 1  | 1  |??? |??? |??? | 1  | 11 |
 10| 3  | 2  | 3  | 2  | 4  | 6  | 15 | 8  | 3  | 3  |??? | 2  | 2  |??? | 4  | 4  |??? |??? |??? |??? |??? |??? |??? |??? |
 11|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 3  |??? |??? |??? |??? |??? |??? |
 12|??? |??? |??? |??? | 10 | 10 | 4  |??? |??? |??? | 2  |??? |??? |??? |??? | 1  | 2  | 2  | 2  | 2  |??? |??? |??? | 6  |
 13| 7  | 13 | 2  | 13 | 3  | 13 | 1  | 3  | 11 |??? | 4  | 3  | 4  |??? | 2  | 1  | 1  | 2  |??? |??? |??? | 1  | 4  | 5  |
 14| 5  | 6  | 10 | 15 | 5  | 6  | 2  | 9  | 5  |??? |??? |??? | 4  | 6  |??? | 1  | 1  |??? |??? | 5  | 1  | 1  | 4  | 6  |
 15| 8  | 12 | 5  | 12 | 11 | 5  | 12 | 9  | 5  | 7  |??? |??? | 2  |??? | 1  | 4  |??? |??? | 2  |??? | 4  |??? | 5  | 5  |
 16| 12 | 4  | 3  | 6  | 8  | 7  | 12 | 3  | 6  | 1  |??? |??? | 4  | 2  |??? |??? | 1  | 2  | 1  | 2  |??? |??? | 2  | 2  |
 17| 1  | 6  | 4  | 8  | 4  | 6  |??? | 3  | 4  |??? | 3  |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 7  |
 18| 5  | 4  | 2  | 3  | 3  | 10 | 1  | 12 | 7  | 3  | 2  | 1  | 2  | 4  | 2  | 1  |??? |??? | 1  | 2  |??? | 2  | 3  | 4  |
 19| 3  | 5  | 4  | 9  | 3  | 1  | 5  | 3  | 1  | 6  | 4  | 2  | 4  |??? |??? | 1  | 1  | 2  | 1  | 2  |??? | 3  | 1  | 7  |
 20| 8  | 8  | 6  | 12 | 7  | 3  | 6  | 6  | 2  | 1  | 2  |??? |??? |??? | 2  | 1  |??? | 3  | 1  |??? | 3  | 3  | 1  | 3  |
 21| 4  | 5  | 5  | 7  | 7  |??? | 8  | 5  | 5  | 5  | 7  |??? |??? |??? |??? |??? |??? | 7  | 2  | 1  | 4  |??? | 1  | 6  |
 22| 3  | 6  | 11 | 19 | 1  | 6  | 6  | 9  | 4  | 5  |??? |??? |??? | 3  | 3  |??? | 2  | 8  |??? | 3  |??? | 5  | 7  | 7  |
 23| 5  | 7  | 8  | 6  | 3  | 2  | 8  |??? |??? | 1  | 2  | 5  |??? |??? | 1  |??? | 1  |??? |??? |??? |??? |??? | 4  | 5  |
 24| 1  | 10 |??? | 4  | 8  | 3  |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 1  | 2  |??? | 7  | 2  | 7  | 6  |
 25| 16 | 11 | 10 | 8  | 9  | 6  | 8  | 3  | 5  | 5  | 3  | 6  | 2  |??? | 1  | 1  |??? |??? | 1  |??? | 2  | 6  | 5  | 2  |
