jul| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
 01| 4  | 3  | 4  | 4  | 7  |??? | 1  | 1  |??? |??? | 1  |??? | 2  | 1  | 1  | 2  | 2  | 3  | 4  | 3  | 3  | 3  | 3  | 2  |
 02| 4  | 3  | 4  | 3  | 2  |??? |??? | 1  |??? | 1  | 1  | 3  | 7  | 54 | 44 | 18 | 5  | 1  | 1  |??? | 3  | 1  | 4  | 2  |
 03| 2  | 7  | 4  | 2  | 4  | 8  |??? | 1  | 2  |??? | 1  | 1  |??? | 1  |??? | 2  |??? |??? | 1  | 1  | 6  | 4  | 2  | 1  |
 04| 9  | 7  | 3  | 10 | 1  | 1  | 6  | 1  |??? | 1  | 2  | 1  |??? |??? |??? |??? |??? |??? | 3  |??? | 1  | 3  | 3  | 3  |
 05| 3  | 2  | 3  | 2  |??? | 1  |??? | 2  | 2  | 15 | 8  |114 | 53 |112 | 36 |106 | 44 | 10 | 2  | 1  | 3  |??? | 1  | 1  |
 06| 3  | 4  | 3  | 5  | 1  | 13 | 45 | 68 | 45 | 44 | 13 |??? | 2  |??? | 1  | 1  | 1  | 1  | 2  | 2  | 2  | 1  |??? | 5  |
 07| 1  | 4  | 4  | 2  | 4  | 1  | 2  | 3  | 5  | 2  | 4  | 2  | 2  | 2  | 1  |??? |??? |??? |??? |??? | 1  |??? |??? | 1  |
 08| 3  | 1  |??? |??? | 1  | 1  | 3  | 1  | 4  | 1  | 3  |??? | 3  | 3  | 3  | 1  |??? | 2  | 2  | 3  | 3  | 5  | 3  | 2  |
 09| 6  | 2  | 1  | 5  | 10 | 16 |??? | 1  |??? | 1  |??? |??? |??? |??? |??? | 2  | 1  |??? | 2  |??? | 1  | 2  |??? | 1  |
 10|??? | 1  | 1  |??? |??? |??? |??? | 1  |??? | 1  |??? | 6  |??? | 8  | 22 | 27 | 55 | 5  |??? |??? | 1  |??? |??? |??? |
 11| 1  |??? |??? | 2  | 1  | 3  | 2  | 1  |??? | 1  | 2  | 2  |??? |??? |??? |??? | 1  |??? | 3  | 8  | 94 | 2  | 1  | 4  |
 12| 1  |??? | 3  | 2  | 7  | 23 | 1  | 1  |??? | 1  |??? |??? | 4  | 16 | 15 | 41 | 8  | 1  |??? | 1  | 1  | 6  | 2  | 2  |
 13| 3  |??? | 4  | 2  | 2  |??? | 1  | 8  |??? | 2  | 1  |??? | 1  | 41 | 10 | 15 |??? |??? | 1  |??? | 4  |??? | 4  | 3  |
 14| 4  | 2  | 2  | 3  | 3  |??? | 2  | 1  | 1  | 1  |??? |??? | 2  | 15 | 3  |??? |??? |??? | 1  | 2  |??? | 2  | 1  |??? |
 15| 3  |??? |??? | 2  | 1  |??? |??? |??? | 1  |??? | 1  |??? |??? |??? |??? |??? | 3  |??? |??? | 1  |??? | 1  |??? |??? |
 16|??? | 2  |??? |??? |??? | 2  | 2  | 2  |??? | 1  | 7  |??? |??? | 6  | 54 |108 | 24 | 9  | 2  | 3  |??? |??? | 2  |??? |
