may| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
 01|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 28 | 33 | 38 |
 02| 46 | 37 | 56 | 61 | 93 |125 |110 |137 |104 | 97 | 69 | 50 | 47 | 61 | 63 | 40 | 27 | 12 | 10 |??? |??? |??? |??? |??? |
 03|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 34 | 33 | 55 |
 04| 40 | 53 | 97 |126 |141 |153 |185 |185 |139 |142 |125 |107 | 97 | 83 | 82 | 51 | 41 | 29 | 15 | 21 | 22 | 34 | 28 | 42 |
 05| 71 | 66 | 87 |110 |177 |200 |173 |183 |171 |152 |109 | 94 | 74 | 67 | 70 | 55 | 33 | 16 | 13 | 12 | 15 | 24 | 34 | 56 |
 06| 59 | 83 | 95 |154 |165 |171 |198 |194 |167 |126 |126 | 94 |100 | 92 | 99 | 67 | 32 | 22 | 24 | 16 | 26 | 28 | 47 | 67 |
 07| 76 | 89 | 83 |155 |182 |184 |218 |215 |200 |157 |147 |112 |100 | 81 | 96 | 59 | 29 | 20 |??? |??? |??? |??? |??? |??? |
 08|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 09|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 10|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 11|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 12|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 15 | 25 | 35 | 42 | 43 |
 13| 58 | 83 | 81 |108 |131 |139 |132 |109 |113 |104 | 82 | 57 | 64 | 90 |114 | 74 | 36 | 20 | 20 | 17 | 21 | 38 | 40 | 65 |
 14| 67 | 72 | 96 |130 |136 |143 |155 |149 |120 |106 | 86 | 93 | 95 |105 |??? | 79 | 60 | 29 | 26 | 27 | 32 | 61 | 77 | 78 |
 15| 82 | 83 |120 |151 |177 |146 |169 |159 |157 | 57 | 59 | 78 | 81 | 99 |100 | 68 | 52 | 38 | 23 |??? |??? |??? |??? |??? |
 16|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 17|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 18|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 19|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 20|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 15 | 25 | 35 | 42 | 43 |
 21| 72 | 98 |114 |123 |136 |147 |140 |161 |131 | 96 | 69 | 29 | 62 | 86 | 96 | 91 | 66 | 39 | 36 | 27 | 33 | 41 | 49 | 89 |
 22| 87 | 86 | 93 |112 | 93 |102 | 90 |124 | 98 | 81 |??? |??? |??? |??? |??? |??? | 50 | 29 | 24 | 19 | 48 |??? |??? |??? |
 23|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 24|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 25|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 26|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
