jun| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
 01|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 60 | 50 | 75 | 78 | 92 |100 | 53 |??? |??? | 20 | 26 | 35 | 50 | 62 |
 02|??? | 71 |114 |??? |146 |179 |174 |131 |??? |??? |102 | 44 | 67 |110 |??? |??? |??? |??? |??? |??? | 38 | 60 | 57 | 72 |
 03| 66 | 63 | 66 |137 |127 |190 |170 |??? |??? |??? |??? |114 |135 |172 |162 |??? |??? |??? |??? |??? |??? | 38 | 42 | 67 |
 04| 76 | 98 |140 |163 |216 |215 |256 |241 |246 |129 |117 |??? |??? |??? |164 |134 | 89 | 46 | 34 | 37 | 42 | 48 | 46 | 67 |
 05| 77 |101 |133 |195 |202 |245 |226 |236 |206 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 65 | 98 |
 06| 88 |103 |134 |202 |241 |260 |274 |276 |268 |181 | 95 | 97 |129 | 99 |136 | 52 | 74 |??? |??? |??? |??? | 33 | 66 | 72 |
 07| 76 |??? |??? |149 |188 |??? |??? |??? |??? |??? | 87 |??? |??? |??? |167 |104 |??? |??? |??? | 20 | 28 | 53 | 54 | 67 |
 08| 97 |114 |126 |200 |243 |245 |267 |243 |206 |146 | 98 | 82 |137 |189 |179 |129 | 86 | 52 | 19 | 10 | 31 | 29 | 54 | 60 |
 09| 93 | 90 |136 |191 |223 |290 |277 |284 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 10|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 11|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 12|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 13|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 14|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 15|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 16|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 17|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 18|??? |??? |??? |??? |??? |??? |??? |??? |??? |130 |113 |??? |??? |??? |??? |130 | 99 | 49 |??? |??? |??? | 47 | 86 | 83 |
 19|118 |150 |175 |203 |240 |280 |206 |??? |??? |??? |131 |130 |141 |149 |157 |137 | 91 |??? |??? | 43 | 63 |??? |??? |??? |
 20|??? |??? |189 |208 |254 |233 |250 |??? |??? |??? |??? |??? |??? |??? |??? |??? | 83 |??? |??? | 77 |??? |??? |??? |155 |
 21|140 |160 |208 |205 |237 |228 |236 |206 |207 |171 |??? |??? |??? |??? |??? |117 | 86 |??? |??? | 37 | 47 | 64 |106 |129 |
 22|102 |134 |176 |193 |225 |237 |226 |224 |187 |??? | 89 | 90 |130 |130 |148 |??? |??? |??? | 31 | 31 | 52 |??? |??? |??? |
 23|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 24|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 25|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 26|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
