aug| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
 01|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 02|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 03|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 50 |??? |??? |
 04|??? |??? |??? |??? |100 | 82 |??? |??? |??? |??? |??? |??? |??? |??? | 36 | 56 | 33 | 18 | 15 |??? |??? | 22 | 56 | 53 |
 05| 49 | 83 | 73 |114 |??? | 57 | 59 |110 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 42 | 27 | 29 | 34 |
 06| 31 | 65 |??? |??? | 53 | 69 | 62 | 30 | 51 |??? | 51 |??? |??? | 23 | 34 | 36 | 17 | 24 | 9  |??? |??? | 29 | 23 | 81 |
 07| 68 | 70 | 60 | 80 | 74 | 58 | 48 | 37 |??? |??? | 68 |??? |??? |??? | 50 |??? |??? |??? |??? | 31 | 9  | 21 | 35 |??? |
 08|??? | 60 | 65 | 82 |186 |126 |107 | 58 | 44 | 52 | 42 | 24 | 41 | 53 | 25 | 25 | 14 | 24 | 13 |??? | 19 | 40 | 34 | 55 |
 09| 59 | 65 | 59 | 85 | 57 | 52 | 65 | 48 | 59 | 39 | 46 | 34 | 64 | 39 | 57 |??? | 15 | 14 | 22 | 14 | 15 | 32 | 62 | 59 |
 10| 82 |100 | 71 | 68 |113 |125 | 72 | 53 | 38 | 64 | 65 | 61 | 64 | 61 | 61 | 53 | 39 | 20 | 31 | 34 | 36 | 30 | 38 | 33 |
 11| 50 | 66 | 40 | 64 | 87 | 51 | 44 | 46 | 78 |116 | 78 | 63 | 85 |??? | 66 | 42 | 30 | 30 | 41 | 23 | 17 | 41 | 26 | 68 |
 12| 97 | 95 |??? |104 |132 |??? |??? |204 |255 |203 |??? |130 |??? |??? | 65 | 64 | 79 | 49 | 27 | 26 | 15 | 52 | 32 | 45 |
 13| 77 | 96 | 87 |136 |142 | 62 | 59 | 77 |??? |??? |??? |??? |??? |??? | 66 |??? | 98 | 31 | 29 |??? |??? | 74 | 66 | 58 |
 14| 44 | 96 | 70 | 58 | 85 | 71 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 15|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 16|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 17|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 18|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 19|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 20|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 21|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 22|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 23|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 24|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 25|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 26|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
