Dec| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  2|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  3|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  4|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 11 | 25 | 18 |??? | 24 | 25 | 13 |??? |??? |??? |??? |??? |??? |??? |
  5|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 12 |  5 |  8 |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  6|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  9 | 14 |  6 | 11 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  7|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 15 |  9 | 10 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  8|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  6 |  6 |  4 |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  9|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  7 |  9 |??? |??? |??? | 24 | 10 | 10 |??? |??? |??? |??? |??? |??? |
 10|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  6 |  8 |  2 | 11 |  7 |??? |??? |  6 |??? |??? |??? |??? |??? |??? |
 11|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  9 | 19 |  9 | 15 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 12|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 16 | 11 |??? |??? |  5 | 20 |  4 | 10 |??? |??? |??? |??? |??? |??? |
 13|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 41 | 40 | 33 | 23 | 11 |  8 |??? |??? |??? |??? |??? |??? |??? |??? |
 14|  4 |  5 |  2 |  4 |??? |??? | 16 | 58 | 57 | 67 | 63 | 58 | 42 | 22 | 17 | 11 |??? |??? |??? |??? |??? |??? |??? |??? |
 15|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  7 |  4 | 10 |  6 |??? |??? |??? |??? |??? |??? |??? |??? |
 16|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 |  4 |  4 |  9 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 17|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  2 |  7 |  6 |  5 |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 18|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  6 |  3 |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 19|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 20|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  7 |  5 |??? |??? |??? |  9 |  7 |??? |??? |??? |??? |??? |
 21|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  6 |  7 |  1 |  6 |  5 |??? |??? |??? |??? |??? |??? |??? |??? |
 22|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  4 |??? |??? | 13 | 12 |  9 | 14 | 12 | 14 |??? |??? |??? |
 23|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 | 15 | 19 | 18 | 20 | 23 | 17 |  8 |??? |??? |??? |??? |??? |??? |
 24|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 | 17 | 19 | 21 | 30 | 22 | 25 |??? |??? |??? |??? |??? |??? |??? |
 25|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 16 |??? |??? |??? | 12 | 14 | 15 |??? |??? |??? |??? |??? |
 26|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 16 | 22 | 11 |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 | 14 |  6 |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 20 | 16 |  5 |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  7 | 15 | 21 |  8 | 11 |  8 |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 17 | 13 | 14 | 12 |??? |??? |??? |??? |??? |??? |??? |??? |

