Aug| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  2|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  3|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  4|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  5|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  6|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  7|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  8|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  9|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 10|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 11|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 12|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 13|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 14|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 15|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |182 |138 |122 |111 | 95 |130 |124 |161 |163 |214 |
 16|225 |261 |251 |225 |227 |221 |234 |294 |251 |229 |205 |208 |??? |??? |??? |122 |105 |107 |111 |134 |122 |134 |180 |210 |
 17|217 |297 |246 |238 |204 |228 |228 |217 |232 |215 |178 |162 |163 |198 |145 |101 |??? | 83 | 96 |118 |157 |192 |157 |??? |
 18|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 19|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 20|??? |??? |??? |??? |??? |??? |??? |??? |??? |119 |198 |196 |179 |174 |135 |104 |114 |??? |??? |??? |??? |??? |??? |??? |
 21|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 22|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |174 |209 |158 |161 |149 |111 |106 | 96 |136 |159 |203 |159 |177 |
 23|237 |273 |286 |226 |209 |229 |252 |267 |251 |250 |218 |172 |217 |165 |143 |141 |102 |101 |106 |113 |116 |143 |178 |189 |
 24|208 |243 |275 |243 |195 |218 |253 |234 |257 |200 |194 |194 |151 |178 |144 |115 |112 | 96 |292 | 89 |130 |166 |142 |170 |
 25|222 |233 |231 |191 |203 |225 |255 |226 |210 |187 |178 |178 |163 |170 |126 |111 | 93 | 88 |??? |134 |153 |135 |178 |192 |
 26|175 |237 |241 |214 |193 |210 |239 |242 |240 |218 |167 |190 |144 |142 |140 |118 |121 |103 |107 |114 |117 |166 |164 |189 |
 27|227 |241 |260 |211 |165 |211 |232 |236 |263 |238 |198 |193 |199 |150 |141 |118 |108 |103 |103 |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |256 |269 |231 |187 |209 |163 |141 |135 |102 |103 |105 |145 |158 |168 |168 |156 |
 30|211 |215 |241 |227 |186 |204 |223 |270 |283 |250 |196 |185 |186 |162 |158 |140 |112 |109 | 90 |108 |150 |118 |162 |161 |
 31|195 |224 |231 |215 |209 |171 |245 |300 |296 |181 |194 |183 |178 |173 |142 |120 |124 | 86 | 98 |118 |118 |166 |138 |127 |

