Apr| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1| 44 |  9 | 14 | 36 | 38 | 55 | 54 | 44 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 16 |  8 |  8 |
  2|  7 |  7 | 14 | 28 | 43 | 30 | 52 | 42 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  6 |  7 |  7 |
  3|  9 |  7 | 14 | 28 | 15 | 35 | 38 | 40 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 12 |  4 |  4 |
  4|  4 |  8 | 14 | 32 | 41 | 42 | 61 | 51 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 13 | 13 |  8 |
  5|  4 |  7 | 12 | 21 | 29 | 33 | 34 | 42 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 10 |  6 |  3 |
  6|  7 |  4 | 16 | 33 | 26 | 34 | 44 | 63 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 12 |  4 |  6 |
  7|  3 |  9 |  2 | 17 | 48 | 37 | 35 | 40 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  7 | 13 |  9 |
  8|  4 |  6 | 12 | 27 | 33 | 36 | 45 | 35 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  9 | 10 |  7 |
  9|  5 |  3 | 12 | 69 | 37 | 36 | 82 | 70 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 27 | 18 | 12 |
 10| 14 |  9 | 10 | 14 | 50 | 34 |123 | 60 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 15 | 11 |  7 |
 11|  7 |  6 | 15 | 21 | 44 | 64 | 56 | 44 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 13 | 13 | 15 |
 12|  9 |  8 |  7 | 44 | 33 | 44 | 37 | 54 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 13|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 17 | 15 |  9 |
 14| 17 | 18 | 17 | 22 | 32 | 48 | 50 | 79 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 11 | 15 | 22 |
 15| 18 | 16 | 11 | 52 | 65 | 58 | 50 | 33 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 19 | 20 |  7 |
 16|  8 | 14 | 20 | 33 | 37 | 65 | 55 | 33 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 53 | 15 | 22 |
 17| 12 | 10 | 12 | 25 | 35 | 40 | 53 | 36 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 22 | 14 |  3 |
 18|  7 | 11 |  5 | 17 | 32 | 30 | 37 | 51 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 12 |  6 |  2 |
 19| 12 |  5 |  6 | 29 | 24 | 31 | 49 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 19 | 23 |  8 |
 20| 13 | 10 | 10 | 27 | 31 | 42 | 28 | 61 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 12 | 11 | 14 |
 21|  4 |  6 | 10 |  9 | 59 |106 | 58 | 91 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 31 | 14 | 12 |
 22| 12 |  5 | 12 | 55 | 58 |152 |106 | 84 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 50 | 31 |  9 |
 23|  8 |  4 |  8 | 47 | 46 | 69 | 89 | 90 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 |  8 |  6 |
 24| 10 | 15 |  4 | 25 | 41 | 76 | 57 | 47 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 15 |  6 |  5 |
 25|  8 |  3 |  6 | 17 | 25 | 30 | 78 | 29 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 11 | 12 |  8 |
 26|  2 |  5 | 18 | 31 | 66 | 66 | 67 | 47 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 24 | 22 | 15 |
 27|  9 |  9 | 27 | 36 | 49 | 89 | 48 | 47 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 16 | 16 | 26 |
 28|  3 |  9 |  8 | 18 | 57 | 62 | 75 | 54 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 13 | 12 |  6 |
 29| 10 |  8 | 16 | 35 | 39 | 76 | 89 | 50 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 16 |  8 | 19 |
 30|  6 |  6 |  8 | 52 | 45 | 51 | 91 | 50 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 10 |  9 | 10 |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

