Jan| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1| 32 | 35 | 38 | 37 | 77 | 48 | 49 | 50 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 | 34 | 39 |
  2| 33 | 41 | 47 | 52 | 78 | 66 | 43 | 31 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  3| 15 | 48 | 87 | 69 | 80 | 86 | 52 | 71 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 |115 |
  4| 88 | 75 | 80 | 45 | 55 | 31 | 29 | 38 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 |
  5| 43 | 29 | 30 | 42 | 47 | 39 | 37 | 40 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  3 | 16 | 37 |
  6| 33 | 36 | 49 | 38 | 58 | 76 | 54 | 39 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 35 | 20 | 52 |
  7| 36 | 50 | 46 | 43 | 41 | 52 | 51 | 36 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 28 | 40 | 27 |
  8| 21 | 17 | 35 | 37 | 36 | 54 | 74 | 31 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 18 | 29 | 57 |
  9| 35 | 25 | 35 | 47 | 44 | 49 | 36 | 58 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 16 | 32 | 25 |
 10| 27 | 41 | 48 | 46 | 33 | 32 | 60 | 41 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 12 |
 11| 23 | 28 | 30 | 54 | 51 | 51 | 39 | 70 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 12|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  8 | 23 |
 13| 26 | 35 | 33 | 42 | 60 | 40 | 38 | 20 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 23 | 19 | 19 |
 14| 47 | 28 | 26 | 32 | 41 | 38 | 30 | 42 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 24 | 26 | 24 |
 15| 30 | 22 | 45 | 47 | 31 | 35 | 25 | 24 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 44 | 18 | 18 |
 16| 25 | 16 | 38 | 43 | 41 | 35 | 31 | 51 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  6 | 15 |
 17| 48 | 18 | 17 | 23 | 43 | 46 | 38 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 14 | 20 |  8 |
 18| 32 | 24 | 13 | 20 | 44 | 37 | 38 | 32 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 34 | 24 |
 19| 17 | 20 | 32 | 49 | 55 | 35 | 46 | 48 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 27 | 10 | 18 |
 20| 18 | 15 | 18 | 42 | 39 | 56 | 36 | 29 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 29 | 21 | 21 |
 21| 23 | 28 | 20 | 21 | 48 | 34 | 29 | 26 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 28 | 20 | 14 |
 22| 17 | 17 | 28 | 43 | 35 | 33 | 39 | 39 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 16 | 17 | 16 |
 23| 19 | 16 | 20 | 52 | 49 | 36 | 73 | 30 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 12 | 19 |
 24| 31 | 17 | 30 | 35 | 37 | 35 | 39 | 55 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 21 | 13 |
 25| 17 | 18 | 27 | 41 | 30 | 39 | 37 | 29 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 16 | 22 |
 26|  9 | 29 | 19 | 58 | 54 | 33 | 36 | 42 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 29 | 22 |
 27| 11 | 16 | 22 | 34 | 50 | 44 | 71 | 47 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 39 | 24 | 16 |
 29| 17 | 23 | 21 | 57 | 63 | 56 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 35 | 34 | 14 |
 30| 20 | 23 | 33 | 58 | 66 | 51 | 67 | 46 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 29 | 34 | 10 |
 31| 27 | 14 | 25 | 71 | 66 | 57 | 44 | 40 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 42 | 21 | 15 |

