Mar| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|  5 | 12 |  8 |  6 |  3 |  3 |  5 |  1 |  2 |  4 |  2 |  5 |  4 |  8 | 10 | 11 | 11 | 16 |  8 | 11 | 11 | 10 |  7 | 11 |
  2|  9 | 12 |  9 |  9 |??? |??? |??? |??? |??? |??? |??? |??? |  2 |  5 |??? |  6 | 11 | 14 |  8 | 11 |  5 |  9 | 10 | 15 |
  3|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  6 |  6 |  6 |  6 | 12 | 11 | 17 | 13 | 12 |??? |??? |??? |??? |
  4|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  4 |  5 |  5 | 11 | 10 | 10 | 12 |  6 | 11 |  7 | 12 |??? |
  5| 20 | 12 | 10 | 11 | 11 |??? |??? |??? |??? |??? |??? |  6 |  5 |  6 |  6 | 12 | 21 | 17 | 10 |  9 |  6 |  8 | 15 |  6 |
  6| 15 |  3 |  7 | 15 |  8 |  9 |  2 |  4 |  2 |  3 |  1 |  5 |  5 |??? |  9 |  9 |  9 | 10 | 18 | 11 |  8 | 16 | 23 | 15 |
  7|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 10 |  9 | 17 | 11 |  9 | 12 | 13 | 10 |??? |
  8|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  6 |  6 | 12 |  9 |  7 | 11 | 14 | 10 |  8 | 14 |??? |
  9|??? |??? |??? |??? |??? |??? |??? |??? |  1 |  2 |  3 |  2 |  3 |  6 |  7 | 13 |  7 | 14 |  5 |  7 | 11 | 14 | 13 |??? |
 10|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 | 10 |??? | 10 |  7 |  8 | 10 | 11 | 14 |  9 |  7 | 11 |
 11|??? |??? |??? |??? |??? |??? |??? |??? |??? |  3 |??? |  2 |  5 |  4 |  9 | 13 | 10 | 10 | 12 |  6 | 12 | 12 |??? |??? |
 12|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  8 |  8 | 13 | 12 | 11 | 10 |  8 |  9 |??? |
 13|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  2 |  3 |  6 |  8 |  5 |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 14|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  2 |  5 |  4 |  6 | 14 |  8 |  8 | 10 |  6 | 12 | 12 | 13 | 14 | 14 |
 15| 17 | 11 | 10 | 12 |  5 | 11 |  8 |  3 |  2 |  2 |  1 |??? |??? |??? | 13 | 10 |  9 | 17 | 17 | 11 | 10 |  5 |  6 |  7 |
 16|  8 | 11 |  8 |  9 |??? |??? |??? |??? |??? |  3 |  5 |  2 |??? |??? |??? |  7 |  5 |  9 | 11 | 12 | 13 | 12 |  6 | 13 |
 17|??? | 11 |??? |??? |??? |??? |??? |??? |??? |??? |  6 |??? |??? |??? |??? |  7 | 11 | 18 |  8 |  9 |  6 |  7 |  9 | 14 |
 18|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 14 | 16 | 12 |??? |
 19|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  4 |  2 |  3 |??? |  5 |??? |??? |??? |??? |??? |  6 | 10 |??? |??? |
 20|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 |  6 |  9 |  8 |  8 | 10 |  6 |??? |??? |??? |??? |??? |
 21|  6 |??? |??? |??? |??? |??? |??? |??? |??? |  4 |  4 |  2 |  5 |  6 | 14 |  6 | 12 |  5 | 14 |  7 |  6 |  7 | 13 | 11 |
 22| 15 | 18 | 11 |  6 | 12 |  2 |  4 |  1 |  1 |  4 |  2 |  3 |  4 |??? |  4 |  5 | 11 | 15 |  7 |  7 |  4 |  9 |  9 | 10 |
 23| 12 | 17 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  3 | 10 | 10 |  5 | 11 |  9 |  9 |  4 |  7 |
 24|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  7 | 12 |??? |  2 | 14 | 16 |??? |??? |??? |??? |??? |
