Dec| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |  6 |??? |??? | 10 |??? |??? |??? |??? |??? |  8 |??? |??? |??? |  5 |??? |??? |  9 |  8 | 10 | 10 | 15 | 15 | 24 |
  2| 13 |  9 | 11 | 12 | 10 |  9 |??? |??? |??? |  6 |  7 |??? |  4 |??? |  4 |  6 | 11 | 12 |  4 | 10 | 12 | 16 |??? |??? |
  3|  7 |  6 |  3 |??? |??? |??? |??? |??? |??? |??? |??? |??? |  4 |??? |  6 |  7 |  4 |  6 |  7 | 11 | 11 | 18 | 16 | 12 |
  4| 18 | 20 |??? | 11 | 11 |??? |  9 |  6 |  1 |  2 |  6 |  8 | 14 |  8 | 10 |  7 | 12 | 12 | 10 | 15 | 14 |??? |??? | 18 |
  5|  8 |??? |??? |??? |??? |  2 |  5 |  4 |  6 | 10 |??? |??? |??? |??? |??? |  6 |  5 | 11 |  4 |  3 | 17 | 10 | 12 | 13 |
  6|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  7|??? |??? |??? |??? |??? | 11 |  8 |  1 |  4 |  6 |??? |??? |??? |??? |  5 |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  8| 19 |  4 |??? | 12 |??? |??? |??? |??? |??? |  2 |??? |??? |??? |??? |??? |  6 |  6 | 10 | 13 | 13 | 22 | 12 | 14 | 22 |
  9|  3 |  6 |  3 |  1 |  2 |??? |??? |  4 |??? |??? |  5 |  4 |  6 | 11 |  6 |??? |??? |??? |  4 |  7 |  8 | 10 |  8 |  7 |
 10|  7 | 12 |  4 | 10 |  6 | 10 |  5 |??? |??? |??? |??? |??? |??? |??? |??? |  4 |  5 |  7 |  7 | 11 | 18 | 17 |??? |  6 |
 11| 13 | 12 |  9 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 11 | 13 | 14 | 13 | 18 | 18 |??? |??? |
 12|??? | 12 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 24 | 24 | 10 |  7 | 14 | 14 | 26 |??? |??? |??? |
 13|??? | 14 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 50 | 12 | 11 | 10 |  9 | 26 |??? | 34 |??? |??? |
 14| 26 |??? |??? |??? |??? |??? |??? |??? |??? |??? | 22 | 34 | 35 | 35 | 40 | 27 | 13 |  8 | 40 | 35 | 46 | 48 | 59 | 33 |
 15|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  7 |??? |??? | 11 | 16 | 39 | 14 | 19 | 24 | 23 |??? |??? |??? |??? |
 16| 11 | 16 | 16 |  6 |??? |??? |  8 |??? |??? |??? |??? |??? |  8 | 11 |  6 |  5 |  8 | 19 |  9 |  9 | 12 | 24 |??? | 20 |
 17|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  6 |  7 |  5 | 11 |  8 | 10 | 14 |  8 | 16 |??? |??? |
 18| 21 |??? |??? |??? |??? |??? |??? |??? |  2 |??? |??? |??? |??? |??? |  8 |  7 |  8 |  6 |  7 | 13 | 11 | 16 | 12 | 18 |
 19|??? |  7 | 10 | 10 |  7 |??? | 11 |  3 |??? |??? |??? |??? |??? |  9 |  4 |  5 |  4 |  8 | 11 | 20 | 13 |??? |??? |??? |
 20|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 10 | 15 | 13 |  3 |  8 |  9 | 15 |??? |??? |??? |
 21|??? |??? |??? |??? |??? |  4 | 13 |??? |??? |??? |??? |??? |??? |??? |  4 |  3 |  9 | 10 |  8 |  6 | 12 | 14 |??? |??? |
 22| 14 |??? |??? |??? |  3 |??? |??? |??? |??? |??? |??? |??? |  2 |??? |  5 |  7 |  7 | 10 | 19 |  6 |  8 | 18 | 16 |  6 |
 23| 19 | 11 |  8 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  6 |  7 | 10 |  6 | 16 | 22 | 23 |??? |??? |
 24|  7 | 12 |??? |??? |  4 |  5 |  7 |  5 |??? |??? |??? |??? |??? |??? |??? |  6 |  5 |  9 |  8 | 10 | 15 |??? |??? |??? |
 25|??? |  8 | 16 |??? |  4 |  6 |??? |  4 |  2 |??? |??? |??? |??? |??? |??? |  6 | 15 |  3 | 11 |  9 |  9 |??? |??? |??? |
 26|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  7 |  2 |  7 |  8 | 12 | 13 | 15 |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  7 |  3 |  6 |  6 |  7 |  8 |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |  2 |??? |??? |??? |??? |??? |??? |  4 |  6 |  6 |  9 | 16 | 13 | 11 |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  8 | 10 | 17 | 15 | 15 | 18 |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 |??? |  7 | 10 |  4 |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31| 16 |  8 | 11 |??? |??? |??? |  4 |  4 |  2 |  5 |  8 |  3 |  5 |  8 |  7 |  3 |  6 | 10 |  5 |  8 | 19 | 12 |??? | 13 |

