Feb| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1| 19 | 15 | 24 |??? |??? |??? |??? |??? |??? |  8 |  8 | 15 |  7 | 13 | 12 | 12 | 13 | 20 | 13 | 13 | 20 | 19 | 18 | 29 |
  2| 11 | 25 | 15 | 13 |  9 |  9 |  8 |  6 |  1 |  6 |  7 |  4 | 14 | 13 | 16 | 15 |  9 | 14 | 15 | 17 | 22 | 22 | 19 | 30 |
  3| 19 | 39 | 15 | 10 | 11 |  9 | 10 |  4 |??? |??? |??? |??? |??? |  7 |  9 | 12 |  9 | 12 | 10 | 14 | 12 | 18 | 12 | 18 |
  4|??? |??? |??? |??? |??? |??? |??? |??? |??? |  6 |  5 |  7 |  8 | 11 | 11 | 14 | 11 |  9 | 16 | 18 | 19 | 20 | 26 | 22 |
  5| 18 | 11 | 15 | 11 |  9 |  5 | 14 |  8 |  7 |  7 |  5 |  6 |??? |  9 | 10 | 14 | 14 |  6 | 20 | 15 | 10 |  9 | 10 | 14 |
  6| 15 | 11 | 20 |  7 | 12 | 12 |  7 |??? |??? | 12 |  5 | 10 | 12 | 10 |  9 |  9 | 13 | 13 |  9 | 16 |  9 | 25 | 16 | 10 |
  7| 11 | 27 | 16 |??? |??? |??? |??? |??? |??? |??? |??? |  8 | 13 | 10 | 16 | 10 | 11 | 11 | 14 | 18 | 18 | 12 | 19 | 18 |
  8| 18 | 15 | 18 |??? |??? |??? |??? |??? |??? |  6 |  4 | 14 |??? |  3 |??? | 14 | 15 |  9 | 14 | 14 | 17 | 20 | 15 | 14 |
  9| 17 | 18 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  9 |  6 | 17 |  6 | 15 | 24 | 17 | 13 | 16 |
 10| 17 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  9 | 17 |??? |??? | 16 | 18 | 19 | 12 | 21 | 19 | 16 |
 11| 21 | 14 | 17 | 19 | 16 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 |  8 |??? | 10 | 12 | 17 | 12 | 20 | 12 |
 12| 23 | 15 |??? |??? |??? |??? |??? |??? |??? |??? |  8 | 10 | 12 | 13 |  8 | 15 |??? |  8 |  8 | 14 | 10 | 18 | 21 | 12 |
 13| 17 |??? |??? |??? |??? |??? |??? |  2 |  3 |  8 |  6 | 18 | 12 |  9 | 11 |  5 |  5 | 12 | 14 | 14 | 14 | 19 | 16 | 12 |
