Feb| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |  3 |  4 |  1 |??? |??? |??? |  5 |  4 |  8 |  4 |  6 |  2 |  9 | 16 |  7 |  2 |  3 |  4 |  1 |  1 |  3 |  2 |  1 |
  2|  1 |  2 |  1 |  1 |  2 |  5 |  3 |  3 |  4 |  2 |  5 |  4 |  4 |  4 |  7 |  8 |  6 |  5 |  3 |  1 |  8 |  4 |  7 |  3 |
  3|  3 |  2 |  4 |  1 |  2 |  4 |  5 |  5 |  9 |  8 |  6 | 11 |  5 |  9 | 10 |  6 |  9 |  9 |  8 |  5 |  6 |  4 |  8 |  5 |
  4|??? |  1 |  3 |  3 |  6 |  5 |  2 |  7 | 10 |  4 | 13 | 11 |  6 |  7 |  9 | 14 | 13 |  6 |  5 |  5 |  3 |  6 |  3 |??? |
  5|??? |  4 |  2 |  3 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  6|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  7|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  2 |  3 |  1 |  2 |  2 |  1 |  6 |  2 |
  8|  4 |  3 |  4 |  3 |  4 |  2 |  2 |  3 |  8 |  8 |  5 |  5 |  7 |  6 |  3 |  8 |  1 |  2 |  2 |  8 |  3 |  3 |  5 |  6 |
  9|  2 |  1 |  3 |  2 |  7 |  3 |  4 |??? |  3 |??? |  3 |  4 |  5 |  5 |  3 |  9 |  1 |  7 |  8 |  9 |  3 |  5 |  1 |  3 |
 10|  7 |  8 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 11|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 12|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 13|??? |??? |??? |??? |  4 | 14 |  8 |  6 | 15 |  6 | 13 | 19 | 11 |  9 | 19 | 12 | 12 | 14 | 21 | 28 | 20 |??? |??? |??? |
 14|  7 | 11 | 16 | 10 |  5 |  6 |  5 | 26 | 23 | 14 | 24 | 25 | 35 | 31 | 23 |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 15|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  4 | 10 | 12 |  7 |??? |
 16|  1 |  4 |  3 | 10 | 15 | 17 | 26 | 20 | 25 | 25 | 26 | 22 | 35 | 28 | 39 | 34 | 41 | 19 | 19 | 21 | 15 |??? |??? |??? |
 17|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 18|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 19|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 20|  5 |  5 | 12 | 18 | 25 | 18 | 17 | 22 | 32 | 28 | 39 | 33 | 27 | 35 | 40 | 28 | 13 | 29 | 23 | 19 | 12 | 10 |  6 |??? |
 21|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 22|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 23|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 24|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 25|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 26|  8 |  9 | 12 | 20 | 19 | 19 | 23 | 16 | 25 | 23 | 22 | 31 | 29 | 32 | 39 | 41 | 37 | 30 | 27 | 26 | 16 | 10 |  4 |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

