Nov| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  2|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  3| 96 |??? | 47 | 39 | 37 | 23 | 24 | 32 | 28 | 51 | 36 | 61 | 86 | 97 | 98 |??? |??? |108 | 80 |??? |101 |115 |128 | 94 |
  4|??? |??? |??? |??? |??? |??? |??? |??? |??? | 18 | 48 | 34 | 76 |??? | 96 | 83 | 81 | 90 | 98 | 84 | 82 | 87 | 50 | 73 |
  5| 82 | 79 |??? |??? | 44 |??? |??? |??? | 22 | 32 | 26 | 25 | 78 |117 | 86 | 82 | 79 | 76 | 90 |??? |??? | 70 | 98 | 85 |
  6| 78 | 64 | 50 |??? |??? |??? |??? |??? |??? |??? | 48 | 70 | 67 | 89 |122 |100 | 75 | 79 | 83 |??? | 83 |101 |127 |102 |
  7| 94 | 59 | 58 | 45 | 37 | 24 |??? |??? |??? |??? | 40 | 65 | 66 | 90 | 98 |112 | 86 | 76 | 88 |116 | 76 |106 |125 |101 |
  8| 79 | 66 |??? | 58 |??? |??? |??? |??? |??? |??? |??? | 70 | 66 |??? |??? |101 | 88 | 87 |106 |103 | 98 | 92 |116 | 57 |
  9|??? | 60 | 48 |??? |??? |??? |??? |??? |??? |??? | 30 | 59 | 63 | 84 |109 |??? |??? |??? |??? | 84 | 92 |110 | 76 | 83 |
 10| 46 | 49 |??? |??? |??? |??? |??? |??? |??? |??? | 48 | 67 | 82 |116 | 98 | 94 | 86 | 90 |102 |109 |101 | 87 | 46 | 72 |
 11| 69 | 62 | 49 | 61 | 43 | 36 | 42 | 26 | 33 | 45 | 50 | 62 | 83 |104 | 96 | 82 | 64 | 74 |??? |??? |??? | 76 |106 | 78 |
 12| 35 | 31 | 31 | 35 | 26 | 18 | 16 | 20 | 29 | 17 | 36 |??? |??? |??? |??? | 73 | 87 | 74 | 90 |??? | 96 |??? |??? |??? |
 13| 35 | 32 | 46 | 47 |??? |??? |??? |??? |??? |??? |??? |??? | 46 | 83 | 75 |??? |108 | 92 | 83 | 94 |108 | 93 | 51 | 39 |
 14| 47 |??? |??? |??? |??? |??? |??? |??? |??? |??? | 46 | 67 | 72 |??? |107 | 84 | 81 | 81 |107 |100 |134 |129 | 79 | 68 |
 15|??? | 48 | 46 | 30 | 21 |??? |??? |??? | 27 | 36 | 43 | 56 | 82 |108 |121 | 91 | 97 |100 |109 |114 |129 |115 |117 |??? |
 16| 44 | 43 | 47 | 24 | 27 | 24 | 25 | 29 | 32 | 22 | 35 | 50 | 69 | 78 |104 | 84 |103 | 94 |105 | 84 | 95 | 98 | 94 | 59 |
 17| 89 | 54 | 43 | 31 |??? |??? | 20 |??? | 20 | 28 | 38 | 38 | 82 | 74 | 68 |105 | 86 | 70 | 36 | 43 | 38 | 35 | 33 | 39 |
 18|??? |??? |??? |??? |??? |??? |??? | 17 | 21 | 29 | 39 | 59 |??? | 44 | 75 | 63 | 83 | 94 |123 | 97 |147 |??? |??? |??? |
 19|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 86 | 78 |103 | 66 | 65 | 68 |??? |??? |??? |
 20|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 21|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 22|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 23|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 24|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 25|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 26|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

