Nov| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  2|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  3|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  4|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  5|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  6|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  7|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  8|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  9|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 10|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 11|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 12|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 51 | 32 |
 13| 44 | 69 | 61 | 60 | 66 | 58 | 92 | 67 | 91 | 88 | 51 | 43 | 64 | 52 | 43 | 35 | 20 | 20 | 36 | 36 | 38 | 45 | 39 | 32 |
 14| 47 | 61 | 75 |105 | 75 | 71 | 79 | 92 | 64 | 60 | 69 | 44 | 72 | 27 | 42 | 32 | 31 | 29 | 40 | 40 | 31 | 40 | 35 | 55 |
 15| 35 | 63 |104 |110 | 78 | 78 | 82 | 74 | 58 | 42 | 56 | 98 | 47 | 16 | 30 | 31 | 16 | 34 | 29 | 37 | 32 | 44 | 49 | 31 |
 16| 38 |105 | 92 | 75 | 62 | 72 | 90 | 76 | 68 | 73 | 83 |101 | 49 | 62 | 46 | 39 | 24 | 31 | 56 | 46 | 33 | 37 | 49 | 43 |
 17| 42 | 58 | 63 | 54 | 60 | 86 |147 | 66 | 70 | 79 | 65 | 55 | 54 | 25 |  5 | 27 | 38 | 17 | 17 | 41 | 60 | 64 | 58 | 74 |
 18| 53 | 61 | 79 | 96 |105 |106 |160 |131 | 81 | 81 | 78 | 62 | 39 | 38 | 26 | 26 | 34 | 24 | 29 | 30 | 30 | 37 | 39 | 57 |
 19|144 |311 |358 |626 |949 |777 |703 |579 |536 |508 |739 |456 |121 | 29 | 31 | 20 | 26 | 32 | 41 | 36 | 25 | 33 | 54 | 52 |
 20| 32 |110 | 81 | 71 |100 |119 |112 |201 |128 |161 | 50 | 43 | 50 | 36 | 34 | 43 | 12 | 35 | 32 | 24 |??? |  9 | 74 | 35 |
 21| 39 | 42 | 70 | 52 | 92 | 56 | 75 |102 |119 | 95 | 96 | 82 | 77 | 31 | 33 | 31 | 20 |??? |??? |??? |??? |??? |??? |??? |
 22|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 23|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 24|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 25|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 26|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

