Jun| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  2|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  3|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  4|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  5|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  6|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  7|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  8|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  9| 30 | 34 | 43 | 53 | 80 | 46 | 39 | 17 |??? |??? |  7 | 12 |  8 | 11 | 22 |??? |??? |??? |??? |??? |??? | 56 | 57 | 43 |
 10| 29 |??? |??? | 30 | 30 | 30 | 29 | 20 | 18 |  7 | 10 |  9 | 18 | 23 | 19 | 15 | 22 | 34 | 33 | 47 | 57 | 61 | 47 | 50 |
 11| 38 | 56 | 50 | 91 | 94 | 58 | 60 | 24 |??? |  6 | 12 | 10 | 19 | 21 | 21 | 16 | 19 | 20 | 29 | 48 | 57 | 59 | 53 | 39 |
 12|??? | 24 |??? |??? |??? |??? | 65 | 40 | 45 | 16 | 12 |  9 | 13 | 20 | 21 | 19 | 35 | 28 | 51 | 46 | 56 | 54 | 51 | 43 |
 13| 37 | 19 | 40 | 52 | 93 | 65 | 48 | 31 | 14 |  6 | 13 | 13 | 16 | 17 | 15 | 18 | 14 | 24 | 46 | 61 | 74 | 48 | 40 | 27 |
 14| 22 | 31 | 42 | 63 | 74 |??? |??? | 18 | 13 | 14 |  7 | 17 | 50 | 27 | 20 | 12 | 20 | 20 | 31 | 43 | 40 | 38 | 40 | 43 |
 15| 28 | 13 | 35 | 50 | 64 | 63 | 34 | 29 | 15 | 22 |  4 | 15 | 17 | 18 | 15 | 13 | 21 | 30 | 40 | 61 | 63 | 53 | 48 | 31 |
 16| 50 | 42 | 55 | 67 | 86 | 64 | 39 | 20 | 16 |  9 |  8 | 12 | 15 | 20 | 41 | 25 | 13 | 39 | 44 | 64 | 59 | 54 | 66 | 49 |
 17| 25 | 53 |??? |??? |??? | 46 | 45 | 21 | 13 |  1 | 10 | 15 | 23 | 27 | 35 | 21 | 29 | 30 | 46 | 52 | 70 | 46 | 41 | 49 |
 18| 46 | 39 | 35 | 56 | 60 | 50 | 29 | 18 | 17 | 12 | 18 |??? | 32 | 35 | 34 | 24 | 22 | 30 | 46 | 58 | 64 | 71 | 60 | 48 |
 19| 36 | 24 | 27 | 48 |??? |??? | 38 | 24 |??? | 12 |??? | 14 | 16 | 22 | 27 | 33 | 38 | 34 | 41 | 41 | 47 | 51 | 37 | 30 |
 20| 36 | 26 | 33 | 66 | 79 | 54 |??? | 32 |??? | 20 | 14 |??? | 13 | 23 | 22 | 19 | 33 | 27 | 35 | 37 | 55 | 58 | 41 | 20 |
 21| 31 | 25 | 41 | 49 | 74 | 63 | 43 | 36 |??? | 58 |  9 | 11 | 15 | 21 | 30 | 11 | 29 | 22 | 36 | 52 | 48 | 53 | 43 | 33 |
 22|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 24 | 19 | 20 | 19 | 54 | 58 | 57 | 38 |??? |
 23|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 24|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 25|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 26|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

