Jun| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |  2 |??? |  3 |  1 |  1 |??? |  2 |??? |??? |  2 |  1 |??? |??? |  2 |  1 |  3 |  1 |  2 |  2 |??? |??? |  2 |??? |
  2|  1 |  1 |  1 |??? |??? |??? |  1 |??? |??? |??? |??? |??? |??? |  2 |??? |??? |  4 |  2 |  1 |  2 |  6 |??? |  2 |??? |
  3|??? |??? |  1 |  1 |  1 |??? |  2 |  1 |??? |??? |??? |  2 |  1 |  2 |??? |  1 |??? |  2 |  2 |  2 |  5 |  4 | 13 |  1 |
  4|??? |  4 |??? |??? |??? |??? |??? |  3 |??? |??? |  1 |  1 |??? |  1 |  1 |??? |??? |??? |  1 |  4 |  1 | 10 |??? |  1 |
  5|??? |??? |  2 |  3 |  2 |  2 |  3 |  3 |??? |??? |??? |??? |  1 |  1 |  1 |  1 |??? |  1 |??? |  2 |  2 |??? |??? |??? |
  6|  2 |  2 |  2 |??? |  1 |  1 |  1 |??? |  1 |??? |??? |??? |??? |  2 |??? |  1 |  3 |??? |  1 |  3 |  4 |  2 |  2 |??? |
  7|??? |??? |??? |??? |  1 |  6 |  2 |  1 |??? |??? |??? |  1 |  2 |  1 |  1 |??? |  1 |??? |  2 |??? |  3 |  1 |  1 |  2 |
  8|??? |??? |  1 |  2 |  1 |??? |??? |  1 |  1 |??? |  2 |??? |??? |  1 |  2 |??? |  1 |  3 |  2 |  3 |  4 |  5 |  1 |??? |
  9|??? |??? |??? |  2 |  4 |  5 |  1 |??? |  4 |??? |??? |  1 |??? |  2 |??? |??? |  1 |??? |  2 |  4 |  4 |  7 |  2 |??? |
 10|  1 |  1 |  1 |??? |??? |??? |  3 |  1 |  1 |??? |  1 |  1 |??? |??? |??? |  1 |??? |  1 |  4 |  6 |  3 |??? |  2 |  1 |
 11|??? |??? |  1 |??? |  2 |  1 |  3 |??? |??? |??? |??? |  1 |??? |??? |  2 |  2 |??? |??? |  4 |  7 |  2 |  3 |  3 |  1 |
 12|??? |  1 |??? |  1 |??? |  1 |  3 |  2 |??? |??? |??? |??? |??? |??? |  3 |  1 |  2 |  1 |  1 |  3 |  2 |??? |  6 |??? |
 13|  1 |  1 |??? |??? |??? |  1 |  1 |??? |??? |??? |??? |??? |  2 |  2 |??? |  1 |  4 |  1 |  3 | 10 |  1 |??? |??? |??? |
 14|??? |??? |??? |  2 |  6 |  4 |  3 |??? |  1 |??? |??? |??? |  1 |??? |  2 |  1 |  1 |??? |  2 |  4 |  4 |  2 |  4 |??? |
 15|  3 |??? |  1 |??? |  4 |  3 |  6 |  2 |??? |??? |??? |??? |  3 |??? |  2 |??? |??? |  1 |??? |??? |??? |  4 |  2 |  2 |
 16|  2 |  1 |??? |  2 |  1 |  1 |??? |  2 |  4 |??? |  1 |??? |  2 |??? |  2 |  1 |??? |  2 |??? |  5 |  7 |??? |  3 |??? |
 17|??? |??? |??? |??? |??? |??? |  2 |??? |  1 |??? |??? |  1 |??? |  3 |??? |  1 |??? |??? |??? |  5 |  2 |  3 |  3 |  3 |
 18|??? |??? |??? |??? |??? |??? |??? |  3 |  1 |??? |??? |??? |  1 |  1 |  1 |??? |  1 |  1 |  2 |  3 |  6 |??? |??? |  2 |
 19|??? |??? |??? |??? |  2 |??? |  1 |  3 |??? |  3 |??? |  2 |??? |??? |??? |  1 |??? |  1 |  3 |??? |  3 |  4 |  1 |??? |
 20|??? |??? |??? |  1 |??? |  1 |  1 |  1 |  1 |  1 |  1 |  1 |??? |??? |  2 |  2 |  2 |  1 |  5 |??? |  4 |  6 |  6 |??? |
 21|??? |  1 |??? |  1 |  3 |??? |??? |??? |  3 |??? |??? |  1 |  1 |  1 |  1 |  1 |  1 |  1 |  3 |??? |  4 |??? |  3 |  2 |
 22|  1 |  1 |??? |  1 |  4 |  2 |  2 |  3 |??? |??? |  1 |??? |  2 |??? |  2 |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 23|??? |  1 |??? |??? |??? |  1 |  2 |  1 |  1 |  1 |??? |??? |??? |  1 |  2 |  1 |??? |??? |??? |  6 |  3 |  5 |  3 |  1 |
 24|  1 |??? |??? |??? |  1 |  1 |  3 |  1 |??? |??? |  1 |  2 |??? |??? |??? |??? |  1 |  2 |  2 |  2 |  5 |  1 |  2 |  3 |
 25|??? |??? |  2 |??? |  2 |??? |  3 |  2 |??? |??? |  1 |  1 |  1 |  1 |??? |  1 |  1 |  1 |  2 |  3 |  4 |  2 |  2 |  1 |
 26|??? |??? |  1 |??? |  1 |??? |  2 |  2 |??? |  1 |  2 |  1 |??? |??? |  1 |  3 |  6 |  1 |??? |  4 |  3 |  6 |  2 |  1 |
 27|  5 |  1 |??? |  1 |  1 |  2 |  1 |??? |??? |??? |??? |  2 |  2 |  1 |  1 |  2 |  4 |??? |  6 |??? |  6 |  5 |??? |??? |
 28|  2 |  3 |??? |??? |??? |??? |??? |  3 |  1 |  1 |??? |  1 |??? |  1 |  3 |  1 |  2 |  8 |??? |  3 |  1 |  2 |  1 |  1 |
 29|  1 |  1 |??? |??? |  1 |??? |??? |??? |??? |??? |??? |??? |??? |  1 |??? |??? |??? |  2 |  2 |  1 |  5 |  2 |  4 |  1 |
 30|??? |  1 |  1 |??? |??? |  1 |  1 |  2 |??? |??? |??? |  2 |  1 |  1 |  3 |  4 |??? |  4 |  3 |  1 |  3 |??? |  3 |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

