Jun| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1| 14 | 18 | 25 | 25 | 48 | 66 | 57 | 78 | 57 | 65 | 72 | 80 | 89 |101 | 86 | 59 | 70 | 49 | 54 | 46 | 47 | 45 | 36 | 17 |
  2| 30 | 22 | 24 | 32 | 39 | 20 |??? |??? |??? |??? |??? |??? |104 | 76 | 53 |??? |??? |??? |??? |??? |??? | 39 | 25 | 32 |
  3| 22 | 26 | 15 | 41 | 51 | 84 | 65 | 61 | 68 | 92 |108 |121 |136 |139 |109 |??? |??? |??? |??? | 45 | 61 | 52 | 36 | 25 |
  4| 19 | 23 | 29 | 54 | 58 | 66 | 62 | 66 | 77 | 99 |146 |164 | 92 |??? |??? |??? |??? |??? |??? | 66 | 51 | 53 | 40 | 20 |
  5| 22 | 28 |??? |??? |??? | 79 | 74 | 55 | 78 | 84 |130 |144 |149 | 86 |??? |??? |??? |??? |??? |??? |??? | 50 | 48 | 25 |
  6| 19 | 18 | 27 | 57 | 81 | 88 | 75 | 66 | 97 |117 |??? |179 |178 |174 |122 |??? |??? |??? |??? |??? |??? | 55 | 40 | 23 |
  7|??? | 26 | 28 | 47 | 80 | 81 | 86 | 64 | 84 |100 |166 |177 |178 |??? |??? |??? |??? |??? |??? |??? | 80 | 53 | 34 | 21 |
  8| 21 | 21 | 26 | 31 | 51 | 66 | 63 | 83 | 90 |112 |151 |181 |182 |158 |149 |140 |105 |102 | 76 | 84 | 71 | 57 | 36 | 20 |
  9|??? |??? |??? |??? | 53 | 67 | 75 | 73 | 75 | 95 |140 |172 |184 |175 |154 | 96 |??? | 90 | 92 |??? |??? |??? |??? |??? |
 10|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 11|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 12|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 13|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 14|??? |??? |??? |??? |??? | 85 | 85 | 88 |115 |133 |147 |208 |203 |210 |181 |117 |??? |??? |??? | 83 | 67 | 46 |??? |??? |
 15|??? |??? |??? |??? |??? |??? | 68 | 85 |102 |129 |178 |195 |196 |156 |132 | 68 | 38 | 56 | 55 | 34 |??? |??? |??? |??? |
 16|??? |??? |??? |??? |??? | 51 | 73 | 90 | 89 |113 |158 |151 |152 |123 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 17|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |159 |184 |187 |183 |150 |146 | 94 | 90 | 62 |??? |??? |??? |??? |
 18|??? |??? | 10 |??? | 46 | 61 |??? |??? |??? |??? |??? |130 |145 |186 |187 |162 |146 |121 | 89 | 86 | 77 | 77 | 50 | 56 |
 19| 21 | 20 | 26 | 47 | 63 | 98 | 97 | 89 |103 | 88 |120 |157 |170 |219 |163 |139 |??? |??? |??? | 93 | 71 | 56 | 54 |??? |
 20|??? |??? |??? |??? |??? |??? |??? | 85 | 84 |121 |100 |148 |170 |176 |173 |??? |??? |??? | 86 | 56 | 56 |??? |??? |??? |
 21|??? | 17 | 28 | 42 | 76 | 83 |109 | 74 |118 |126 |116 |160 |190 |167 |??? |??? |??? |127 | 96 | 67 | 46 | 39 | 29 | 30 |
 22| 19 | 24 | 33 | 39 | 64 | 75 | 84 | 95 | 98 | 87 |111 |171 |183 |194 |149 |155 |152 |127 |??? |??? | 79 | 68 | 61 | 32 |
 23| 35 | 23 | 27 | 27 | 47 | 65 | 76 |110 |114 |113 |131 |156 |153 |158 |144 |138 |110 |110 | 97 | 83 | 65 | 51 | 22 | 22 |
 24| 26 | 27 | 30 |??? |??? | 69 | 86 |102 | 75 |104 | 84 | 98 |136 |??? |??? |??? |??? |??? |??? |??? |??? | 74 | 70 | 57 |
 25| 50 | 34 | 19 | 40 | 31 | 51 | 68 | 94 | 91 | 86 |104 |117 |133 |??? |??? |??? |??? |??? |??? | 62 | 71 | 65 | 52 | 48 |
 26|??? |??? |??? |??? | 19 | 54 | 98 | 94 | 90 | 88 | 69 |101 |149 |148 |175 |149 |??? |??? |??? |??? |??? | 75 | 51 | 45 |
 27| 44 |??? |??? |??? |??? | 55 | 86 |101 |100 | 94 |104 |103 |160 |??? |??? |??? |??? |??? | 75 |??? |??? | 61 | 48 |??? |
 28|??? |??? |??? | 36 | 33 | 68 | 98 |106 | 77 | 91 | 97 |111 |145 |156 |169 |136 |118 |109 | 91 | 79 | 72 | 61 | 70 | 63 |
 29| 49 | 61 |??? | 45 | 55 | 83 | 90 |116 |113 |106 |127 |121 |171 |177 |164 |163 |162 |144 |??? |??? | 88 | 93 | 46 | 46 |
 30| 52 | 42 |??? | 41 | 40 | 70 | 88 |113 |117 |113 |111 |140 |158 |178 |142 |147 |142 |??? |100 | 80 | 62 | 65 | 60 | 41 |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

