Feb| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  2|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  3|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  4|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  5|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  6|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  7|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  8|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  9|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 17 | 29 | 22 |
 10| 24 | 16 | 24 | 60 | 19 | 29 | 35 | 61 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 27 | 19 | 16 |
 11| 25 | 30 | 22 | 17 | 28 | 24 | 35 | 46 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 28 | 30 | 36 |
 12|  6 | 43 | 18 | 38 | 19 | 33 | 29 | 30 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 21 | 34 | 35 |
 13| 28 | 18 | 20 | 27 | 16 | 23 | 42 | 32 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 21 | 23 | 17 |
 14| 29 | 35 | 31 | 32 | 26 | 20 | 33 | 61 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 16 | 26 | 14 |
 15| 31 | 29 | 29 | 26 | 30 | 35 | 30 | 78 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 21 | 29 | 20 |
 16| 36 | 34 | 49 | 33 | 29 | 23 | 41 | 40 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 17 | 26 | 16 |
 17| 33 | 37 | 26 | 26 | 26 | 32 | 45 | 36 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 23 | 29 | 19 |
 18| 33 | 19 | 20 | 19 | 31 | 32 | 40 | 26 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 20 | 31 | 18 |
 19| 21 | 25 | 31 | 14 | 21 | 40 | 27 | 34 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 15 | 21 | 18 |
 20| 14 | 27 | 24 | 26 | 36 | 25 | 39 | 41 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 26 | 34 | 29 |
 21| 11 | 30 | 33 | 26 | 22 | 29 | 40 | 35 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 42 | 33 | 30 |
 22| 26 | 29 | 37 | 30 | 27 | 28 | 35 | 37 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 24 | 31 | 22 |
 23| 32 | 32 | 38 | 27 | 32 | 35 | 45 |113 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 18 | 35 | 33 |
 24| 16 | 28 | 36 | 21 | 30 | 36 | 32 | 28 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 25 | 34 | 26 |
 25| 11 | 32 | 37 | 26 | 15 | 24 | 48 |105 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 21 | 31 | 28 |
 26| 15 | 35 | 20 | 22 | 45 | 36 | 45 | 28 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 23 | 29 | 27 |
 27| 14 | 12 | 27 | 22 | 27 | 33 | 89 |135 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 18 | 25 | 17 |
 28| 20 | 37 | 28 | 20 | 23 | 26 | 32 | 94 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 18 | 25 | 19 |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

