Nov| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 20 |  5 |
  2|??? |??? |??? | 10 | 32 | 35 | 26 | 29 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 13 |  4 |
  3|??? |??? | 12 | 26 | 31 | 26 | 25 | 30 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 12 |  9 |  3 |
  4|??? |??? | 11 | 29 | 31 | 26 | 31 | 16 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 15 | 33 |  3 |
  5|??? |??? |  3 | 35 | 40 | 98 | 34 | 25 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 19 |  9 |  2 |
  6|??? |??? | 10 | 28 | 63 | 21 | 80 | 22 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 29 | 11 |  1 |
  7|??? |  3 |  9 | 41 | 34 | 26 | 35 | 44 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 19 | 14 | 14 |
  8|??? |??? | 14 | 30 | 59 | 39 | 38 | 43 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 19 | 21 |  5 |
  9|  7 | 12 |  9 |  5 | 35 | 45 | 33 | 26 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  8 | 17 | 13 |
 10|??? |??? | 13 | 43 | 34 | 34 | 25 | 30 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  9 |  7 |  1 |
 11|??? |??? | 14 | 38 | 45 | 34 | 34 | 34 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 13 |  7 |  9 |
 12|??? |??? |  9 | 22 | 45 | 19 | 33 | 29 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  7 |  9 |
 13|??? |??? |  8 | 31 | 41 | 35 | 43 | 42 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 14|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 14 | 21 |  1 |
 15|??? |??? |  5 | 20 | 43 | 43 | 46 | 34 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 20 | 11 |  1 |
 16|??? |??? |  1 | 17 | 41 | 47 | 51 | 24 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 22 | 38 |  2 |
 17|??? |??? | 27 | 42 | 52 | 33 | 44 | 37 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 18 | 13 | 54 |
 18|??? |??? | 11 | 48 | 52 | 47 | 73 | 66 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 18 |  9 |  5 |
 19|??? |??? |  8 |109 | 96 | 64 | 70 | 38 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 16 | 12 |??? |
 20|??? |??? | 17 | 57 |175 | 80 | 74 |101 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 17 | 93 | 48 |
 21|??? |  4 |  7 | 31 | 39 | 40 | 38 | 45 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 15 | 37 |  2 |
 22|??? |??? | 15 | 64 | 48 | 42 | 49 | 17 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 23|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 17 | 18 |
 24|??? |??? |??? | 22 | 39 | 46 | 27 | 25 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 46 | 14 |  2 |
 25|??? |??? |  8 | 31 | 52 | 23 | 45 | 73 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 15 | 19 |  5 |
 26|??? |??? | 23 | 50 | 53 | 35 | 35 | 26 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 40 | 42 |  2 |
 28|??? |??? | 34 | 82 | 83 | 82 |120 | 67 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 28 | 48 |  5 |
 29|??? |??? |  8 | 92 | 81 | 71 | 61 | 44 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 36 | 39 |  2 |
 30|??? |??? |??? | 28 | 76 | 69 | 89 | 56 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 38 | 61 |  8 |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

