Dec| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |??? | 27 | 86 | 82 | 87 | 73 | 62 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 26 | 30 |  2 |
  2|??? |??? |  2 | 81 | 75 | 61 | 88 | 58 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 28 | 35 |  2 |
  3|??? |??? | 18 | 72 | 86 | 71 | 52 | 50 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 29 | 46 |  5 |
  4|??? |??? |  1 |116 | 80 | 71 | 88 | 48 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 31 | 36 |  4 |
  5|??? |??? |  3 | 84 |109 | 73 | 87 | 81 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 21 | 44 |  3 |
  6|??? |??? |  3 | 81 | 94 | 91 | 75 |104 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 39 | 40 |  4 |
  7|??? |??? |??? |  4 | 76 | 84 |103 | 79 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 36 | 35 |??? |
  8|??? |??? |  7 | 62 | 73 | 86 | 76 | 48 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 44 | 60 | 19 |
  9|??? |??? |  1 | 56 | 89 | 84 | 93 | 71 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 34 | 30 |  9 |
 10|??? |??? | 14 | 64 | 79 | 99 | 64 | 52 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 37 | 22 |  3 |
 11|??? |??? | 20 | 60 | 91 | 79 | 51 | 81 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 27 | 67 |  7 |
 12|??? |  1 |  1 | 60 | 69 | 77 | 70 | 57 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 46 | 67 |??? |
 13|??? |??? | 16 |122 | 89 | 84 | 42 | 91 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 54 | 40 |??? |
 14|??? |  1 | 23 | 29 | 86 | 93 |133 |141 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |193 |140 |  5 |
 15|??? |??? | 18 |141 |113 | 87 |149 | 55 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 42 | 42 |??? |
 16|??? |  1 |  3 | 33 | 21 | 34 | 18 | 22 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 17|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 27 | 25 |  6 |
 18|??? |??? |  1 |100 | 75 | 71 | 64 | 45 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 15 | 36 |  7 |
 19|??? |??? | 36 | 69 | 65 | 78 | 85 | 58 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 37 | 30 |  2 |
 20|??? |??? |  1 | 60 | 90 | 77 | 68 | 69 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 25 | 31 |??? |
 21|??? |??? |??? | 38 | 85 | 51 | 76 | 47 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 44 | 45 |  1 |
 22|??? |??? | 16 | 55 | 93 | 80 | 63 | 64 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 66 | 52 | 10 |
 23|??? |??? | 16 | 76 | 79 | 96 | 71 | 53 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 42 | 28 |  5 |
 24|??? |  5 | 38 | 78 | 63 | 75 | 71 | 35 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 29 | 37 | 10 |
 25|  2 |??? |??? | 16 | 70 | 58 | 91 | 46 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 26|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 33 | 27 |??? |
 27|??? |  2 | 28 | 31 | 55 | 54 | 50 | 33 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 24 | 15 |??? |
 28|??? |??? |  1 | 30 | 53 | 65 | 67 | 31 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 38 | 28 |  3 |
 29|??? |??? | 16 | 81 | 82 | 50 | 53 | 46 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 23 | 20 |  1 |
 30|??? |??? |  8 | 96 | 60 | 61 | 55 | 32 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 52 | 35 |  3 |
 31|  4 |  7 | 26 | 75 | 77 | 65 | 57 | 30 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

