Mar| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1| 12 | 11 | 22 | 10 | 26 | 46 |  2 |  5 |??? |??? |??? |??? |??? |  1 |??? |??? |??? |??? |??? |  7 |  3 |  8 |??? |  4 |
  2|  7 |??? |??? |  1 |  1 | 11 |??? |  5 |??? |??? | 16 |??? |??? | 24 |  9 |  4 | 22 |  3 |  7 |??? |??? |??? |  1 |??? |
  3|  7 |  1 |  2 |  3 |  1 |??? |  3 |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |??? |??? |  4 |  1 |??? |??? |  2 |
  4|  1 |??? |  3 |  1 |  1 |  1 |??? |??? |??? |??? |??? |??? | 11 |??? |??? |??? |??? |??? |??? |??? |  1 |??? |??? |  8 |
  5|  1 |  1 |??? |  1 |??? |??? |  9 |??? |??? |??? |??? |??? |  1 |??? |??? |??? |??? |  7 |  5 |??? |??? |  4 |??? |  2 |
  6|??? |??? |??? |??? |??? |  8 |  5 |  4 |??? |??? |??? | 12 |??? |??? |??? |??? |  1 |  1 |??? |??? |  3 |??? |??? |  4 |
  7|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  2 | 10 |  3 |??? |??? |  4 |  3 |??? |  1 |  6 |??? |??? |??? |
  8|  8 |??? |??? |??? |??? |  1 |??? |??? |??? | 26 | 40 | 27 | 14 | 23 |  1 | 13 | 39 |  2 |  1 |??? |  6 |  2 |  3 |  8 |
  9|  1 |  2 |  1 |??? |??? |??? |??? |  2 |??? |??? |??? |??? |??? |??? | 19 |??? | 23 |  7 |  1 |??? |  3 |??? |??? |??? |
 10|??? |??? |  2 |  1 |??? |??? |  1 |??? |??? |??? |??? |??? |??? |??? |??? |  5 | 19 |  6 |  1 |  2 |  7 |  1 |??? |??? |
 11| 10 |??? |??? |??? |??? |  1 |  3 |??? |??? |??? |  2 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 12|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |  1 |??? |??? |??? |  1 |  6 |  8 |??? |  7 |  1 |??? |??? |
 13|  1 |  2 |  2 |  1 |??? |??? | 16 |  2 |??? |??? |??? |??? |??? |  3 |??? |  2 | 14 |??? |??? |??? |??? |  1 |??? |??? |
 14|??? |??? |??? |??? |??? |??? |??? | 20 |  6 | 14 |  2 |  8 | 11 | 25 |??? |??? |  1 |??? |  1 |??? |??? |??? | 10 |  7 |
 15|??? |  2 |  1 |??? |??? |??? |  1 |??? |  1 |??? |  1 |??? |??? |??? |??? |  3 | 46 | 14 |  3 |??? |  2 | 10 |  3 | 24 |
 16|  5 |??? |??? |  6 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 17|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  2 |??? |  3 |??? |??? |  1 |??? |  4 |
 18|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 | 19 | 13 |??? |  1 | 11 |  1 |??? |  1 |??? |  1 | 10 |??? |  1 |
 19|??? |??? |??? |??? |??? |??? |  1 |??? |??? |??? |??? |??? |  3 |??? |??? |??? |??? |??? |  1 |??? |  2 |  1 |??? |  3 |
 20|??? |  8 |  1 |  6 |  2 |??? |??? |??? |  1 |??? |??? |??? |  7 |??? |??? |??? |  9 |??? |  1 |??? |??? | 13 |  1 |  1 |
 21|  4 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |  1 |  3 | 15 | 14 | 24 |  5 |??? |??? |  4 |??? |??? |
 22|  6 |??? |  1 | 17 | 16 |  4 |??? |??? |??? |??? |??? |??? |  1 | 15 |  4 |  9 | 19 |??? | 10 |  2 |  2 |  5 |??? |  3 |
 23|  1 |??? |??? |??? |??? |??? |??? |??? | 10 | 11 | 20 | 19 | 39 | 44 | 43 |  6 | 12 |??? | 10 |??? |??? | 14 | 15 | 11 |
 24|  8 |??? |??? |  1 |??? |??? |  2 |  1 |??? |  1 |??? | 11 | 13 |  1 |??? |??? | 30 | 17 |  2 |  1 | 32 | 16 | 11 |  4 |
 25|??? |??? |??? |??? |??? |??? |??? |??? |  1 | 11 |  3 | 16 | 25 |??? | 27 | 15 | 30 | 18 | 19 |??? | 24 |  7 |  8 | 20 |
 26|  8 |??? |??? |??? |  1 |??? |  7 |  2 |??? |??? |  8 | 15 |  3 |??? |??? |??? |  1 |  7 |  1 |??? | 10 |  3 |??? |??? |
 27|  8 |??? |  6 |  4 |??? |??? |??? |??? |  1 |??? |??? |  3 | 37 | 19 |  1 | 14 |  8 |  9 |  4 |  1 |??? |  2 |  7 |  6 |
 28|  4 |??? |??? |  1 |??? |  1 |??? |??? |??? |??? |??? |  8 | 62 | 41 | 26 |  7 |  1 |??? |??? |??? |??? |  4 |??? |  7 |
 29|??? |  1 |??? |  1 |??? |??? |??? |??? |  2 |  1 |  7 |  9 | 65 | 14 | 14 | 20 |  7 |  6 |  8 |??? |  2 |  6 | 10 |  4 |
 30|??? |  1 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 25 |??? |  6 | 55 | 54 | 21 | 12 |??? |??? |??? |  1 |  6 |
 31|  9 |??? |??? |??? |??? |  3 | 26 |  7 |??? |??? |  1 |  8 |??? |??? |??? |??? | 20 | 47 |  5 |  1 |??? |  2 |??? |??? |

