May| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|  1 |??? | 57 |115 | 54 |  3 | 38 |??? |  6 | 27 |189 |198 | 75 |189 |  2 |??? |??? |??? |  1 |??? |??? |??? |  7 | 61 |
  2| 72 | 59 |  1 |??? |??? | 15 |??? |??? |??? |??? |??? |??? | 32 | 66 |120 |272 | 45 |??? |??? |  1 |258 |  1 |??? |148 |
  3| 93 |??? |??? |??? |  1 |??? |??? |??? |??? | 88 | 21 |??? |??? |262 |397 |174 | 28 |249 |178 |177 |119 |  1 |??? | 89 |
  4|??? |  1 |??? |  1 | 10 | 89 | 84 | 60 |  4 | 38 |??? | 50 |??? |??? |  7 | 24 | 47 | 24 |??? | 20 |117 |  8 | 12 | 53 |
  5| 19 |113 | 77 |??? |??? | 27 |  1 |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |??? |??? |  6 |??? |??? |??? |  6 |
  6|  8 |  1 |??? |  1 |  7 |??? |??? |??? |??? |  2 |??? |??? |??? |??? |??? |??? | 13 | 29 |??? |??? |??? |??? |??? |??? |
  7| 22 |  1 |??? | 70 | 43 |??? |??? |  1 | 26 |  1 |??? |  1 |??? |??? |??? |??? |??? |??? |??? |??? |  1 |  2 |??? | 59 |
  8|??? |??? |??? |  6 | 13 |  3 | 97 |101 | 73 |??? |  1 |??? |??? |??? |??? |??? |  5 |108 |??? | 24 | 29 |  3 |  1 |??? |
  9|  1 |??? |  1 |??? |  1 |??? |  3 |??? |  1 |??? |??? |??? | 10 |??? |??? |??? |??? |??? |??? |??? |  3 |??? |  1 | 68 |
 10| 40 |??? |  6 | 83 | 97 |??? | 47 |  1 |??? |  1 |??? |??? |??? |  1 |??? |  1 |??? |  1 |??? |  4 |??? |??? |??? |  1 |
 11|??? |  1 |??? |  1 |??? |  1 |??? |  1 |??? |  1 |??? |??? |??? |  1 |??? |  1 |??? |  1 |  2 |  1 |??? |??? |??? |??? |
 12|??? |  2 |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |??? |
 13|??? |??? |??? | 13 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |??? |??? |??? |  1 |??? |??? | 61 |
 14|  1 |??? |??? |??? |  1 |??? |??? |??? |??? |  3 |  1 |??? |??? |??? |??? |??? |  1 |??? |  1 |??? |??? |??? |  1 |??? |
 15|  1 |??? |  2 |  1 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |  2 |  4 |??? |??? |??? |  1 |??? |  1 |
 16|??? |??? |??? |??? |??? |  1 |??? |  1 |??? |  1 |??? |??? |??? |??? |??? |  2 |??? |??? |??? |??? |??? |  3 |  5 |119 |
 17|??? |??? | 12 |??? |  8 |??? |  1 | 31 | 55 |  1 |??? |??? |??? | 69 | 17 |  1 |??? |??? |??? |??? | 18 | 53 |  1 | 48 |
 18|  5 |??? |??? |??? |??? |??? |117 | 24 |??? |??? | 62 |??? |  2 | 30 | 45 |178 |  1 |??? |  1 |??? | 19 | 24 |  1 | 23 |
 19|  1 |??? |  1 |??? |  1 |??? |  1 |??? |  1 |??? |??? |??? |??? |  1 |??? |??? |??? |  1 |  9 |??? |??? |  1 |??? |  1 |
 20|??? |??? |??? |  1 |  1 |  1 |??? | 43 |??? |  1 |??? |  1 |??? |  1 |??? |  1 |??? |??? |??? |  2 |  7 |  1 |??? |  1 |
 21|??? |  1 |??? |  1 | 12 |??? |??? |  1 |??? |  1 |??? |??? |??? |??? |  1 |??? |  1 |??? |  1 |??? |??? |??? |??? |??? |
 22|  1 |??? | 21 |118 | 53 |??? |??? |??? |??? |??? |??? |??? |  1 |??? |  1 |??? |??? |??? |  1 |??? |  1 |??? |  1 |??? |
 23|??? |??? |??? |??? |  1 |??? | 40 | 51 |??? |??? |??? |??? |  1 |??? |  2 |??? |  1 |??? |  2 |??? |??? |??? |  1 |??? |
 24|??? |??? |??? |  1 |??? |  1 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  2 |??? |??? | 21 |??? |??? |??? |  1 |
 25|??? |??? |??? |  2 | 14 | 51 |244 | 93 |??? |??? |??? |??? |??? | 11 | 21 |  2 |114 | 63 |134 |??? | 80 | 14 |??? |  3 |
 26|  6 | 52 |105 | 36 |116 |??? |??? |??? |??? |  1 |??? |  1 |??? |??? |  1 |??? |  1 |??? |??? |??? |  1 |??? |  1 |??? |
 27|??? |??? |??? |??? |  1 |??? |??? |??? |??? |??? |??? |  2 |??? |??? |  1 |??? |  2 |  1 |  2 |??? |  1 |??? |  1 |??? |
 28|  2 |??? |  1 |??? |  2 |  1 |??? |??? |  1 |??? |  1 |??? |  1 |??? |??? |  1 |  1 | 10 |  1 |??? |  1 |??? |??? |??? |
 29|??? |  1 |??? |??? |??? |  8 |  4 |??? |??? |??? |??? |??? |??? |??? |??? |  1 |  1 |  3 |??? |  1 |??? |  1 |??? |  8 |
 30|??? |  1 |??? |??? |  2 |  1 |??? |??? |??? |??? |??? |  1 |??? | 10 |??? |  2 |??? | 29 | 45 |  1 |  2 |??? |??? | 51 |
 31| 44 | 48 | 69 | 42 |136 |145 |107 |??? |  1 |??? |??? |??? |  1 |??? |  3 |??? |  1 |  7 |  7 |??? | 15 |  6 |??? |??? |

