Jun| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1| 19 |  5 |  4 | 14 | 17 |  7 | 30 | 14 |??? |??? |  2 |??? |  1 | 48 |  6 |  5 |  5 | 17 | 23 | 12 |  2 | 24 |??? | 71 |
  2| 94 | 75 |142 | 36 |127 |  4 |  1 |??? |  1 |??? |  1 |??? |  1 |??? |??? |??? |  1 |??? |??? |  1 | 12 | 13 |??? |??? |
  3|??? |  1 |??? |??? |??? |??? | 12 |  1 |??? |??? |??? |  1 |??? |??? |??? |  1 |??? |  1 |??? |??? |??? |  1 |??? | 10 |
  4|??? |??? |??? |??? |??? |??? | 19 | 16 |??? |??? |??? |??? |??? |??? |??? |??? |  1 |124 |??? | 22 | 49 |??? |??? |??? |
  5|  1 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  2 |??? |  2 |??? |  1 |??? |??? |??? |  1 |  8 |
  6| 27 |??? | 18 | 42 | 67 |??? | 54 | 27 |??? |??? |??? |??? |  1 |??? |??? |??? |  1 |??? |  1 |??? |  2 |??? |??? |??? |
  7|  4 |??? |  1 | 55 | 29 | 11 | 19 | 96 |??? |  1 |??? |??? |??? |??? |??? |??? |??? |??? |??? | 63 | 53 |??? |??? |  1 |
  8|  2 |  9 | 19 | 20 | 57 | 12 | 83 |  8 |??? |  1 |??? |??? |??? |??? | 15 |  1 |??? |??? |??? |  1 |??? |??? |??? |??? |
  9|??? |??? |??? |??? |??? | 15 | 23 | 97 | 26 |??? |??? |??? |  1 |??? |  1 |??? |  5 | 12 | 33 |  7 |  9 |  6 |??? | 39 |
 10| 74 |  6 |162 | 74 | 60 |??? |??? |??? |??? |??? |??? |??? |??? |  1 |??? |??? |??? |??? |??? |  1 |??? |  1 |??? |  1 |
 11|??? |  1 |??? |  1 |??? |??? |??? |??? |??? |??? |??? |  1 |??? |??? |??? |  1 |??? |??? |  1 |??? |  1 |??? |  1 |??? |
 12|??? |??? |  1 |??? |??? |??? |  1 |??? |??? |??? |  1 |??? |  1 |??? |  2 |??? |??? |??? |  2 |  3 |  1 |??? |  1 |??? |
 13|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |??? |??? |??? | 21 |128 | 36 | 30 | 31 |  7 |??? |??? |
 14|  1 |??? |??? |??? |  1 |??? |  1 |??? |  1 |??? |  1 |??? |  1 |??? |  1 |??? |??? |??? |  1 |??? |  2 |??? |??? |??? |
 15|??? |??? |  4 |??? |??? |??? |??? |  1 |??? |??? |??? |  3 |  1 |  5 | 10 | 11 | 71 | 13 |  8 | 25 | 60 |??? |??? |??? |
 16| 14 |??? |  6 | 15 |  2 |??? |??? |??? |  3 |??? |??? |??? |??? |??? |  2 |??? |  1 |  4 |  1 |??? |  1 |??? |  1 |??? |
 17|  1 |??? |??? |??? |??? |??? |??? |  2 | 14 |  1 |??? |??? |??? |??? |  1 |??? |  3 |??? |??? |??? |  1 |??? |??? |  3 |
 18|  3 |  1 |??? |??? |??? |??? |??? |  1 |??? |  1 |??? |  1 |??? |??? |??? |??? |??? |??? |??? |  1 |??? |  1 |??? |  1 |
 19|??? |  1 |??? |??? |??? |  1 |??? |  1 |??? |  1 |??? |  1 |??? |  1 |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |
 20|??? |  1 |??? |??? |??? |??? |  1 |??? |??? |??? |??? | 10 |  2 |??? |??? |??? |  1 |??? |  1 |  1 |  6 |??? |  1 |??? |
 21|  1 |??? |  1 |??? |??? |??? |??? |  1 |??? |??? |  1 |??? |??? |??? |??? |??? |??? |  3 |  2 | 18 | 23 | 16 |  1 | 10 |
 22|  5 |??? |??? |  2 |??? |  4 |  2 |  8 |??? |??? |??? |  1 |??? |??? |??? | 25 |  1 |  2 |??? | 23 | 27 |  2 |??? |??? |
 23|??? |  1 |  5 |  1 |??? |??? |  4 |  1 |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |??? |??? |??? |??? |  6 | 16 |
 24|??? |??? |??? |  2 |  1 |??? | 11 |??? |  1 |??? |  1 |??? |  1 |??? |  1 |??? |??? |??? |  1 |??? |  1 | 12 |  1 |??? |
 25|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 26|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

