Jul| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 25 | 74 |??? |  2 |??? | 23 |  4 |??? |??? |??? |??? |??? |??? |??? |
  2|??? |  1 |  1 | 12 | 24 |  1 |  9 |??? |??? |??? |??? |??? | 46 |  1 |??? |??? |  1 | 10 |  3 |  9 |  1 |??? | 27 |??? |
  3|  1 |??? |  1 |  3 |  2 |??? |  1 |??? |??? |??? |??? |  1 |  1 |??? |??? | 12 |  1 |??? |  1 | 40 |  5 |??? |  1 |??? |
  4|??? |??? |??? |??? |??? |??? |  1 | 10 |??? |??? |  1 |??? |  1 |??? |??? |  1 |??? |??? |  1 |  4 |??? |??? |??? | 14 |
  5|??? |??? |  1 | 10 |  1 |??? |  1 |??? |??? |  1 |??? |??? |??? |??? |  2 | 11 |??? |  1 |  1 | 14 |??? |??? |??? | 26 |
  6| 34 |  2 | 33 | 24 | 49 |  9 | 15 |  3 |??? |  4 |??? |  1 |??? |??? |??? |??? |??? |??? |  3 |  4 |  1 |??? |??? |??? |
  7|  4 |??? |  4 | 15 |  1 |??? |  7 |??? |??? | 23 |??? |  5 |??? |??? |??? |??? |  1 |??? |??? |??? |  1 |??? |??? |??? |
  8|  1 |??? |  7 |??? |??? |??? |??? |??? | 18 |  6 |  1 |??? |??? |??? |  1 |??? |??? |??? |??? |  1 |??? |??? |??? |??? |
  9|??? |  1 |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |??? |  1 |??? |  1 |??? |  1 |??? |  1 |??? |??? |??? |??? |
 10|??? |  1 |??? |??? |??? |  1 |??? |??? |??? |  1 |??? |??? |??? |??? |??? |  1 |??? |??? |??? |??? |??? |??? |??? |??? |
 11|  1 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |??? | 29 |??? |  1 |??? |
 12|  1 |  4 |??? |??? |  1 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |??? |  1 |??? |  9 |  1 |??? |??? |  1 |
 13|??? |??? |  1 |  3 |??? | 14 |??? |  1 |  2 |  1 |??? |??? |??? |??? |??? |??? |??? |??? |??? |  4 |  1 |??? |  1 |  9 |
 14|??? |??? |  4 | 12 | 15 | 15 | 10 |  6 |  1 |??? |??? |??? |??? |??? |??? |??? |  1 | 16 |  2 |  8 |??? | 23 | 50 | 25 |
 15| 13 |??? |??? |??? |??? |??? |  1 |??? |  1 |??? |  1 |??? |  1 |??? |  1 |??? |??? |  1 |??? |??? |??? |  1 |??? |  1 |
 16|??? |  3 |??? | 20 | 61 |  1 |??? |??? |??? |??? |??? |??? |??? |??? |  2 |??? |  1 |  5 |??? | 62 | 40 |139 |  1 |  2 |
 17|  1 |??? |??? |  1 |??? |??? |??? |??? |??? |  1 |??? |  1 |??? |  1 |??? |  1 |??? |  1 |  3 | 20 |  3 | 19 |??? | 34 |
 18|??? |  1 |??? |  1 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |??? |??? |??? |??? | 20 | 11 |??? |  3 |
 19|  1 |??? |  1 |??? |  1 |??? |??? |??? |  1 |??? |??? |??? |  3 |??? |  1 |??? |??? |??? |  1 | 32 | 88 | 39 |  4 | 57 |
 20| 12 | 20 |  1 |??? |??? |  3 |??? |??? |  2 |??? |  1 |??? |  1 |??? |??? |??? |  1 |??? |  1 |  1 |??? |  1 |??? |  7 |
 21|  9 |  1 |  6 | 20 |??? |  1 |??? |  1 |??? |  1 |  3 | 54 |??? |  1 |??? |  1 |??? |  2 |??? |  1 |??? |  2 |??? |  1 |
 22| 38 |??? |  1 |??? |  1 |  2 |  1 |??? | 51 |??? |??? | 19 |  2 |  5 |??? |  1 |??? |  2 |??? |107 | 45 | 20 |  1 | 11 |
 23| 18 |??? |??? |??? |  2 |??? |  1 |??? |  3 |  4 |  2 |  6 |  2 |  1 |  3 |??? |  2 | 13 |  1 |??? |  1 |??? |  1 |??? |
 24|  7 |??? |  1 | 34 |  1 |  1 |  3 |  2 |  3 |  3 |  1 |  6 |  6 |  3 |  8 |  2 |  1 |  3 |  1 |102 |  1 |??? |  1 |??? |
 25|??? |??? | 19 | 27 |??? |  1 |??? |  1 |??? |??? |??? |  1 |??? |  1 |??? |  1 |??? |  3 |??? |??? | 10 | 54 |??? |100 |
 26|??? |??? | 36 |  1 |??? |  1 |??? |  1 |??? |  3 |??? |  1 |??? |  1 |??? |  1 |??? |  1 |??? | 80 |325 |163 | 22 |??? |
 27|??? |??? | 75 | 35 | 32 | 34 |202 |111 | 10 | 12 |  1 |??? |  1 |413 | 50 |380 |256 |244 | 60 | 18 | 96 |242 |332 |252 |
 28|170 |343 |214 |??? |  3 |??? |  4 |  1 |  2 |??? |  1 | 40 |  3 |  1 |  3 |  1 |  3 |??? |  3 | 70 |140 | 98 |  1 |??? |
 29|??? |  1 |217 | 36 |??? |  1 |??? |  1 |??? |  1 |??? |  1 |??? |  1 |??? |  2 |  6 |103 |??? |  1 |  1 |??? |  5 |213 |
 30| 56 | 98 |156 |139 |125 |??? |??? |  2 |??? |  1 |??? |  1 |??? |  1 |??? |  1 |??? |  1 |??? |190 |104 |??? |  1 |208 |
 31|  2 |??? |  2 |??? |??? |??? | 35 |??? |  1 |??? |  2 |  3 |??? |  1 |  1 |??? |  3 |??? |  2 |176 |428 |191 |  1 | 15 |

