Aug| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|  2 |??? |173 |151 |258 |??? |  1 |??? |  1 |126 |  2 |  8 | 12 |??? |  1 |??? |  1 |??? | 86 | 28 |143 | 93 |??? | 72 |
  2| 12 | 13 |138 | 76 | 84 |??? |  7 |  1 |??? | 21 |??? |  1 |??? |  1 |??? |  1 |??? |  2 |??? | 52 |153 |  1 | 84 | 17 |
  3|  7 |  2 |338 |124 |118 | 23 | 63 | 50 |  3 |  1 |??? |  9 | 17 |125 |147 | 57 |132 | 92 | 47 | 35 |164 | 96 |  9 | 74 |
  4| 41 | 11 | 16 | 10 | 11 |??? |  1 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 57 | 13 | 41 |
  5| 57 |??? |210 | 22 |??? |  1 |??? |??? | 14 |  6 |  1 |  1 |??? |  3 |  2 |  2 | 90 |174 |??? |??? |??? |??? |??? |??? |
  6|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 | 19 |164 |333 |  3 |??? |??? |
  7|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 33 |182 | 53 |282 |118 |104 | 66 |115 |315 |145 |??? | 52 |
  8|  1 | 19 |138 | 65 | 27 |??? |  2 |??? |  1 |??? |??? |  1 |  2 |??? |??? |??? |  7 | 61 | 53 | 70 |  7 |??? |??? | 20 |
  9|  6 |  4 | 69 | 13 | 21 |  6 | 10 |  1 |  3 |??? |  1 |  1 |??? | 92 | 23 |316 |398 |329 |251 |183 | 79 | 61 | 20 |301 |
 10|219 |370 |111 |  8 | 44 | 37 |??? |??? |??? |??? |??? |??? |??? |??? | 79 |231 |171 |118 |269 | 31 | 85 | 66 |  1 | 14 |
 11| 42 |  1 |  1 |  2 | 16 |  3 |??? |  1 |??? |  2 |  2 |  1 | 13 |  1 |  1 |  5 |167 | 79 | 57 | 80 | 89 | 75 |  1 | 85 |
 12| 59 | 18 |??? | 10 |  2 |  2 |  2 |  1 |  3 |  2 |??? |  3 |  1 |  1 |  1 |  5 |  7 | 70 | 31 |145 |193 | 89 |  4 |110 |
 13| 44 | 53 | 83 | 32 | 36 | 66 | 66 | 39 |  4 |  1 |  1 |  2 |  1 | 11 | 12 |111 |??? |??? |??? |??? |??? |??? |??? |??? |
