Sep| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  2|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  3|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  4|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  5|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  6|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  7|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  6 |
  8| 39 |??? |??? |??? |??? |??? |??? | 11 |??? |??? |??? |  6 |  1 |??? |??? |??? |??? |??? |??? |??? |??? |  3 | 24 | 29 |
  9|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 11 |??? |??? |??? |??? |??? |??? |??? |
 10|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |??? |??? |??? |??? |??? |??? |211 |??? |  3 |  2 | 36 |
 11|??? |??? |??? |??? |??? |??? |  3 |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 | 16 |  5 |??? |??? |??? |??? |??? |
 12|??? |??? |??? |??? |??? |??? | 62 |  2 |??? |??? |??? |??? |??? |??? |??? |??? |107 |105 | 57 |212 |  3 |182 |??? |  1 |
 13|??? |??? |??? |  4 | 36 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 42 | 64 | 10 |??? |??? |??? | 64 |
 14|  7 |??? |??? |??? |??? |??? |??? |??? |  7 |154 |??? |??? |  1 |  9 |244 |202 |377 | 44 |  1 |??? |??? |??? |??? |??? |
 15|??? |??? |??? |??? |??? |  1 |  1 |??? |??? |??? |??? | 16 |??? |??? |??? |??? | 22 |??? |??? | 16 |??? |??? |??? | 51 |
 16|  8 |??? |??? |119 |??? |??? | 35 |??? |??? |??? |??? |??? |??? |??? |??? |??? | 25 |  6 |??? |??? |??? |  1 |??? |??? |
 17|??? |??? | 52 |239 |112 |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |??? |??? | 49 | 11 |??? |??? |??? |??? |  1 |
 18|??? |??? |??? |??? |??? |??? |  1 |  8 |??? |??? |??? |??? |??? |??? |??? |??? |??? |  7 |  1 |??? |??? |??? |??? |??? |
 19|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 20|  1 |??? |  2 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  4 |??? |??? |??? |??? |??? |??? |
 21|??? |??? |??? |??? |??? |??? |??? |??? |  1 |??? |??? |??? |??? |??? |??? |  1 |??? | 67 |  7 |??? |??? |??? |??? | 13 |
 22|  1 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  9 |??? |??? |??? |??? |??? |??? |??? |??? |  3 |??? |??? |??? |
 23|??? |??? |??? |??? |??? |??? | 14 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 24|??? |??? |??? |??? |??? |??? |??? |??? |  1 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 25|??? |  1 |??? |??? |??? |??? |??? |  1 |??? |??? |??? |  1 |  2 |??? |??? |??? | 60 | 63 |??? |??? |??? |??? |??? |??? |
 26|??? |??? |??? |??? |  2 |??? |??? |??? |??? |??? |??? |??? |  1 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |146 |
 27|??? |??? | 54 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 |  1 |??? |??? |??? |
 28|??? |??? |??? | 41 |??? |??? | 16 | 80 | 25 |??? |??? |??? |??? |??? |??? |??? |  4 | 36 |??? |??? |??? |??? |??? |??? |
 29|??? |??? |  1 |  7 |  1 |??? |??? |??? |??? |??? |??? |??? |??? |  1 |??? |  1 |??? |??? |??? |  1 |??? |??? |??? |??? |
 30|??? |  1 |??? |??? |??? |??? | 12 |??? |??? |??? |??? |??? |??? |  1 |??? |??? |  3 | 13 |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

