Jan| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |??? |??? |??? |??? |??? |??? |??? |  6 |??? |  4 |  7 | 10 |  5 |  9 |??? | 16 |  8 | 14 | 15 | 14 | 14 | 13 | 14 |
  2| 12 |  8 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  7 |  5 | 10 | 10 | 10 | 10 | 11 | 12 |??? |
  3|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 |??? | 14 |  7 | 13 | 17 |  9 | 13 | 12 |??? |
  4|??? | 40 | 32 |??? | 32 | 28 |??? |??? |??? |??? |??? |??? |??? |??? |??? | 11 | 14 | 19 | 35 | 39 | 57 | 39 | 51 | 36 |
  5|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 14 | 12 | 12 |??? |
  6|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  9 |??? |  2 |  7 | 10 | 10 |  9 | 14 |??? | 20 |  3 |??? |
  7|??? |  8 |??? |??? |??? |??? |??? |??? |??? |??? |  6 |  7 |??? |  6 |  5 | 13 |  5 |  8 | 15 | 14 | 22 | 12 |??? |??? |
  8|??? |  8 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 |  5 |??? |  9 | 18 | 14 | 17 |  9 |??? |??? |??? |
  9|??? |??? |??? |??? |??? | 11 |??? |  2 |  1 |??? |  6 |  2 |  7 |  6 |  9 |  6 |  7 |  5 | 16 |  5 | 12 |??? |??? |??? |
 10|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  6 |  6 |  4 |  7 |  4 |  9 |  8 | 17 |??? |??? |??? |
 11|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  6 |  7 |  5 |  6 |  4 |  6 | 14 |  7 |  8 |  8 | 14 |??? |
 12|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  2 |  8 |  9 |  6 |  7 | 11 |  9 | 10 |  6 |  7 | 11 | 13 | 16 |??? |
 13|  8 | 13 |  8 |??? |??? |??? |??? |  3 |  2 |??? |  5 |  6 |??? |??? |??? |  7 |  4 |  6 |  7 |  7 | 13 |  9 | 17 |??? |
 14| 15 | 14 | 14 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 |  4 |  8 | 10 | 10 |  8 |??? |??? |??? |
 15|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  9 |  6 |  3 |??? |??? |??? |??? |??? |??? |??? |??? |
 16|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  6 | 11 | 11 | 13 | 13 | 13 |??? |??? |??? |
 17|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 |  2 |  5 | 15 | 13 | 14 | 17 |??? |??? |??? |
 18| 11 | 10 |??? |??? |??? |??? |??? |  2 |  4 |  2 |  3 |  8 |  3 |??? |  5 |  9 |  6 | 12 | 10 | 11 |  7 | 14 | 18 |??? |
 19|??? |??? | 14 | 10 |  8 | 11 |  5 |  2 |  3 |  2 |  3 |  2 |??? |??? |??? | 10 | 11 |  5 | 11 |  8 |  8 |  6 |??? |??? |
 20|  9 |  8 |  9 |  9 |??? |??? |  1 |  2 |??? |??? |??? |??? |??? |??? |  2 |  5 | 11 |  7 |  8 | 14 | 12 |  8 |??? |??? |
 21|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  2 |  5 |  5 | 11 |  8 |  9 |  5 | 12 |??? | 16 |
 22|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  8 |  4 |  2 |  7 |  7 | 14 |  8 |  9 | 16 |??? |??? |??? |
 23|??? |??? |  3 |  4 |  2 |  4 |  3 |  1 |  2 |??? |??? |??? |??? |  2 |  5 |  4 |  5 |  5 | 11 | 15 | 16 |??? |??? |??? |
 24|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 |  8 |  2 |  6 |  4 |  7 |??? |??? |??? |
 25|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 26|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

