Feb| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|  4 |  3 |  8 | 12 | 12 | 10 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  2|??? |??? |??? | 11 |  9 | 11 |  8 | 10 | 12 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  4 |??? |
  3|  7 |  9 |  7 |  4 |  9 |  5 |  8 |  6 |??? | 16 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  8 |
  4|  3 |  3 |  6 |  9 |  4 | 11 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  2 |??? |  6 |  2 |  3 |  6 |  1 |
  5|  6 |  2 |  5 | 10 |  8 |  7 |??? |??? |  8 |??? |  5 |  8 |  6 |??? |??? |??? |??? |  4 |??? |  3 |??? |??? |  6 |  5 |
  6|  7 |  5 |  2 |  5 |  6 | 14 |  9 |??? |  8 |  9 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  6 |
  7|??? |  6 |  7 |  6 |  5 |  7 |??? |??? |  8 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  4 |  9 |  7 |  9 |
  8|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  4 |  4 |
  9|  6 |  7 |  6 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  2 |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 10|  6 |  2 |  3 |  8 |  8 |  6 |??? |??? |??? |  3 |??? |??? |??? |  6 |??? |  5 |??? |  3 |??? |??? |??? |??? |??? |  5 |
 11|  3 |  7 |  5 |  1 | 10 |  9 |  7 |  2 |??? |  2 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 12|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 13|??? |  3 |  8 |  7 |  4 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  2 |??? |??? |??? |??? |??? |??? |
 14|  6 |  4 |  8 |  8 |  7 |  5 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 15|  1 |  8 |  8 |  7 | 14 | 14 |  6 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 16|??? |  6 |  6 |  4 |  7 | 12 |  8 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 17|  6 |  4 |  2 | 10 |  4 | 11 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 18|  2 |  3 |  7 | 11 |  9 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 19|??? |??? |  8 |  8 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 20|??? |  6 |  8 |  6 |  9 | 14 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 21|??? |??? |??? |  5 |  6 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 22|  3 |  2 |  8 |  4 |  6 |  5 |  7 |??? |??? |??? |??? |??? |  8 |??? |??? |??? |??? |  2 |??? |??? |??? |??? |??? |??? |
 23|  2 |  4 |  5 |  7 |  7 |  8 |  8 |??? |??? |??? |??? |??? |  5 |  2 |  3 |  1 |??? |??? |??? |??? |??? |  2 |  6 |  2 |
 24|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  2 |  4 |  2 |  2 |  2 |??? |  4 |??? |??? |??? |??? |
 25|  7 |  8 |  6 |  4 |  6 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 26|  3 |  7 |  4 |  9 | 14 |  4 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

