Jun| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  2|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 48 | 60 | 48 |??? |??? |??? |
  3|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 27 | 22 | 36 |??? |??? |??? |??? |
  4| 43 |??? |??? |??? | 23 |??? | 20 |  4 |  8 |??? |??? |??? |??? |??? |??? | 25 | 21 | 25 | 32 | 30 | 32 |??? | 41 | 52 |
  5|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 34 | 33 | 40 |??? |??? |??? |??? |
  6| 33 | 18 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 14 | 25 | 21 | 35 |??? | 36 |??? | 53 | 32 |
  7| 28 |??? |??? | 39 | 34 | 35 | 24 |??? |??? |  5 |  6 |??? |??? |??? |??? |??? | 31 | 35 | 32 | 43 | 34 |??? |??? | 42 |
  8|??? |??? |??? |??? |??? |??? |??? |  3 |  6 |??? |??? |??? |??? |??? |??? |??? | 28 | 35 | 36 | 44 | 56 |??? |??? |??? |
  9|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 18 |??? | 25 | 36 | 30 | 35 | 38 |??? |??? |??? |
 10|??? |??? | 22 | 20 |??? |??? |??? |??? |??? |??? |??? | 14 |??? |??? |??? | 18 | 31 | 29 | 25 | 45 | 34 |??? | 46 |??? |
 11| 18 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 28 |??? | 30 | 22 | 34 | 38 |??? |??? | 38 | 43 |
 12| 30 |??? |??? |??? |??? |??? | 26 |??? |??? |??? |??? |??? |??? |??? |??? | 32 | 24 | 31 | 38 | 44 | 38 |??? |??? | 24 |
 13|??? |??? |??? |??? |??? |??? |??? |??? |  3 |  2 |??? |??? |??? |??? |??? | 25 |??? | 25 | 34 | 34 |??? |??? |??? |??? |
 14|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 21 | 20 | 27 | 34 |??? |??? |??? |??? |
 15|??? |??? |??? | 29 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 17 | 17 | 32 | 33 | 29 |??? |??? |??? |
 16|??? | 17 | 18 |??? |??? |??? | 18 |  6 |??? |??? |??? |??? |??? |??? | 18 |??? |??? | 33 | 30 | 44 |??? |??? | 37 |??? |
 17| 13 | 13 | 12 | 26 | 26 | 30 | 20 | 10 |  6 |??? |??? |??? |??? |??? |??? |??? | 23 | 32 | 34 | 39 |??? |??? | 37 | 27 |
 18|??? |??? | 19 | 21 |??? | 22 | 22 | 16 |  8 |  8 |  8 |??? |??? |??? |??? | 23 | 25 | 30 | 26 | 26 |??? |??? |??? | 33 |
 19|??? |??? | 14 | 10 |??? | 36 |??? |  5 |  6 |  5 |??? |??? |??? |??? |??? |??? | 22 | 38 | 20 | 26 |??? |??? |??? |??? |
 20|??? |??? |??? |??? |??? | 30 |??? |??? |??? |??? |??? |??? |??? |??? |??? | 18 | 22 | 18 | 36 | 40 |??? | 36 |??? |??? |
 21| 17 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 39 | 42 | 30 | 27 | 35 |??? |??? | 35 | 31 |
 22|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 27 |??? | 27 | 31 | 27 | 23 |??? |??? |??? |??? |
 23|??? |??? |??? |  8 | 27 | 18 | 20 |??? |??? |??? |??? |??? |??? |??? | 32 | 25 | 25 | 25 | 34 | 40 | 30 |??? |??? |??? |
 24| 29 |??? |??? |??? |??? |??? | 12 | 14 | 10 |??? |??? |??? |??? |??? |??? | 24 | 37 | 35 | 48 | 43 |??? |??? |??? | 26 |
 25|??? |??? |??? |??? |??? | 16 |  9 |??? | 14 |??? |??? |??? |??? |??? | 26 | 48 | 39 | 37 | 29 | 46 | 62 |??? | 38 | 31 |
 26| 21 | 14 | 19 | 25 | 18 | 16 | 18 | 13 |??? |??? |??? |??? |??? |??? |??? | 25 | 35 | 25 | 32 | 35 | 58 |??? | 48 | 38 |
 27|??? |??? |??? |??? |??? |??? |??? |??? |  6 | 12 |??? |??? |??? |??? | 36 |??? |??? |??? |??? |??? |??? |??? | 25 | 34 |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 28 | 26 | 29 | 27 | 35 | 31 |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 44 | 20 | 34 | 31 |??? |??? |??? |??? |
 30| 26 | 24 |??? |??? | 20 | 17 | 11 | 14 |  7 |  7 |??? |??? |??? |??? | 25 | 27 | 30 | 40 | 28 | 26 |??? |??? | 28 | 32 |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

