Jul| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1| 27 | 11 | 17 | 18 | 15 | 17 | 10 | 14 |  8 |  7 |??? |??? |??? |??? | 30 | 28 | 22 | 24 | 22 | 34 | 46 |??? | 27 | 24 |
  2|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 23 | 33 | 32 | 36 | 38 | 41 |??? |??? | 37 |??? |
  3|??? |??? |??? | 12 | 18 | 15 | 18 |??? |  6 |  6 | 16 |??? |??? |??? |??? | 26 | 35 | 40 | 29 | 27 |??? |??? |??? |??? |
  4|??? |??? |??? |??? |??? |??? |??? |??? | 14 |  5 |??? |??? |??? |??? | 26 | 30 | 48 | 29 | 36 | 27 | 38 |??? | 29 | 27 |
  5|??? |??? |??? |??? |??? |??? |??? |??? |??? | 10 |??? |??? |??? |??? | 26 | 25 | 29 | 38 | 24 |??? |??? |??? |??? |??? |
  6|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 26 | 21 | 26 | 25 | 32 | 35 |??? |??? |??? |??? |
  7|??? |??? |??? |??? |??? | 27 | 16 |??? |??? |??? |??? |??? |??? |??? | 24 | 26 | 24 | 34 | 39 | 38 | 44 |??? |??? |??? |
  8| 24 | 21 | 19 | 18 | 15 | 17 | 17 |  9 |  6 | 10 |??? |??? |??? |??? | 44 | 43 | 41 | 38 | 37 | 35 |??? |??? | 35 | 35 |
  9|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 24 | 35 | 37 | 43 | 36 | 43 |??? |??? |??? |??? |
 10|??? |??? |??? |??? |??? |??? | 11 | 13 |  7 | 10 |??? |??? |??? |??? |??? | 37 | 33 |??? | 33 | 31 | 40 |??? | 29 |??? |
 11| 18 | 12 | 12 |??? |??? |??? |??? |??? |  6 |  8 |??? |??? |??? |??? |??? |??? | 28 | 34 | 26 | 38 | 20 |??? |??? | 20 |
 12|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 22 | 20 |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 13|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 20 | 24 | 33 |??? |??? |??? |??? |??? |??? |
 14|??? |??? | 28 |??? |??? |??? |??? | 14 |??? |??? |??? |??? |??? |??? |??? |??? | 31 | 44 | 41 | 49 |??? |??? |??? |??? |
 15| 16 |??? |??? |??? |??? |??? |??? |??? |??? |  8 |??? |??? |??? |??? |??? | 28 | 31 | 22 | 30 | 29 |??? |??? | 26 | 24 |
 16| 28 |??? |  4 | 10 | 12 |  9 |  7 |  9 |  8 |  9 |??? |??? |??? |??? |??? | 35 | 36 | 30 | 31 | 27 |??? |??? | 24 |??? |
 17| 16 |??? |??? |??? |??? |??? |??? |??? |??? |  8 |??? |??? |??? |??? |??? | 36 | 25 | 28 | 27 | 25 | 38 |??? |??? |??? |
 18|??? |??? |??? |??? | 13 | 16 | 11 | 11 | 14 | 10 | 10 |??? |??? |??? |??? |??? |??? |??? | 34 | 37 |??? |??? |??? |??? |
 19| 20 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 33 | 30 |??? |??? |??? |??? |??? |
 20|??? |??? |??? |??? |??? |??? |??? |  6 | 16 | 11 |??? |??? |??? |??? |??? |??? | 36 | 26 |??? |??? |??? |??? |??? |??? |
 21|??? |??? |??? | 12 | 15 |??? | 18 | 13 |??? |??? |??? |??? |??? |??? | 26 |??? | 34 | 46 |??? |??? |??? |??? |??? |??? |
 22|??? |??? |??? |??? | 14 |  9 | 10 | 10 |  6 |  7 |??? |??? |??? |??? |??? | 29 | 41 | 28 | 20 | 29 |??? |??? | 27 | 23 |
 23| 26 | 16 | 18 | 15 | 17 | 13 | 16 | 14 |  9 |  5 |??? |??? |??? |??? |??? | 48 | 43 | 44 | 41 | 46 | 50 |??? | 32 | 23 |
 24| 22 | 32 |??? |??? |??? | 11 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 64 | 62 | 63 |??? | 38 | 29 | 34 |
 25| 24 | 24 | 11 | 13 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 59 | 53 | 46 | 47 | 51 | 31 |??? | 22 | 17 | 28 |
 26| 24 |??? |??? |??? |??? |??? |??? | 12 |  8 |??? |??? |??? |??? |??? | 60 | 67 | 55 | 48 |??? |??? |??? |??? |??? | 35 |
 27|??? |??? | 11 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 77 | 58 | 62 | 54 | 63 | 46 |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 66 | 62 | 58 | 58 | 76 | 62 | 58 |??? | 28 | 25 |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 55 | 46 | 62 | 62 | 54 | 48 |??? | 17 |??? |
 30|??? |??? | 21 |??? |  9 | 15 |  9 |  7 | 10 | 13 |??? | 15 |??? |??? |??? | 74 | 56 | 62 | 70 | 67 |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |  7 |??? |??? | 16 | 66 | 30 | 72 | 54 | 55 | 60 | 58 | 54 | 28 |??? |??? |

