Sep| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1| 23 | 19 | 16 | 14 | 13 | 20 | 26 | 17 | 11 | 14 |??? |??? |??? |??? |??? | 29 | 22 | 28 | 23 | 33 | 28 |??? | 27 | 22 |
  2| 32 | 29 | 15 | 15 | 25 | 18 | 18 |??? |  8 |??? |??? |??? |??? |??? |??? | 24 | 16 | 26 | 31 | 29 | 28 |??? | 26 |??? |
  3| 21 | 16 | 13 | 16 | 17 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 23 |
  4| 19 | 25 | 20 | 21 | 16 | 18 |  8 |  8 |??? |  8 |??? |??? |??? |??? |??? | 22 | 16 | 27 | 18 | 25 | 20 |??? | 17 | 19 |
  5| 21 | 14 | 11 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 21 | 19 | 25 | 32 | 26 |??? | 16 | 13 | 17 |
  6|??? |??? |??? |??? |??? |??? |??? |  6 | 10 | 15 | 10 |  9 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  7|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 17 | 22 | 26 | 22 | 27 |??? |??? |??? |??? |
  8|??? | 15 | 21 | 16 | 24 | 14 | 16 |??? |  5 |  9 |??? |??? |??? |??? | 20 |??? | 26 | 23 | 31 | 18 |??? |??? | 22 | 25 |
  9| 32 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 16 | 22 | 21 | 23 | 16 | 22 | 28 |??? | 26 | 26 |
 10| 12 |??? |??? |??? |??? | 17 |  5 |??? |??? | 14 |  9 |??? |??? |??? |??? |??? | 12 | 19 | 21 | 17 | 20 |??? | 17 | 20 |
 11| 12 | 14 |  8 | 15 |  2 |??? |  6 | 10 |  7 |  7 |??? |??? |??? |??? | 12 |??? | 19 | 16 | 20 |??? |??? |??? |??? | 13 |
 12| 14 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 16 | 29 | 35 | 30 | 27 |??? | 34 | 12 | 18 |
 13| 13 | 15 | 14 | 12 | 11 | 16 | 15 |??? |??? |??? |??? | 10 |??? | 17 | 24 | 23 | 26 | 20 | 33 | 20 |??? |??? |??? |??? |
 14|??? |??? |??? |??? |??? |??? |??? |??? |??? |  8 |??? |??? |??? |??? |??? | 16 | 20 | 24 | 29 | 17 | 28 |??? |??? |??? |
 15|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 14 | 15 | 26 | 23 | 22 | 20 |??? |??? | 17 | 24 |
 16| 14 | 14 |??? |??? | 20 | 12 |??? |  4 |  9 |  8 |??? |??? |??? |??? | 24 | 19 | 20 | 25 | 20 | 26 | 20 |??? | 18 | 26 |
 17|??? | 16 |??? |??? |??? |??? |??? |??? |  2 |  8 |??? |??? |??? |??? | 16 | 15 | 23 | 18 | 24 | 24 | 18 |??? | 15 | 25 |
 18| 26 | 18 | 12 | 30 | 17 | 20 |??? |  8 |  7 | 11 |??? |??? |??? |??? |??? | 19 | 23 | 25 | 21 | 19 |??? |??? | 16 | 23 |
 19| 19 | 29 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 15 | 21 | 24 | 23 | 20 |??? |??? | 20 | 18 |
 20|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 21|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 34 | 28 | 38 | 44 | 38 |??? |??? |??? |??? |
 22|??? |??? |??? |??? |??? | 20 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 23|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 29 | 37 |??? |??? |??? |??? |??? |??? |
 24|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 25|??? |??? |??? |  8 |??? | 20 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 26| 35 | 23 | 26 | 28 | 26 | 19 | 12 |??? |??? |??? |??? |??? |??? |??? |??? | 21 | 30 | 25 | 32 | 39 |??? |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 23 | 23 | 23 | 30 | 27 | 34 |??? | 26 | 31 |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

