Oct| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |??? |??? |??? |??? |??? |??? |??? |??? |  9 |??? |??? |??? |??? |??? |??? |??? | 25 |  8 |??? | 12 |??? |??? |??? |
  2|??? | 41 | 36 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  6 |??? |??? | 30 | 22 | 40 |??? | 32 |??? |
  3|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 34 | 27 | 30 |??? |??? | 31 |??? |
  4| 26 |??? |??? |??? |??? |??? |??? |??? | 14 |  6 |??? |??? |??? |??? |??? |??? |??? |??? | 30 | 39 |??? |??? | 30 |??? |
  5|??? |??? | 24 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 26 | 22 | 39 |??? |??? |??? |??? |
  6|??? |??? |??? | 29 | 27 | 14 | 13 | 18 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  7| 26 | 22 | 32 | 19 | 25 | 16 | 17 | 14 |??? | 15 |??? |??? |??? |??? | 16 |??? | 33 | 34 | 28 | 30 | 32 |??? | 29 | 38 |
  8| 31 |??? | 30 | 21 | 14 |??? | 10 | 16 | 14 |??? |??? |??? |??? |??? |??? | 27 | 33 | 35 | 37 | 42 | 44 |??? | 19 | 39 |
  9|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 20 | 41 | 33 | 32 | 50 | 34 | 46 |??? |??? | 34 |
 10| 33 | 22 | 29 | 25 | 24 |??? |??? |??? |  8 | 12 |??? |??? |??? |??? |??? | 18 | 29 | 33 | 43 | 35 |??? |??? | 34 | 24 |
 11|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 22 | 32 | 33 | 30 | 38 |??? |??? |??? |??? |
 12|??? |??? | 18 | 30 |??? |??? |??? | 10 |??? |??? |??? |??? |??? |??? |??? |??? | 38 | 22 | 31 | 21 |??? |??? |??? |??? |
 13|??? | 27 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 18 | 30 | 31 | 35 | 31 | 35 | 34 |??? |??? |
 14|??? | 22 | 22 | 18 | 25 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 16 | 14 | 17 | 27 | 27 |??? |??? | 26 |??? |
 15| 27 | 32 | 24 | 22 |??? |??? |??? |??? |??? | 13 |??? |??? |??? |??? |??? |??? | 44 | 36 | 50 | 47 |??? |??? |??? |??? |
 16|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 27 | 27 | 26 | 36 | 27 |??? |??? | 32 | 40 |
 17|??? | 35 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 20 | 22 | 28 |??? |??? |??? | 32 |
 18|??? |??? |??? |??? |??? |  6 | 15 | 10 | 14 |??? |??? |??? |??? |??? |??? | 18 | 30 | 23 | 32 | 24 | 22 |??? |??? |??? |
 19|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 26 | 19 | 24 | 28 | 20 | 29 |??? |??? |??? |
 20| 28 |??? | 25 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 29 | 30 | 24 | 28 |??? | 23 | 27 |
 21| 28 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 20 | 24 | 32 | 24 | 24 |??? |??? | 36 |
 22|??? | 33 | 32 |??? |??? |??? |??? |??? | 14 |??? |??? |??? |??? |??? |??? | 30 | 25 | 37 | 49 | 38 | 52 |??? |??? |??? |
 23| 32 | 31 | 36 | 28 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 43 | 34 | 46 | 33 | 44 |??? |??? | 30 |
 24|??? |??? |??? |??? |??? |??? |??? |??? |  2 | 17 |??? |??? |??? |??? |??? |??? |??? |??? |??? | 34 | 30 |??? |??? |??? |
 25| 26 | 34 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 17 | 23 | 17 | 22 | 28 |??? |??? |??? |
 26|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 26 |??? | 16 | 22 |??? | 18 |??? |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? | 18 | 13 |??? |??? |??? |??? |??? |??? |??? | 21 | 21 | 33 | 33 | 29 | 34 |??? | 30 |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 12 | 26 | 36 | 25 |??? |??? | 51 |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 45 | 22 | 34 | 41 |??? |??? | 48 |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? | 29 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 11 | 16 | 12 | 21 | 24 |??? |??? |??? |??? |

