Nov| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? | 30 | 32 | 21 | 19 | 11 | 11 |??? |??? |??? |??? |??? |??? |??? |??? |??? | 28 | 24 | 34 | 31 |??? |??? | 32 |??? |
  2|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 31 | 32 | 35 | 45 | 41 |??? |??? |??? |
  3|??? |??? | 24 |??? | 28 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 24 | 49 | 35 | 45 |??? |??? |??? |??? |
  4| 30 |??? |??? |??? |??? |??? |??? |??? |  8 |??? |??? |??? |??? |??? |??? |??? |??? | 42 | 38 | 32 | 40 |??? | 38 | 40 |
  5|??? |??? |??? | 36 | 24 |??? | 16 | 11 |??? | 12 |??? |??? |??? |??? |??? | 27 | 19 | 34 | 34 | 31 |??? |??? | 20 | 36 |
  6|??? |??? | 33 | 28 |??? | 16 |  9 | 12 |  9 |  9 | 12 |??? |??? |??? | 21 | 28 | 22 | 37 | 41 | 34 |??? |??? | 41 |??? |
  7|??? | 35 | 18 |??? | 26 | 18 | 11 | 11 | 15 | 16 | 35 |??? |??? |??? |??? | 16 | 18 | 27 | 25 | 28 | 36 |??? |??? |??? |
  8|??? |??? |??? | 36 | 18 | 14 | 20 |??? |??? |??? | 10 |??? |??? |??? |??? |??? | 21 | 30 | 30 | 26 |??? |??? |??? |??? |
  9|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 16 | 16 | 21 | 18 | 26 | 19 |??? |??? |??? |
 10|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 29 | 28 | 28 | 40 | 35 |??? |??? |??? |??? |
 11|??? | 44 |??? | 25 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 44 |??? |??? |??? | 49 | 52 |
 12|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 13|??? |??? |??? |??? |??? |??? |??? |??? |  6 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 14|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 13 |??? |??? |??? |??? |??? |??? | 25 | 33 | 24 |??? |??? | 17 |??? |
 15|??? |??? |??? |??? |??? |??? | 18 |??? |??? |??? |??? |??? |??? |??? |??? |??? | 17 | 22 | 28 | 23 | 40 |??? |??? |??? |
 16|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 22 | 33 | 29 | 29 |??? |??? |??? |
 17|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 18|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 18 | 25 |??? |??? | 29 | 30 |
 19| 29 | 36 |??? |??? |??? |??? |??? |??? |  5 | 20 |??? |??? |??? |??? |??? | 20 | 16 | 21 | 26 | 31 |??? |??? |??? | 40 |
 20|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 32 | 23 | 41 | 59 |??? |??? |??? |??? |
 21| 47 | 39 |??? |??? |??? |??? |??? |  9 | 13 |??? |??? |??? |??? |??? |??? |??? | 33 | 45 | 34 | 41 |??? |??? |??? | 58 |
 22|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 12 |??? |??? |
 23|??? |??? |??? |??? |??? |??? |??? |??? |??? | 11 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 24|??? |??? | 15 | 30 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 13 | 14 | 12 | 29 | 19 | 29 |??? |??? |??? |
 25|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 52 | 50 |??? |??? |??? |??? |
 26|??? |??? |??? |??? |??? |??? |??? |??? | 12 | 14 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 27| 26 | 32 | 30 | 18 |??? |??? | 12 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 21 | 26 | 31 |??? |??? | 26 |??? |
 28| 28 |??? |??? |??? | 12 |??? |??? |??? |??? | 11 | 12 |??? |??? |??? |??? | 18 | 16 | 22 | 28 | 26 |??? |??? | 26 | 30 |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? | 20 |??? |??? |??? |??? |??? |??? |??? |??? |??? | 35 | 39 | 57 | 45 | 40 |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

