Aug| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|  1 |  5 | 21 | 16 | 24 | 20 |  9 |  6 | 11 | 12 |  9 | 17 |  4 |  4 | 20 |  4 |  4 |  1 |  9 | 13 |  7 | 13 |  2 |??? |
  2|  1 |  3 | 18 | 23 | 37 |  1 |  7 | 16 | 14 | 13 | 21 |  3 |  6 |  6 |  3 |  3 | 22 | 17 | 28 | 24 | 28 | 54 |??? | 14 |
  3|??? | 12 | 19 | 17 | 22 |  2 |??? | 37 | 24 | 38 | 34 |  4 |  5 |  9 |  2 |  9 | 11 | 11 |  4 |  5 |  9 | 12 |  2 | 13 |
  4|??? |  3 | 10 | 20 | 25 | 18 | 16 | 10 | 28 | 12 | 12 |  8 | 13 | 72 |  9 |  5 |  5 |  4 |  6 | 28 | 61 |  8 | 22 |??? |
  5|  1 | 15 | 29 | 19 | 11 | 28 | 32 | 52 | 97 |  8 |  3 | 13 |  8 |  7 | 14 | 10 |  8 |  8 | 20 | 56 | 44 | 88 | 46 | 38 |
  6|  1 |  3 |  4 |  8 | 37 | 45 | 47 | 29 | 22 |  7 |  7 |  3 |  4 |  8 |  5 |  1 |??? |  9 |??? |??? |??? |  6 |  3 |??? |
  7|??? |??? |??? |??? |??? | 20 | 20 |  9 | 17 | 19 | 65 | 10 |  4 |  4 | 23 | 14 |  1 |  6 | 14 |  2 | 30 |  9 |??? |??? |
  8| 22 |  8 | 29 | 53 | 37 | 30 | 32 | 14 | 15 | 34 | 18 | 20 | 12 | 18 | 13 | 14 | 25 | 28 | 26 |??? |  9 | 16 |??? |??? |
  9|  1 | 12 | 22 | 42 | 48 |??? |  8 | 53 | 37 | 25 | 44 | 68 | 27 | 25 | 20 |  6 |  8 |  8 | 18 |102 | 13 |??? |  6 |  5 |
 10|  7 |  5 |  6 |  9 | 44 | 23 |  9 | 26 | 29 | 28 | 19 | 28 | 20 | 24 |  8 |  6 |  2 |  1 | 26 | 36 |  7 |  4 |??? | 21 |
