May| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |??? |??? |??? |  2 |??? |??? |  2 | 12 |  1 |  1 | 14 |  2 |  6 |??? |??? |??? |??? |  1 |??? |  1 |??? |  1 |??? |
  2|??? |??? |  1 |??? |??? |  1 |  2 |??? |??? |??? |  1 |??? |??? |??? |??? |  1 |??? |??? |??? | 63 | 75 | 63 | 44 | 47 |
  3|  1 | 18 |  8 | 82 | 32 | 59 | 80 |133 | 27 | 96 |107 |102 | 67 | 94 |111 | 30 |125 | 36 | 24 | 55 | 83 | 30 | 49 | 17 |
  4| 21 |  2 | 10 |??? |??? |  6 |??? |??? |??? |  2 |??? | 71 | 83 | 83 | 91 |117 | 96 | 52 |103 |151 |420 |457 |167 | 92 |
  5| 57 | 31 | 55 |561 |918 |718 |130 |289 | 54 | 44 | 88 |109 | 38 | 56 |147 | 41 | 52 | 38 | 50 | 55 | 44 | 30 | 49 | 37 |
  6| 74 | 61 | 74 | 48 | 41 |433 | 96 | 79 | 87 | 71 | 98 | 48 |  6 |  6 |  2 |  2 | 29 | 13 |  8 |??? |  1 |  1 |??? |  1 |
  7|??? |??? |??? |114 |128 |278 |112 |303 | 54 |175 |263 | 45 | 35 |125 |133 | 86 | 72 | 46 | 34 | 43 | 11 | 30 |??? |??? |
  8|??? |  2 |??? |  1 |??? |??? |??? |??? |  3 |  9 |  2 | 20 |  4 |  6 |  5 |  9 |??? |??? |  6 |  4 |??? |??? |??? |??? |
  9| 10 | 18 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  2 |??? |??? |??? |??? |??? |
 10|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 10 |150 |117 | 94 | 81 | 39 | 50 | 39 | 60 |
 11| 37 | 99 | 10 |  8 | 72 |110 | 88 |130 | 65 | 55 | 52 | 58 |116 |141 | 26 |131 |162 | 54 |100 | 57 | 37 | 59 | 49 | 70 |
 12| 78 | 47 |160 |136 | 73 | 60 |193 |180 |331 |178 | 97 | 72 |186 | 89 |123 |  1 |??? |  1 |??? |??? |??? |??? |??? |??? |
 13|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 14|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 15|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 16|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 17|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 18|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 19|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 20|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 21|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 22|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 23|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 24|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 25|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 26|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

