Oct| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  2|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  3|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  4|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  5|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  6| 33 | 42 | 31 | 33 | 25 | 31 | 26 | 41 | 28 | 18 | 24 | 54 | 25 | 33 | 47 | 28 | 32 | 33 | 29 | 25 | 61 | 43 | 41 | 35 |
  7| 32 | 29 | 32 | 31 | 23 | 19 | 16 | 10 | 22 | 15 | 21 | 29 | 15 | 38 | 37 | 33 | 39 | 36 | 42 | 51 | 49 | 38 | 34 | 43 |
  8| 33 | 34 | 28 | 26 | 33 | 33 | 27 | 25 | 35 | 16 | 19 | 21 | 27 | 40 | 42 |??? | 37 | 39 | 47 | 51 | 35 | 37 | 31 | 33 |
  9| 43 | 29 | 24 | 39 | 24 |??? | 18 | 17 | 13 | 23 | 24 | 20 | 38 | 37 | 27 | 43 | 38 |??? | 48 | 43 | 43 | 41 | 47 | 43 |
 10| 48 | 32 | 24 | 35 | 24 |??? |??? |??? | 20 | 28 | 31 | 41 | 40 | 44 | 34 | 42 | 35 | 35 | 34 | 47 | 43 | 37 | 38 | 45 |
 11| 39 | 39 | 24 | 40 | 33 | 12 | 13 | 16 | 26 | 21 | 31 | 42 | 32 | 32 | 30 | 30 | 45 |??? |??? |??? |??? |??? | 48 | 33 |
 12|??? |??? | 34 | 23 | 24 | 22 | 15 | 17 | 16 | 27 | 21 | 31 | 31 | 53 | 46 | 34 | 55 |??? | 32 | 43 | 61 |??? |??? |??? |
 13| 46 | 37 | 20 | 20 | 16 |  9 | 14 | 16 | 15 | 19 | 32 | 36 | 35 | 42 | 44 | 49 | 72 | 52 | 81 | 62 | 65 | 72 | 60 | 57 |
 14|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 36 | 46 | 52 | 55 | 52 | 48 | 44 | 55 |??? |
 15|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 16|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 17|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 18|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 19|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 20|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 21|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 22|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 23|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 24|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 25|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 26|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

