Aug| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1| 13 | 14 |  9 |  5 |  6 |  6 |??? |??? |??? |??? |??? |??? |??? |  7 |  6 |??? |??? | 11 |??? |  7 |  1 |??? |??? |??? |
  2|  9 |  1 | 12 | 15 | 11 | 11 |  7 |  9 |  6 | 10 | 11 |  4 | 14 |  4 |  3 |  1 |  3 | 18 |  2 |  2 |  3 |  6 |  5 | 13 |
  3|  7 |  3 |  3 |  5 | 12 | 11 |  9 |  8 | 11 | 16 |??? |??? |??? |??? | 16 | 10 |  4 |  3 |  7 |  3 |  2 |  7 |??? |  3 |
  4| 16 |  8 |  6 | 11 |  8 |  6 |  5 |  5 |  2 |  4 |  8 |  4 |  9 |  2 |  3 |  3 |  4 |  2 |  2 |  5 |??? |  4 |  6 | 10 |
  5| 13 |  6 |  4 |  1 |  4 |  2 |  5 |  2 |  5 | 12 | 15 |  7 | 10 | 16 |  9 |  6 |  4 |??? |??? |??? |??? |  7 |  3 |??? |
  6|??? | 13 |  6 |  3 |  5 |  2 |  1 |  3 |  2 |  4 |  5 |  4 |  6 |  9 |  5 |  5 |  7 |  9 |??? |??? |??? |??? | 10 |  9 |
  7|??? | 11 |??? |??? | 13 |  3 |  7 |  5 |  3 |  7 | 10 |  8 | 11 | 10 |  4 |  4 |  4 |  5 |  4 |  1 |  3 |  9 | 13 |  4 |
  8| 13 |  6 | 11 |??? |??? |??? |??? |??? |  5 |  3 |  7 |  6 | 14 | 12 | 15 |  8 |  5 |  4 |  2 |  2 | 12 | 10 | 16 | 15 |
  9| 15 | 11 |  5 |  4 |  5 |  3 |  3 |  1 |  6 |  7 |  7 |  3 |  3 | 11 |  3 |  3 |  2 |  5 |  4 |  5 |  3 |  5 | 11 | 11 |
 10| 13 | 14 | 19 | 19 | 10 | 10 | 10 |??? |  9 | 10 | 11 | 12 | 14 | 16 |  7 |  9 |  6 |  7 |  6 |  5 |  5 |  7 |  9 | 11 |
 11| 16 | 17 |  2 |  8 |  5 |??? |  4 |  3 |  4 |  2 |  3 |  8 |  3 |  7 |  7 | 15 |  7 |  6 |  6 |  7 |  8 |  7 |  6 |  4 |
 12| 11 |  5 |  6 |  5 |  8 | 10 | 11 | 12 | 13 | 18 | 12 |  5 |  4 | 13 |  8 | 16 | 22 | 12 |  7 |  4 |??? |??? |??? |??? |
 13|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 14|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 15|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 16|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  7 |  9 |  8 |  5 |  3 |  5 |
 17|  8 |  4 | 12 |  3 |  6 |  9 |  4 |  4 |??? |  6 |  2 |  4 |  7 | 10 |  2 |  8 |  4 |  3 | 14 | 10 |  2 |  9 |  6 |??? |
 18|??? |??? |  7 |  8 |??? |??? |??? |??? |  9 |  9 | 14 | 13 | 11 | 11 |  5 |  6 |  8 |  1 |??? |  3 |  3 |  4 |  5 | 11 |
 19|  8 |  4 | 12 |  9 | 10 |  9 |  8 |??? |??? |??? |??? |??? |??? |  4 |  9 |  5 |  7 |  3 |  3 |  1 |  2 |  5 |  4 | 11 |
 20| 11 | 12 |  9 |  5 |  4 |  8 |  5 |  5 |  7 |  5 |  7 |  1 |  9 |  8 |  7 | 10 | 10 |  5 |  8 |  5 |  7 | 12 |  5 |  8 |
 21| 18 | 10 |  5 |  5 |  6 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 22|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 23|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 24|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 25|??? |??? |  8 |  6 |  4 |  6 |  9 |  3 |  4 |  4 | 12 | 10 | 11 | 11 | 10 | 17 |  7 |  7 | 12 | 10 | 15 | 22 |  7 | 13 |
 26| 18 | 11 |  6 |  3 |  2 |  4 |  3 | 10 |  7 |  7 | 20 | 23 | 13 | 23 |  9 |  7 |  4 |  4 |  9 |  1 |  6 |  5 |  9 |  4 |
 27|  5 | 15 |??? |??? | 10 |  3 |  4 |  8 |  3 |  8 |  6 |  7 |  8 | 10 |  5 |  8 | 10 |  3 | 17 |  5 |  4 |  6 |  4 | 14 |
 28| 14 | 12 | 13 |  9 |  3 |  3 |  3 |  5 |  3 |  5 |  9 |  9 | 14 |  9 | 12 | 15 | 14 | 11 |  9 |  6 | 10 |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 11 |  7 | 12 |??? | 13 |  7 |  5 |
 30| 11 |  3 |  8 |  9 |  4 |  4 |  3 |  1 |  5 |  5 |  8 |  9 |  4 |  5 | 11 | 16 |  8 | 14 | 17 | 10 |  2 |  4 |  6 |  9 |
 31| 11 | 10 |  9 |  9 |  9 | 11 |??? |??? |??? |??? |??? |  5 | 10 |  8 |  7 |  9 |  6 | 10 | 15 |  4 |  3 | 10 | 15 |??? |

