Nov| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|  2 |??? |  6 | 11 |  8 |  9 |  2 |  6 |  4 |  4 |  5 |  9 | 16 |  8 | 16 |  6 |  5 |  5 |  6 |  7 |  8 |  7 |  4 | 15 |
  2|??? |??? |  8 |  8 | 11 |  5 | 10 | 11 | 20 |??? |??? |??? | 20 | 19 | 10 |  3 |  9 | 14 | 16 | 15 |  9 |  5 |??? |??? |
  3|??? |??? | 13 |  7 | 14 |  8 |  8 |  8 |  3 |  6 |  8 | 14 | 14 | 14 |  5 |  8 |  8 | 16 | 17 |??? |??? |??? |??? |??? |
  4|??? |??? |??? | 12 | 16 | 15 |  6 |  4 |  3 |  4 | 15 |  8 | 19 | 16 |  6 |  5 |  5 |  3 |  4 |  8 |  9 |??? |??? |??? |
  5|??? | 12 | 19 | 16 |  5 |  4 |  5 |  3 |  4 |  2 |  8 |  8 | 12 |  5 | 17 |  5 |  3 | 13 |  8 | 10 |  4 |  8 | 20 | 15 |
  6| 15 | 21 | 11 |  9 |  8 |  8 |  9 | 10 |  4 | 17 |??? |??? |??? |??? |??? |??? |??? |??? | 18 | 17 | 13 |??? |??? |??? |
  7|??? |??? | 12 | 16 | 10 | 10 |  1 | 11 |  6 |  3 |??? |??? |??? |??? |??? |  8 | 12 | 14 | 15 | 15 | 14 | 16 | 17 | 19 |
  8| 18 | 19 | 16 |  5 | 10 | 12 |  4 |  9 |  3 |  7 |  6 | 11 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  9| 20 | 24 |  8 | 11 | 20 |  7 | 22 |  8 | 18 | 20 | 11 | 18 |??? |??? |??? | 12 | 15 | 14 | 14 | 13 |  7 | 16 | 18 | 21 |
 10|??? |??? |??? |??? | 10 |  5 | 12 |  7 | 20 | 15 |??? |??? |??? |??? | 15 |  8 | 16 | 13 |  8 | 14 |  2 |  9 |??? |??? |
 11|??? |??? | 12 |  9 | 19 | 12 |  5 |  7 | 10 | 10 |??? |??? |??? |??? |??? | 13 |  6 | 13 |  6 |  8 | 14 | 10 |??? |??? |
