Nov| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  2|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  3|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  4| 32 | 17 | 18 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 19 | 17 | 28 | 44 | 44 | 35 | 39 | 24 | 27 |
  5|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  6|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  7|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  8|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  9|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 10|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 11|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 12|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 13|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 14|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 15|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 16|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 17|??? |??? |??? |??? |??? |??? | 59 |??? | 38 | 32 |??? | 61 | 42 | 48 | 47 |??? |??? | 60 | 83 | 60 | 71 | 80 | 47 |??? |
 18|??? |??? |??? |??? | 47 | 35 | 30 |??? | 47 | 53 | 48 |??? | 33 | 40 | 50 |??? | 84 |102 |105 | 66 | 77 |104 | 75 | 58 |
 19| 62 | 59 | 56 | 53 | 42 | 19 | 29 | 48 | 35 | 19 | 24 | 21 | 18 | 14 | 19 | 54 | 55 | 69 | 84 | 60 | 96 | 81 | 89 | 43 |
 20| 62 | 43 | 45 | 42 | 42 | 26 | 41 | 30 | 21 | 24 | 13 | 15 | 25 | 22 | 27 | 34 | 41 | 61 | 69 | 71 | 69 | 44 | 78 | 84 |
 21| 47 | 45 | 37 | 22 | 28 | 49 | 32 | 26 | 18 |??? | 17 | 30 | 27 | 29 | 18 | 20 | 24 | 36 | 42 | 53 | 56 | 44 | 30 | 34 |
 22|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 28 | 22 | 25 | 25 | 37 | 46 | 56 |??? |??? |??? |
 23| 91 | 71 | 35 | 65 | 63 | 64 |??? |??? | 45 | 51 | 59 | 54 | 48 | 33 | 24 | 28 | 88 | 52 | 47 |??? | 45 | 64 | 65 | 56 |
 24| 41 | 40 | 42 | 21 | 35 | 20 | 20 | 19 | 18 | 36 | 26 | 32 | 21 | 20 | 23 | 30 | 46 | 46 | 60 | 51 | 38 | 71 | 38 | 29 |
 25| 31 | 38 | 31 | 29 | 44 | 32 | 38 | 41 | 29 | 34 | 19 | 28 | 25 | 39 | 20 | 24 | 22 | 32 | 41 | 46 | 51 | 39 | 50 | 42 |
 26| 68 | 66 | 59 | 30 | 42 | 23 | 42 | 30 | 31 | 43 | 30 | 20 | 36 | 28 | 30 | 13 | 44 | 34 | 48 | 66 | 55 | 62 | 46 | 88 |
 27| 47 | 58 | 62 | 37 | 40 | 31 | 41 |??? | 45 | 26 | 43 | 33 | 44 | 31 | 38 | 40 | 33 | 67 | 56 | 66 | 64 | 53 | 70 | 70 |
 28| 72 | 68 | 52 | 41 | 40 | 30 | 41 | 18 | 31 | 17 | 23 | 30 | 25 | 32 | 26 | 29 | 70 | 35 | 64 | 57 | 52 | 65 | 43 | 43 |
 29| 41 | 50 | 68 | 52 |??? | 52 | 56 |??? |??? |??? |??? |??? |??? |??? |??? | 33 | 30 | 47 | 68 | 65 | 60 | 67 | 47 | 47 |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

