Jan| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|  8 |  3 | 12 | 18 | 63 | 61 | 67 | 42 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  2|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 44 | 55 | 19 |
  3|??? |??? | 16 |101 | 70 | 58 | 57 | 35 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |109 |138 | 13 |
  4|??? |??? |??? | 53 | 82 | 77 | 50 | 53 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  5|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 22 | 45 |  9 |
  6|??? |??? |  7 | 49 | 49 | 54 | 52 | 27 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 30 | 18 |  1 |
  7|??? |??? | 14 | 54 | 59 | 60 | 56 | 27 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 25 | 13 |  9 |
  8|??? |??? |  5 | 50 | 59 | 54 | 40 | 53 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 23 | 14 |  4 |
  9|??? |??? | 23 | 65 | 39 | 69 | 41 | 31 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 28 | 20 |  2 |
 10|??? |??? |  6 | 51 | 44 | 42 | 45 | 41 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 35 | 16 |  2 |
 11|??? |??? |  2 | 19 | 73 | 42 | 63 | 61 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 28 | 28 |  5 |
 12|??? |??? |  5 | 66 | 46 | 57 | 40 | 36 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 20 | 25 |  6 |
 13|??? |??? |??? | 66 | 67 | 76 | 51 | 25 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 26 | 22 |  3 |
 14|??? |??? |  1 | 57 | 55 | 82 | 65 | 51 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 30 | 26 |  3 |
 15|??? |??? |  5 | 54 | 38 | 62 | 46 | 35 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 32 | 28 | 10 |
 16|??? |??? |  2 | 49 | 57 | 55 | 60 | 86 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 51 | 25 |  1 |
 17|??? |??? |  1 | 24 | 39 | 59 | 45 | 38 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 28 | 28 |  1 |
 18|??? |??? |??? |  2 | 36 | 54 | 62 | 31 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 17 | 24 | 22 |
 19|  1 |??? |  8 | 39 | 50 | 46 | 53 | 44 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 58 | 20 |  5 |
 20|??? |??? |  7 | 58 | 49 | 51 | 54 | 62 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 21|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 22|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 23|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 24|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 25|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 26|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

