Oct| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  2|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 | 15 | 17 |  7 |??? |
  3|??? |??? |??? | 16 | 47 | 49 | 24 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 | 16 | 14 |  3 |??? |
  4|??? |??? | 19 | 29 | 26 | 20 | 96 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 | 16 | 23 |??? |??? |
  5|??? |??? | 18 | 27 | 27 | 39 | 17 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  2 | 21 | 28 |  2 |??? |
  6|??? |??? | 15 | 23 | 19 | 41 | 43 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 | 13 | 11 |??? |??? |
  7|??? |??? | 20 | 30 | 11 | 33 | 13 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  8|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  9|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 10|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  2 | 38 | 26 |  5 |??? |
 11|??? |??? | 18 | 37 | 37 | 33 | 15 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 | 23 | 14 |??? |??? |
 12|??? |??? | 16 | 23 | 49 | 34 | 27 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 | 15 | 12 |  4 |??? |
 13|??? |  1 | 24 | 23 | 19 | 22 | 23 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 | 26 | 25 |??? |??? |
 14|??? |??? | 19 | 31 | 15 | 27 | 32 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 15|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 16|??? |??? |  1 | 16 | 48 | 47 | 39 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 | 25 | 21 |  3 |??? |
 17|  6 | 14 | 29 | 62 | 58 | 88 | 39 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  3 | 22 | 20 |  6 | 14 |
 18|??? |??? | 43 |111 |113 | 95 | 58 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  5 | 21 | 34 |  1 |??? |
 19|??? |  2 | 42 |173 |110 |126 | 50 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  2 | 49 | 44 |  3 |??? |
 20|??? |??? | 63 | 98 |138 | 98 | 39 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 | 27 | 21 |  3 |??? |
 21|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 22|??? |??? | 30 | 52 | 51 | 92 | 69 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 18 | 23 |??? |??? |
 23|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  2 | 26 |  9 |  9 |  3 |
 24|??? |??? | 10 | 32 | 42 | 34 | 17 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |  1 | 11 | 13 |  5 |??? |
 25|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 26|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

