Nov| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |??? |  1 | 28 | 53 | 21 | 44 | 27 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  2|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  3|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  4|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  5|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  6|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  7|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  8|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 59 | 68 | 13 |
  9|??? |??? |  1 | 22 | 33 | 42 | 33 | 46 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 29 | 40 |  6 |
 10|??? |??? |??? | 22 | 38 | 33 | 25 | 11 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 20 | 29 |  2 |
 11|??? |??? |  1 | 30 | 46 | 38 | 22 | 13 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 30 | 45 |  5 |
 12|??? |??? |  1 | 15 | 25 | 51 | 30 | 27 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 34 | 52 |  1 |
 13|??? |??? |  1 | 25 | 36 | 49 | 92 | 51 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 29 | 35 |  4 |
 14|??? |??? |??? |  1 | 15 | 31 | 39 |140 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 39 | 89 |  6 |
 15|??? |??? |??? | 52 | 54 | 41 | 39 | 40 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 31 | 49 | 10 |
 16|??? |??? |??? | 31 | 31 | 24 | 18 | 33 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 17 | 11 |??? |
 17|??? |??? |  1 | 17 | 49 | 20 | 16 | 36 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 43 | 39 |  7 |
 18|??? |??? |  2 | 22 | 32 | 42 | 69 | 36 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 20 | 28 |  1 |
 19|??? |??? |??? | 35 | 44 | 54 | 79 | 38 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 20|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 44 | 51 |  5 |
 21|??? |??? |??? | 22 | 27 | 53 | 44 | 21 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 33 | 43 |  1 |
 22|??? |  2 |  1 | 20 | 43 | 32 | 32 | 18 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 26 | 22 | 31 |
 23| 28 |??? |  1 | 22 | 28 | 38 | 30 | 36 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 29 | 28 |??? |
 24|??? |??? |??? | 26 | 32 | 49 | 40 | 25 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 56 | 43 |  5 |
 25|??? |??? |  2 | 56 | 63 | 47 | 46 | 37 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 57 | 48 |  3 |
 26|??? |??? |??? | 27 | 28 | 25 | 26 | 29 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 57 | 57 |  6 |
 27|??? |??? |  1 | 47 | 50 | 51 | 57 | 27 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 22 | 38 |  2 |
 28|??? |??? |  2 |  3 | 18 | 47 | 26 | 36 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 50 | 40 |  5 |
 30|??? |??? |??? | 27 | 39 | 37 | 40 | 42 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 48 | 50 |  2 |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

