May| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|105 |132 |152 |269 |255 |311 |402 |651 |594 |337 |265 |267 |155 |120 |103 | 43 | 26 | 32 | 30 | 55 | 52 | 78 | 23 |  8 |
  2|  7 | 13 | 36 |223 |365 |448 |438 |479 |410 |280 |283 |227 |191 |137 | 82 | 59 | 33 | 30 | 28 | 27 | 53 | 66 | 19 |??? |
  3|??? |??? |150 |330 |430 |421 |319 |270 |224 |304 |278 |190 |140 |126 | 86 | 59 | 39 | 45 | 31 | 53 | 47 | 77 | 16 |??? |
  4|??? |??? |164 |387 |371 |459 |475 |444 |413 |351 |304 |212 |164 | 96 | 65 | 35 | 36 | 22 | 49 | 43 | 54 | 68 |  6 |??? |
  5|??? |??? |161 |294 |468 |449 |488 |470 |378 |359 |286 |198 |119 | 88 | 36 | 35 | 27 | 17 | 28 | 23 | 54 | 81 | 17 |??? |
  6|??? |  6 |114 |258 |298 |314 |414 |468 |379 |424 |295 |253 |154 |142 | 73 | 30 | 22 | 24 | 20 | 35 | 44 | 50 | 10 |??? |
  7|??? |??? |155 |311 |297 |366 |363 |405 |412 |350 |280 |200 |164 |129 | 70 | 39 | 29 | 21 | 29 | 29 | 48 | 52 |  9 |??? |
  8|??? |??? |124 |272 |330 |329 |420 |543 |424 |334 |284 |242 |193 |134 | 60 | 86 | 22 | 17 | 18 | 24 | 42 | 66 | 21 | 15 |
  9|  8 | 25 | 16 |146 |324 |320 |399 |440 |354 |294 |257 |234 |150 |114 | 81 | 32 | 34 | 12 | 17 | 27 | 43 | 56 |  8 |??? |
 10|??? |??? |113 |209 |229 |261 |330 |328 |368 |295 |??? |??? |??? |??? |??? |??? |??? |??? |??? | 26 | 44 | 61 | 15 |??? |
 11|??? |??? |118 |206 |196 |242 |374 |250 |287 |284 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 50 | 73 |??? |??? |
 12|??? |??? |116 |185 |199 |289 |280 |358 |319 |297 |243 |156 |191 |??? |??? | 58 | 31 |??? |??? |??? | 52 | 74 | 13 |??? |
 13|??? |??? |117 |165 |200 |223 |268 |254 |302 |276 |241 |193 |175 |124 | 54 | 35 | 26 | 23 | 29 | 31 | 65 | 68 | 13 |??? |
 14|??? |??? |119 |162 |232 |273 |292 |280 |311 |246 |238 |203 |171 |121 | 77 | 40 | 35 | 21 | 32 | 21 |??? | 50 |  9 |??? |
 15|??? |??? |148 |179 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 41 | 38 | 72 | 14 |  6 |
 16|  8 |  6 | 12 | 46 |197 |216 |264 |361 |298 |220 |169 |171 |116 |126 | 66 | 50 | 17 | 28 | 34 |??? | 33 | 66 | 11 |??? |
 17|??? |??? |112 |174 |183 |186 |211 |413 |389 |213 |177 |158 |148 | 88 | 51 | 21 | 26 |??? |??? | 41 | 34 | 54 | 65 | 38 |
 18|??? |??? |118 |136 |220 |203 |231 |259 |273 |214 |162 |161 |144 |129 | 68 | 47 | 20 | 16 | 12 | 31 | 53 | 60 | 18 |??? |
 19|??? |??? |122 |171 |190 |204 |214 |251 |282 |217 |187 |147 |144 |124 | 77 | 26 | 28 | 23 | 24 | 20 | 60 | 59 | 17 |??? |
 20|??? |??? |108 |146 |181 |204 |224 |422 |337 |206 |178 |162 |141 |105 | 56 | 48 | 41 | 22 | 22 | 34 | 46 | 49 |  7 |??? |
 21|??? |??? | 89 |149 |198 |167 |206 |196 |141 |210 |160 |147 |119 | 88 | 61 | 34 | 32 | 21 | 24 | 35 | 48 | 48 | 19 |??? |
 22|??? |??? | 88 |171 |219 |177 |278 |307 |290 |186 |184 |170 |120 |101 | 62 | 39 | 28 | 18 | 38 | 44 | 50 | 68 | 25 | 10 |
 23| 11 | 13 | 21 | 90 |206 |211 |209 |256 |278 |??? |??? |??? |??? | 43 | 35 | 49 | 29 | 33 | 27 | 42 | 55 | 69 | 16 |??? |
 24|??? |??? |121 |201 |238 |260 |279 |391 |377 |266 |192 |201 |107 |117 | 59 | 39 | 43 | 35 | 40 | 46 | 56 | 59 |  8 |??? |
 25|??? |??? |111 |196 |222 |199 |187 |211 |219 |221 |198 |146 |??? | 88 | 61 | 42 | 38 | 60 | 82 |??? | 85 |??? |??? |??? |
 26|??? |??? |119 |205 |165 |207 |243 |308 |276 |??? |??? |208 |134 |149 | 49 | 46 | 58 |??? |??? | 52 | 59 | 48 |  7 |??? |
 27|??? |??? |108 |194 |196 |226 |231 |??? |??? |??? |157 |111 |116 |??? | 71 | 44 |??? | 46 | 35 | 32 |??? | 67 | 17 |??? |
 28|??? |??? | 89 |147 |187 |??? |??? |??? |??? |??? |180 |??? |131 | 78 | 33 | 37 | 27 | 16 | 28 | 36 | 43 | 54 |  8 |??? |
 29|??? |??? |131 |192 |203 |221 |180 |315 |345 |225 |217 |162 |132 |111 | 43 | 43 | 26 | 24 |??? | 22 | 40 | 67 | 13 |  8 |
 30|  6 | 18 |  7 | 84 |??? |197 |199 |263 |193 |217 |198 |138 |142 | 98 | 62 | 39 | 29 |??? | 40 | 37 | 71 | 53 |  8 |??? |
 31|??? |??? | 15 | 91 |292 |263 |226 |214 |212 |124 |184 |222 |195 |133 | 83 | 29 | 39 | 17 | 16 |??? | 48 | 60 | 24 |  3 |

