Jun| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|  8 |  7 |123 |138 |171 |226 |204 |227 |278 |244 |226 |154 |158 | 95 | 88 | 29 |??? |??? | 41 | 18 | 41 | 68 | 12 |??? |
  2|??? |??? |120 |243 |286 |334 |238 |241 |249 |303 |247 |221 |??? | 98 | 59 | 57 | 35 | 28 | 40 | 24 |??? |??? |??? |??? |
  3|??? |??? |132 |240 |259 |246 |194 |??? |??? |??? |??? |??? |??? |??? | 84 | 45 | 52 | 25 | 26 | 30 | 51 | 64 | 15 |??? |
  4|??? |??? |130 |206 |263 |246 |231 |240 |305 |287 |281 |268 |184 | 79 | 71 | 75 | 36 | 29 | 40 | 35 | 54 | 62 |  9 |  4 |
  5|??? |??? |174 |224 |231 |246 |240 |274 |318 |243 |270 |269 |237 | 93 | 88 | 64 |??? | 25 | 38 | 38 | 41 | 63 | 10 |  8 |
  6|  9 |  4 | 11 |102 |273 |268 |272 |445 |419 |320 |314 |310 |219 |165 | 71 | 35 | 45 | 30 | 35 | 37 | 38 | 52 | 11 |??? |
  7|??? |??? |179 |276 |282 |290 |218 |303 |314 |344 |298 |255 |194 |138 | 95 | 54 | 52 | 39 | 30 | 26 | 54 | 68 | 37 |??? |
  8|  8 |??? |148 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 48 |??? |??? |??? |??? |??? |??? |
  9|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 82 | 45 |108 | 50 |  3 |
 10|??? |??? |145 |241 |293 |305 |188 |297 |??? |294 |302 |243 |??? |??? |??? |??? |??? |??? |??? | 43 | 53 | 47 |  8 |??? |
 11|??? |??? |124 |237 |281 |273 |232 |272 |271 |284 |277 |271 |203 |112 | 78 | 56 | 42 | 30 | 27 | 31 | 48 | 71 | 19 |  3 |
 12|??? |??? |152 |249 |287 |270 |254 |314 |351 |310 |335 |288 |229 |151 | 87 | 48 | 54 | 41 | 15 | 34 | 51 | 77 | 13 |  4 |
 13|  5 | 12 | 14 |168 |304 |240 |261 |282 |305 |246 |201 |262 |185 |142 |113 | 54 | 48 | 37 | 25 | 17 | 54 | 65 | 56 | 79 |
 14|134 |132 |168 |216 |284 |230 |223 |270 |237 |??? |274 |230 |150 |??? |??? |??? |??? |??? |??? | 34 | 46 | 42 | 18 |??? |
 15|??? |??? |162 |212 |293 |??? |??? |??? |??? |??? |282 |243 |189 |142 | 71 | 66 |??? |??? | 27 | 31 | 43 | 54 | 24 |??? |
 16|??? |??? |117 |214 |222 |228 |220 |223 |329 |223 |234 |210 |171 |114 | 77 | 47 | 30 | 19 | 27 | 36 | 42 | 59 | 17 |??? |
 17|??? |??? |148 |212 |272 |209 |209 |198 |231 |264 |180 |233 |175 | 92 | 62 | 47 | 51 | 38 | 31 | 35 | 35 | 67 | 20 |??? |
 18|??? |??? |141 |186 |245 |231 |183 |174 |228 |241 |224 |198 |156 |124 | 74 | 70 | 37 | 35 | 24 | 29 | 40 | 79 | 24 |  2 |
 19|??? |??? |142 |199 |155 |195 |160 |172 |182 |208 |189 |170 |128 | 96 | 80 | 51 | 53 | 36 | 35 | 35 | 55 | 59 | 26 | 19 |
 20| 14 | 18 | 18 | 86 |221 |211 |198 |171 |217 |303 |212 |185 |119 | 86 | 72 | 54 | 36 | 17 | 43 | 25 | 49 | 53 | 19 |??? |
 21|??? |??? |123 |226 |190 |202 |248 |166 |152 |163 |205 |169 |144 |122 | 77 | 62 |??? |??? | 33 | 43 | 67 | 82 | 18 |??? |
 22|??? |??? |150 |230 |235 |251 |190 |281 |185 |144 |137 |141 |100 | 59 |??? | 23 | 48 | 24 | 36 | 26 | 27 | 40 |??? |  4 |
 23|??? |??? |160 |203 |220 |??? |??? |??? |126 |126 |118 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 24|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 43 | 71 | 26 |??? |
 25|??? |??? |130 |201 |247 |212 |181 |169 |188 |154 |121 |112 |110 | 93 |??? |??? |??? |??? |??? |??? |??? | 86 | 22 |??? |
 26|??? |??? |150 |205 |189 |255 |185 |269 |??? |160 |??? |??? |124 |113 | 89 |??? |??? |??? |??? |??? | 59 | 65 | 32 | 23 |
 27| 10 | 15 | 13 |??? |??? |??? |??? |??? |??? |131 |107 |133 |??? |??? |??? |??? |??? |??? |??? |??? |??? | 59 |  6 |??? |
 28|??? |??? |128 |153 |202 |176 |168 |158 |150 |208 |130 |158 |115 |??? | 54 | 52 | 48 |??? | 26 | 36 | 41 | 72 | 14 |??? |
 29|??? |??? |131 |168 |165 |197 |133 |??? |??? |??? |??? | 96 |125 |106 | 38 | 47 |??? |??? |??? | 29 | 47 | 56 | 10 |??? |
 30|??? |??? |103 |166 |190 |167 |174 |??? |??? |103 |135 | 94 | 80 | 84 |??? |??? |??? |??? | 15 | 39 | 36 | 65 | 16 |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

