Aug| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|  2 |  1 |  4 | 83 |108 |172 |110 | 98 |??? |??? |??? | 40 | 24 | 36 | 23 | 29 | 13 | 14 | 38 | 48 | 61 | 47 | 10 |??? |
  2|??? |??? |114 |188 |147 | 99 |160 |149 | 46 | 73 | 36 | 35 | 68 | 32 | 35 | 85 | 35 | 19 | 40 | 66 | 70 | 96 | 16 |??? |
  3|??? |??? |186 |203 |138 |152 |104 | 99 | 98 | 90 | 95 |??? |??? |??? |??? |??? | 32 | 19 | 40 | 66 | 70 | 96 | 16 |??? |
  4|??? |??? |174 |207 |162 |191 |107 |207 |173 |136 | 96 |??? |??? |??? |??? | 55 | 21 | 45 | 66 | 79 | 70 |151 | 11 |??? |
  5|??? |??? |188 |314 |??? |289 |??? |??? |114 |156 |122 |105 | 96 |??? |??? | 82 | 63 | 48 | 79 | 71 | 97 |158 | 20 |??? |
  6|??? |??? |182 |240 |196 |179 |221 |151 |182 |161 |174 |124 |115 | 71 | 65 | 59 | 59 | 60 | 55 | 70 | 99 |121 | 20 |??? |
  7| 10 | 54 |343 |372 |320 |??? |??? |??? |230 |204 |152 | 86 |145 | 66 |102 | 63 | 65 | 62 | 50 |118 |110 |124 | 24 | 10 |
  8| 24 |  3 | 47 |152 |303 |195 |183 |163 |118 |163 |??? |??? |??? |??? | 99 | 60 |??? |??? |??? |??? |134 |142 | 36 |??? |
  9|??? |??? |283 |283 |??? |394 |251 |??? |??? |??? |??? |??? | 37 |??? |??? |??? |??? | 70 | 64 | 77 | 73 |134 | 23 |??? |
 10|??? |??? |212 |271 |292 |260 |200 |188 | 95 |111 |110 | 64 | 86 | 64 | 44 | 44 | 48 | 75 | 50 | 60 | 51 | 74 | 21 |??? |
 11|??? |??? |215 |180 |218 |185 |100 | 79 |??? |??? |??? |??? |??? | 37 | 27 | 16 |??? | 76 | 57 | 64 | 98 | 95 | 18 |??? |
 12|??? |??? |129 | 82 | 53 | 61 | 95 | 55 |??? |??? |??? |??? |??? | 46 | 55 | 35 | 34 | 65 | 80 | 65 | 62 | 79 | 13 |??? |
 13|??? |??? |175 |140 |128 | 77 | 73 | 70 | 63 | 85 | 80 | 70 | 58 | 78 | 58 | 47 | 55 | 31 | 46 | 40 | 38 | 37 | 15 |??? |
 14|??? |??? |126 |125 | 97 |104 | 90 | 75 | 89 | 45 | 55 | 54 | 40 | 32 | 24 | 20 | 22 | 44 | 57 | 55 | 97 | 80 | 16 |??? |
 15|??? |??? | 24 | 48 |129 | 93 | 80 | 86 | 58 | 67 | 53 | 32 | 25 | 37 | 39 | 20 | 26 | 34 | 35 | 47 | 43 | 57 | 12 |??? |
 16|??? |??? | 72 | 97 | 86 | 80 | 95 | 56 | 59 | 56 | 63 | 55 | 43 | 38 | 28 | 21 | 21 | 42 | 22 | 38 | 39 | 32 | 16 |??? |
 17|??? |??? | 93 |129 | 97 | 69 | 89 | 50 | 28 | 32 | 28 | 48 | 38 | 29 | 28 | 19 | 18 | 22 | 38 | 40 | 31 | 52 | 11 |??? |
 18|??? |??? | 97 |104 | 85 | 50 | 75 | 56 | 42 | 40 | 38 | 43 | 24 | 18 | 19 | 19 | 21 | 18 | 21 | 23 | 24 | 43 | 16 |??? |
 19|??? |??? | 85 | 96 | 83 | 85 |108 | 67 |??? |??? |??? | 42 | 32 |??? |??? |??? |??? |??? |??? | 26 | 36 | 47 | 12 |??? |
