Feb| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  2|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 17 | 31 | 56 |  1 |  3 |155 | 78 |  7 |??? | 12 | 23 | 26 | 22 | 29 |
  3| 22 |  4 | 18 |  3 |??? |??? |??? |  1 |  7 |  9 |  2 | 45 | 27 |  5 | 17 | 51 | 20 | 40 |??? | 20 | 15 |  1 | 19 | 22 |
  4| 13 |  1 | 15 |  1 |??? |  1 |??? | 17 | 58 | 35 | 98 | 40 |??? | 39 |100 | 17 | 53 | 19 | 13 | 33 | 11 | 50 | 19 | 36 |
  5| 69 |??? |  1 |??? |  2 |??? | 16 | 18 |130 |171 | 35 | 21 | 42 |??? |  3 | 42 | 61 | 30 |  3 | 25 | 17 | 57 | 39 | 38 |
  6| 58 |??? |  2 |  1 |  1 | 14 |  1 |  1 | 82 |149 | 30 |131 | 94 |  8 | 53 | 47 | 68 | 25 |  1 |  4 | 19 | 15 |??? |??? |
  7| 20 |??? | 43 |  3 | 15 | 43 | 29 |  8 | 19 |  9 |??? |??? |??? | 11 |??? |??? |??? |??? |??? |??? |??? |  8 |??? |  1 |
  8|??? |  1 |??? |  1 | 37 |  3 |??? | 76 |189 |140 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  9|??? |??? |??? |??? |??? |??? |??? |??? |??? | 10 | 94 | 58 |205 | 35 |  2 |  1 | 71 |123 |??? | 82 |107 |112 |143 | 58 |
 10|124 |??? | 44 | 99 | 24 |104 |104 | 72 |287 | 97 |152 |107 | 54 |??? |  1 |??? |113 | 87 |??? | 52 |245 |  7 |  1 |165 |
 11| 91 |??? |??? |  1 |??? |??? |??? |??? |??? | 17 |127 | 52 |  8 |??? |??? |??? |  1 |??? | 10 | 77 |??? |  2 | 60 | 99 |
 12| 53 |151 |153 |??? |??? |  6 | 60 |??? |  1 | 48 |??? |??? |??? |??? |??? |??? |??? | 11 | 25 |115 |107 |230 |147 | 45 |
 13| 90 |129 |177 |  1 |??? |  1 |??? |  1 |??? |  1 | 72 |138 | 96 |149 |??? |232 |297 |143 | 51 |  3 |162 |169 |130 |212 |
 14|132 | 14 | 19 |??? |??? |  1 |??? | 56 | 68 | 95 | 28 | 17 | 14 | 42 | 42 |??? |??? |??? |??? | 61 | 56 |292 |103 |165 |
 15|140 | 40 |  6 |  1 |??? |  2 |??? | 98 | 56 | 69 |207 | 90 | 72 | 28 |273 |311 |123 |234 | 80 |??? |??? |186 | 36 | 63 |
 16| 31 |127 |169 |  5 | 70 |  5 |234 | 19 |  1 |??? |??? | 91 |  3 |??? |  2 |??? | 66 |  6 |??? | 18 | 23 | 53 | 38 | 17 |
 17|??? |??? |  2 |??? |??? |??? |??? |??? |??? |??? |  1 | 34 | 79 |??? |??? |??? | 60 | 63 |  4 | 35 | 79 | 81 | 38 | 11 |
 18|188 |162 |??? |??? |??? |??? |??? |??? |??? |109 | 45 | 59 | 84 |??? |??? |??? | 77 | 66 |??? | 59 | 90 |112 | 13 | 21 |
 19| 30 |  1 |  2 |  1 |??? |  1 |??? |122 |??? |  3 | 22 |150 |211 | 42 |??? |  1 |120 | 26 |??? | 18 | 34 |  4 | 14 | 14 |
 20|  5 | 51 | 78 | 26 |  1 |  6 | 14 |??? |??? | 49 |184 | 51 |  3 |  3 | 20 | 18 |??? |??? |??? |??? |??? |??? |??? |??? |
 21|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 22|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 23|??? |??? |??? |??? |??? |??? |??? |??? |??? | 12 |  2 |??? |  2 |??? |??? | 61 |228 | 41 | 38 | 79 |132 |??? | 28 | 34 |
 24|  3 | 37 |163 | 24 | 39 | 95 | 63 | 28 |??? |??? |??? |159 |162 |  3 |??? |  1 | 47 | 35 |??? |  1 | 87 |??? |??? |??? |
 25|??? |??? |??? |??? |??? |??? |??? |??? |??? |  3 |??? | 26 | 25 | 89 |300 |331 |202 |134 | 29 |  9 |108 | 94 | 27 |142 |
 26|110 |  1 |??? |  3 |??? |  2 |??? |??? |??? |  4 |110 | 53 | 56 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 34 |204 |131 |  2 |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

