Jan| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|??? |??? |??? |  1 |  4 |  4 |  7 |  3 |  6 |  2 | 18 |  2 |  3 |  2 |  1 |  1 |  2 |  1 |  1 |??? |  1 |  2 |  6 |??? |
  2|??? |??? |??? |??? |  7 | 14 |  7 |  3 |  4 |  3 |  7 |  4 |  6 |  4 |  4 |  3 |  2 |  1 |  2 |??? |  6 |  4 | 10 |  2 |
  3|??? |??? |  2 |  7 |  6 |  9 |  4 | 12 |  5 |  4 | 11 | 11 |  3 |  8 | 10 | 13 |  8 |  3 |  9 |  5 | 23 | 11 | 25 |??? |
  4|??? |??? |  1 |  9 |  9 |  8 | 13 | 48 |  5 | 12 |  9 | 11 |  6 | 11 |  8 |  6 |  3 |  3 |  3 |  4 |  5 |  5 |  5 |??? |
  5|??? |??? |  1 |  6 | 10 | 11 |  3 |  9 |  4 |  4 |  8 | 13 |  4 |  2 |  8 |  1 |  1 |??? |  1 |  1 |  2 |  2 | 14 |  1 |
  6|??? |??? |??? |  5 |  9 |  9 |  4 |  5 |  5 |  4 |  3 |  2 |  6 |  2 |  1 |  2 |  2 |??? |  1 |  1 |  3 |  2 |  2 |??? |
  7|??? |??? |??? |  5 |  3 |  4 |  6 | 14 | 26 |  4 |  4 |  8 |  6 |  4 |  2 |  6 |??? |  1 |  6 |  3 |  3 |  3 |  1 |  2 |
  8|??? |??? |??? |  2 |  4 |  4 |  8 | 10 | 19 |  3 |  4 |  1 |??? |  1 |  2 |??? |  1 |  4 |??? |  5 |  3 |  6 |  2 |??? |
  9|??? |??? |??? |  4 |  4 | 15 |  5 | 10 | 11 | 36 |  6 |  2 |  3 |  3 |  9 |  7 |  2 |  1 | 30 |  6 |  4 |  8 |  3 |??? |
 10|??? |??? |??? |  2 |  5 |  7 |  8 | 10 |  6 |  5 |  7 |  3 |  5 |  8 |  2 |  2 |  1 |  1 |  1 |  1 |  2 |  7 |  2 |??? |
 11|??? |??? |??? |??? |  3 |  7 |  9 |  5 |  2 |  5 |  5 | 14 |  7 |  3 |  7 |  2 |  3 |  3 |  4 |  4 |  6 |  3 |  1 |  2 |
 12|??? |??? |??? |  6 |  4 |  4 | 10 |  5 |  8 | 15 |  3 |  4 |  2 |  4 |  1 |  1 |  2 |??? |  2 |??? |  4 |  2 |  3 |  1 |
 13|??? |??? |  1 |  4 |  4 | 10 |  3 |  3 |  3 |  8 |  8 | 12 |  3 |  2 |  1 |  1 |??? |??? |??? |  2 |  3 |  4 |  2 |??? |
 14|??? |??? |??? |  2 | 11 | 22 | 18 |  9 |  6 |  4 | 13 |  2 |  2 |  3 |  1 |  2 |  1 |??? |  1 |  1 |  5 |  3 |  8 | 32 |
