Oct| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1| 77 |112 |138 |159 |152 |102 | 94 |131 |151 |119 |116 |111 |123 |137 | 80 | 86 | 40 | 43 | 36 | 32 | 30 | 59 | 78 |107 |
  2|102 | 92 |117 |157 |157 | 97 | 56 |141 |176 |143 |138 |130 |127 |120 | 90 | 89 | 87 | 51 | 52 | 69 | 64 | 93 | 64 |107 |
  3|107 |105 |139 |158 |158 |160 | 75 |133 |123 |157 |154 |118 |104 |115 |105 | 72 | 59 | 46 | 44 | 16 | 21 | 81 | 89 | 82 |
  4| 95 | 96 | 86 |127 |134 |112 | 73 |134 |149 |136 |116 |109 |103 |117 | 72 | 64 | 48 | 43 | 20 | 49 | 32 | 59 | 90 | 93 |
  5| 75 | 97 |102 |163 |129 | 91 | 65 |106 |127 |126 |131 |106 |138 |148 |107 | 64 | 64 | 35 | 19 | 21 | 28 | 77 | 85 | 87 |
  6| 82 | 89 |113 |119 |130 | 88 | 79 |112 |138 | 97 | 93 |109 |106 |104 | 63 | 59 | 45 | 40 | 41 | 60 | 25 | 87 | 72 | 68 |
  7| 76 | 77 |115 |115 |103 | 73 |115 |109 |124 |120 |108 | 97 |103 | 92 | 86 | 61 | 54 | 37 | 39 | 66 | 20 | 56 | 50 | 58 |
  8| 48 | 57 | 74 | 79 | 86 | 92 | 38 | 23 | 32 | 68 |108 | 95 | 75 | 88 | 62 | 38 | 49 | 39 | 27 | 42 | 27 | 45 | 95 | 98 |
  9| 84 | 83 |113 |133 |142 |113 | 90 | 81 |115 |133 |124 | 82 | 84 |132 | 86 | 76 | 46 | 35 | 41 | 25 | 29 | 34 | 81 | 89 |
 10| 87 | 81 | 90 |146 |117 | 97 | 84 | 99 | 43 |135 |118 | 95 | 92 | 88 | 52 | 61 | 70 | 49 | 35 | 32 | 26 | 77 |105 |113 |
 11|107 | 65 | 98 |123 |124 | 94 | 70 |127 |135 |113 |122 |102 |147 | 96 | 81 | 66 | 37 | 36 | 34 | 30 | 31 | 63 | 95 | 64 |
 12| 90 | 96 |107 |113 |124 |110 | 41 |120 |135 |129 |130 |102 | 84 | 67 | 83 | 51 | 62 | 43 | 28 | 38 | 49 | 56 | 80 | 73 |
 13| 75 | 82 |108 |119 |124 | 91 | 74 | 94 |117 |117 |117 |103 | 92 | 46 | 55 | 48 | 50 | 30 | 29 | 15 | 59 | 76 | 98 | 80 |
 14| 85 |108 |119 |134 |125 |102 | 40 |125 |142 |137 |140 |112 |101 | 95 | 99 | 64 | 39 | 45 | 44 | 24 | 23 | 60 | 75 | 69 |
 15| 99 |106 | 81 |150 |118 |109 | 58 |112 |137 |130 |139 | 93 | 79 | 89 | 71 | 61 | 51 | 43 | 35 | 17 | 28 | 68 |105 | 95 |
 16| 81 | 72 | 96 |128 |127 |129 | 47 | 84 |122 |134 |110 | 89 | 93 | 84 | 79 | 61 | 63 | 52 | 31 | 28 | 53 | 99 | 90 |104 |
