Nov| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|185 |208 |200 |201 |175 |168 |147 |136 |140 |168 |??? |??? |123 |100 | 92 | 62 | 73 | 69 | 91 |106 |119 |150 |165 |164 |
  2|202 |191 |192 |234 |175 |144 |157 |175 |159 |159 |156 |142 |118 |117 | 89 | 80 | 71 | 71 | 94 |120 |142 |171 |181 |187 |
  3|184 |205 |202 |225 |200 |176 |192 |196 |179 |169 |159 |155 |139 | 98 | 69 | 74 | 71 | 84 |108 |121 |140 |125 |144 |160 |
  4|175 |178 |163 |189 |197 |176 |164 |191 |166 |165 |171 |119 |112 |108 | 58 | 79 | 79 | 67 |108 |109 |121 |106 |130 |160 |
  5|190 |180 |232 |200 |192 |170 |159 |163 |137 |141 |142 |131 |121 |130 |106 | 88 | 82 | 84 | 85 |114 |134 |114 |138 |166 |
  6|195 |201 |182 |185 |150 |140 |160 |186 |159 |167 |135 |147 |110 | 91 |101 | 81 | 72 | 68 | 94 |105 |119 |123 |167 |157 |
  7|187 |172 |197 |167 |141 |138 |162 |147 |169 |178 |140 |156 |133 |102 | 91 | 95 | 88 | 80 | 89 |113 |147 |121 |127 |161 |
  8|220 |184 |171 |189 |162 |157 |146 |156 |181 |186 |165 |129 |102 | 90 | 90 | 57 | 62 | 94 | 95 |115 |112 |135 |161 |183 |
  9|185 |195 |207 |199 |181 |163 |172 |172 |200 |151 |172 |134 |113 | 89 | 89 | 76 | 79 | 89 |105 | 92 |131 |117 |138 |177 |
 10|234 |240 |240 |240 |188 |201 |178 |175 |176 |165 |144 |146 |111 |103 |101 | 79 |??? |??? |??? |101 |132 |158 |145 |175 |
 11|208 |192 |193 |183 |189 |192 |143 |163 |154 |181 |??? |??? |119 | 96 | 76 | 66 | 76 | 84 |100 |132 |131 |126 |160 |161 |
 12|181 |213 |177 |174 |161 |192 |175 |179 |167 |174 |161 |175 |129 |126 | 72 | 82 | 81 | 96 |109 |129 |135 |127 |160 |145 |
 13|173 |175 |166 |201 |173 |144 |173 |148 |176 |159 |??? |135 |102 | 95 | 79 | 91 | 62 | 73 | 91 |121 |105 |135 |156 |186 |
 14|201 |170 |198 |196 |192 |226 |195 |204 |192 |172 |167 |135 | 96 |109 | 76 | 99 | 87 | 94 |111 |127 |131 |178 |159 |185 |
 15|210 |214 |245 |184 |207 |197 |220 |192 |161 |182 |183 |134 |113 |101 | 89 | 80 | 82 | 82 |103 |107 |120 |115 |178 |184 |
 16|241 |215 |180 |188 |188 |158 |156 |173 |185 |182 |171 |146 |113 |102 | 86 | 84 | 66 | 79 | 98 |117 |128 |132 |146 |182 |
 17|201 |190 |185 |179 |167 |142 |176 |148 |182 |191 |189 |126 | 99 | 98 | 62 | 92 | 77 | 94 | 96 |106 |104 |106 |147 |139 |
 18|197 |219 |177 |196 |169 |191 |170 |159 |179 |141 |138 |142 |114 | 89 | 66 | 68 | 83 | 93 | 95 |100 |128 |112 |147 |161 |
 19|187 |202 |219 |191 |175 |196 |203 |183 |200 |179 |182 |172 |126 |100 | 96 | 73 | 82 | 80 |107 |131 |139 |126 |148 |187 |
 20|164 |202 |235 |232 |239 |167 |194 |237 |188 |176 |145 |145 |131 |119 | 78 | 74 | 79 | 72 | 96 |107 | 98 |115 |151 |170 |
 21|207 |210 |212 |218 |173 |165 |??? |165 |175 |170 |148 |122 |113 |113 | 95 | 99 | 74 | 92 | 77 |127 |134 |112 |134 |142 |
 22|201 |182 |183 |191 |173 |168 |180 |171 |162 |165 |144 |119 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 23|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 24|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 25|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 26|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

