mar| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
 01|??? |??? | 29 | 23 | 25 | 15 | 28 | 32 | 35 |??? |??? | 27 | 30 | 18 | 18 | 20 | 18 | 14 | 40 |??? |??? |??? | 41 | 54 |
 02| 47 | 30 | 65 | 96 |??? |??? | 91 |??? | 68 |??? |??? |??? |??? | 72 | 66 |??? |??? |??? |??? |??? |??? |??? |??? | 50 |
 03| 33 | 27 | 22 | 27 | 32 | 43 | 35 | 43 | 53 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 69 |??? | 57 | 45 |
 04| 25 | 20 | 23 | 36 | 33 | 40 | 62 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 05|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 06|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 07|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 08|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 09|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 10|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 11|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 12|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 13|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 14|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 15|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 16|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 17|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 18|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 19|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 20|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 21|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 22|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 23|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 24|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 10 |??? |??? |??? |??? | 19 | 10 | 11 |??? | 13 | 10 |??? |??? | 39 |
 25| 32 | 40 | 28 | 50 | 35 | 25 | 53 | 53 | 70 | 69 | 36 | 33 | 34 |  8 | 18 |  7 |  5 |  6 |  7 | 16 | 21 |??? |??? | 46 |
 26| 46 | 51 | 46 | 50 | 41 | 44 | 47 | 51 | 59 |106 | 67 | 37 | 30 | 19 | 21 | 39 | 11 |  9 | 14 | 13 | 13 |??? |??? | 25 |
 27| 26 | 30 | 29 | 17 | 17 | 35 | 50 | 55 | 31 | 68 | 50 | 140| 54 |??? | 76 |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? | 36 |??? |??? | 63 |??? |??? | 76 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 30 |
 29| 31 | 30 | 27 | 26 | 34 | 34 | 37 | 47 | 32 | 32 | 31 | 24 | 18 | 11 | 12 |  7 |  8 |  7 | 18 |  6 |  9 | 12 | 24 | 35 |
 30| 27 | 32 | 41 | 24 | 37 | 30 | 53 | 29 | 30 | 39 | 25 | 23 | 36 | 14 |  7 | 18 |  5 |  8 |  6 |  5 | 15 | 19 | 16 | 14 |
 31| 31 | 24 | 20 | 39 | 22 | 45 | 63 | 42 | 60 | 29 | 27 | 17 | 15 |  8 |  5 | 14 | 10 |  6 |  5 |  7 |  9 |??? |??? |??? |
