Feb| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1| 36 | 50 | 43 | 58 | 50 | 35 | 45 | 33 | 36 | 30 | 30 | 26 | 23 | 29 | 16 | 14 | 12 | 18 | 11 |  8 | 24 | 40 | 28 | 40 |
  2| 58 | 65 | 64 | 62 | 61 | 46 | 39 | 27 | 36 | 34 | 23 | 31 | 25 | 15 | 13 | 12 | 14 |  6 | 11 | 18 | 18 | 26 | 35 | 46 |
  3| 57 | 53 | 68 | 62 | 66 | 59 | 41 | 41 | 34 | 35 | 47 | 34 | 28 | 28 | 25 | 13 | 21 | 17 |  9 | 19 | 21 | 32 | 28 | 28 |
  4| 49 | 59 | 71 | 69 | 71 | 44 | 49 | 36 | 41 | 38 | 24 | 31 | 28 | 18 | 12 | 12 | 11 | 11 | 14 | 29 | 28 | 28 | 32 | 40 |
  5| 47 | 56 | 47 | 59 | 44 | 35 | 24 | 24 | 18 | 26 | 28 | 22 | 24 | 26 | 16 | 15 | 14 |  3 | 11 |  7 | 14 | 23 | 35 | 27 |
  6| 47 | 60 | 60 | 53 | 53 | 58 | 42 | 43 | 34 | 44 | 31 | 29 | 24 | 25 | 17 | 13 | 10 | 13 |  7 | 15 | 21 | 30 | 37 | 49 |
  7| 46 | 41 | 54 | 59 | 57 | 42 | 37 | 37 | 42 | 40 | 29 | 20 | 22 | 28 | 10 | 13 | 10 | 10 | 11 | 19 | 34 | 27 | 35 | 27 |
  8| 42 | 48 | 50 | 61 | 70 | 58 | 41 | 28 | 37 | 22 | 33 | 29 | 19 | 19 | 13 | 12 | 15 | 13 | 10 | 18 | 25 | 35 | 35 | 32 |
  9| 50 | 50 | 55 | 45 | 44 | 44 | 45 | 29 | 40 | 35 | 29 | 30 | 28 | 25 | 13 | 12 |  7 |  9 | 16 | 18 | 26 | 25 | 27 | 36 |
 10| 37 | 41 | 47 | 53 | 57 | 38 | 35 | 33 | 31 | 40 | 17 | 18 | 22 | 11 | 17 |  6 |  6 | 10 |  6 | 13 | 10 | 23 | 25 | 37 |
