Mar| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1| 40 | 37 | 31 | 25 | 35 | 39 | 29 | 20 | 34 | 27 | 35 | 24 | 25 | 31 | 23 | 13 | 18 | 10 | 12 |  3 |  6 | 14 | 26 | 45 |
  2| 57 | 43 | 60 | 37 | 56 | 38 | 38 | 45 |??? | 41 | 37 | 33 | 32 | 21 | 22 | 17 | 11 | 18 | 10 | 24 | 18 | 38 | 39 | 44 |
  3| 69 | 69 | 78 | 55 | 69 | 50 | 46 | 43 | 48 | 56 | 37 | 60 | 42 | 37 | 21 | 26 | 16 | 11 | 21 | 15 | 24 | 25 | 27 | 39 |
  4| 58 | 51 | 67 | 68 | 55 | 45 | 40 | 43 | 54 | 45 | 34 | 45 | 27 | 28 | 26 | 20 | 10 | 10 | 15 | 26 | 19 | 49 | 49 | 50 |
  5| 61 | 55 | 61 | 56 | 62 | 36 | 38 | 43 | 64 | 54 | 60 | 41 | 36 | 34 | 24 | 21 | 13 | 13 | 19 | 22 | 21 | 33 | 54 | 51 |
  6| 50 | 69 | 67 | 63 | 52 | 57 | 49 | 38 | 47 | 38 | 37 | 35 | 41 |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
  7|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? | 11 |  8 |  9 | 13 | 18 | 20 | 20 |
  8| 36 | 40 | 33 | 37 | 39 | 33 | 24 | 20 | 26 | 24 | 28 | 19 | 16 | 14 |  9 | 12 | 10 | 13 |  8 |  6 | 12 | 22 | 18 | 15 |
  9| 12 | 22 | 24 | 27 | 16 | 20 | 18 | 18 | 22 | 20 |  7 | 21 | 32 | 12 | 17 | 12 |  8 |  5 | 12 |  7 | 12 | 18 | 25 | 19 |
 10| 35 | 27 | 37 | 25 | 28 | 14 | 17 | 17 | 16 | 21 | 17 | 20 | 15 | 10 | 10 |  8 |  7 | 12 |  9 | 11 | 16 | 16 | 30 | 21 |
 11| 24 | 19 | 26 | 28 | 26 | 17 | 18 | 12 | 22 | 26 | 20 | 21 | 14 | 20 | 13 | 15 | 15 | 10 | 10 |  9 |  9 | 11 | 17 | 24 |
 12| 25 | 44 | 39 | 49 | 36 | 32 | 29 | 30 | 30 | 21 | 25 | 24 | 22 | 13 | 18 | 11 | 14 |  5 |  8 | 11 | 17 | 15 | 19 | 23 |
 13| 22 | 26 | 31 | 38 | 22 | 24 | 22 | 20 | 31 | 18 | 20 | 14 | 17 | 20 |  9 |  6 | 12 | 10 | 10 | 12 | 15 | 22 | 34 | 25 |
 14| 26 | 23 | 29 | 31 | 30 | 20 | 20 | 16 | 22 | 22 | 22 | 17 | 24 | 20 |  8 |  7 |  7 |  8 |  5 |  5 | 14 | 20 | 19 | 21 |
 15| 18 | 22 | 25 | 25 | 32 | 21 | 19 | 21 | 26 | 18 | 20 | 19 | 12 | 17 | 20 |  9 |  9 |  6 |  8 | 16 |  7 | 20 | 19 | 45 |
 16| 41 | 34 | 36 | 32 | 26 | 31 | 21 | 33 | 30 | 30 | 24 | 26 | 19 | 21 | 15 | 16 | 11 |  8 | 13 |  5 | 18 | 14 | 21 | 37 |
 17| 30 | 39 | 43 | 37 | 24 | 29 | 28 | 21 | 28 | 31 | 27 | 26 | 20 | 20 | 18 |  8 | 17 |  7 |  9 |  4 | 14 | 22 | 27 | 27 |
 18| 27 | 23 | 35 | 36 | 34 | 21 | 22 | 13 | 34 | 20 | 26 | 34 | 25 | 28 | 16 | 10 |  6 |  8 |  5 | 12 | 17 | 16 | 30 | 38 |
 19| 38 | 46 | 55 | 54 | 37 | 34 | 36 | 25 | 31 | 33 | 30 | 30 | 23 | 26 | 18 | 14 | 11 | 11 | 13 | 13 | 10 | 28 | 30 | 27 |
 20| 20 | 34 | 35 | 43 | 32 | 32 | 40 | 27 | 33 | 35 | 20 | 25 | 25 | 21 | 12 | 11 |  9 |  8 | 14 |  7 | 19 | 19 | 16 | 26 |
 21| 30 | 34 | 29 | 36 | 30 | 25 | 31 | 28 | 33 | 23 | 22 | 19 | 19 | 10 | 15 | 10 | 13 |  7 |  9 |  9 | 15 | 25 | 23 | 33 |
 22| 25 | 35 | 34 | 28 | 38 | 18 | 20 | 28 | 22 | 21 | 28 | 20 | 22 | 25 | 15 |  7 | 11 |  8 | 17 |  9 | 17 | 21 | 51 | 24 |
 23| 42 | 33 | 34 | 33 | 31 | 27 | 44 | 21 | 19 | 33 | 29 | 22 | 22 | 24 | 15 | 19 |  7 |  9 |  4 | 14 | 13 | 23 | 30 | 34 |
 24| 41 | 30 | 31 | 43 | 34 | 33 | 25 | 26 | 28 | 29 | 28 | 27 | 21 | 21 | 22 |  6 |  7 |  9 | 13 | 14 | 21 | 39 | 35 | 30 |
 25| 41 | 54 | 52 | 48 | 42 | 23 | 40 | 29 | 33 | 31 | 27 | 28 | 29 | 24 | 16 | 13 | 14 | 12 |  8 | 13 | 17 | 22 | 22 | 23 |
 26| 29 | 44 | 29 | 43 | 29 | 40 | 29 | 25 | 30 | 24 | 19 | 27 | 15 | 24 | 17 | 14 | 13 |  9 | 10 | 20 | 19 | 17 | 25 | 24 |
 27| 30 | 28 | 51 | 41 | 31 | 30 | 34 | 19 | 32 | 32 | 22 | 22 | 18 | 18 | 18 | 20 | 16 |  9 | 14 | 12 | 13 | 34 | 25 | 33 |
 28| 40 | 46 | 37 | 41 | 28 | 24 | 27 | 33 | 28 | 33 | 23 | 26 | 27 | 15 | 11 | 12 | 15 | 11 | 16 | 19 | 24 | 16 | 15 | 30 |
 29| 33 | 33 | 37 | 38 | 26 | 19 | 16 | 31 | 35 | 38 | 32 | 22 | 20 | 16 | 12 | 15 | 18 | 10 |  6 | 17 | 16 | 31 | 40 | 34 |
 30| 37 | 34 | 44 | 44 | 35 | 23 | 36 | 32 | 39 | 30 | 33 | 29 | 18 | 34 | 15 |  9 |  9 |  8 | 10 | 18 | 24 | 23 | 34 | 37 |
 31| 35 | 38 | 45 | 45 | 49 | 41 | 17 | 42 | 26 | 32 | 42 | 26 | 31 | 24 | 20 | 17 | 11 |  9 | 11 | 10 | 13 | 25 | 20 | 18 |

