

   |   December 2011
UT |  1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
---+-----------------------------------------------------------
 0h|                                             35  82 101 119
 1 |                                         31  31  47  42  88
 2 |                                         27  22  38  26  48
 3 |                                         26  20  43  26  26
 4 |                                         30  28  40  34  33
 5 |                                         17  26  53  68  39
 6 |                                         26  44  56 134  64
 7 |                                         52  55  72 166  82
 8 |                                         28  50 106 155  72
 9 |                                         19  35  79 127  63
10 |                                         25  44  54  66  33
11 |                                         26  18  29  34  37
12 |                                         16  28  21  21  29
13 |                                         22  39  24  19  20
14 |                                         15  20  18  21  24
15 |                                          9  29  19  34  12
16 |                                         13  12  28  57  13
17 |                                         12  34  55 101  17
18 |                                         23  45  49  92  21
19 |                                         25  49  55 126  21
20 |                                         26  71  70 124  21
21 |                                         30  95 104 124  24
22 |                                         55  91 122 155  24
23 |                                         43  95 124 143  23
---+-----------------------------------------------------------
UT |  1   2   3   4   5   6   7   8   9  10  11  12  13  14  15


   |   December 2011
UT | 16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
---+---------------------------------------------------------------
 0h| 25  43  26      33  20  22  27  24  29  15  13  19  11  19  22
 1 | 28  41  21      34  16  16  19  13  15   9  14  17  14  18  15
 2 | 20  32  39      21  15  20  41  10  16  16  18  21  15  13  19
 3 | 31  35  30      29  20  28  30   5  18  15  10  19  15  14  19
 4 | 27  31  24      30  19  22  27   5  23  15  11  19   9  13  15
 5 | 24  23  31      49  21  27  17  15  24  10  12  23  13  12  15
 6 | 15  25  29      24  22  20  30  21  25  17  18  28  22  14  12
 7 | 30  38  26      30  23  24  19  23  26  13  12  14  15  10  16
 8 | 22  21  23      18  21  23  22  19  16  15  13  11  17  13  13
 9 | 21  20  26      25  25  15  25  22  11  19  18  22      21  10
10 | 34  21  19      19  19  18  12  24  16  18  28  14  15  19  15
11 | 45  32  19      21  17  23  17  23  19  13  23  34  26  25  11
12 | 29  16   9  14  14  16  22  13  13  18  14  33  23  17  16  13
13 | 34  26  15  17   7  18  15  18  11   5  12  22  17  11  26  12
14 | 29  17   7  18  28  13  14  23  16  10   8  33  30   9  19   6
15 | 26  17  11  13  15  18  21  11  16   6  13  27   7  12  15   9
16 | 25  11  11   9  13  23  30   8  14  11   5  22   8   8  12  18
17 | 29   9   5  13  11  11  29  12  11   5  10   8  12   6   6  10
18 | 32  22      29   7  10  39  17   9   4  10  13  10   6   9   6
19 | 22  18      37  33  15  42   8   4   8   8  17   8   9  15   6
20 | 28  24      13  21  18  33  14   3   9   6  18   8   9  13  12
21 | 33  25      17  13  23  41  16   9   9   6  21  20   7  15  13
22 | 31  17      31  11  18  28  22  17   2  15  26  13  12  14  16
23 | 42  30      32  15  16  31  21  24  17   8  17  10  17  22  15
---+---------------------------------------------------------------
UT | 16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
