Observer:    Jeff Brower
Location:  West  Kelowna, British Columbia, Canada (49 51' N, 119 34' W) at 427 meters
Receiver:    ICOM PCR-1000 CW mode
Sensitivity: 0.32 uV for 10 dB S/N  for CW mode
Antenna:     5 el log periodic Azimuth 90 (East)
Frequency:   61.240 MHz
Transmitter: Multiple 100 kW
Computer:    Linux - WINE
Data sampling system: Spectrum Lab

                 Meteor reflections/hour

   |                     2017-08
UT |   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
---+------------------------------------------------------------
 0 |  56  72  74  46  62  72  31  73  91  75  45  95  82  79  31
 1 |  66  77  79  78  88  70  44  62  76 101  66 107  89 104  35
 2 |  81  90  90  89  82  79  54  82 101 110  76 105  96  90  37
 3 | 108  75  90  67 105  77  77 100  92 102  78 142 125 113  73
 4 | 123 100 104  87  99 105 126  95  85 119 119 128 132 119  57
 5 | 141  91 128 109 106 132  92 102 113 121 103 122 150 120  56
 6 | 157 144  97 124 127 161 143 119 138 111 131 153 178 117 104
 7 | 176 141 134 130 124 155 161 127 118  78 123 200 208 130 123
 8 | 190 143 152 148 123 166 135 147  89  89 126 174 205 127 132
 9 | 165 139 124 158 124 130 111 153  58  78 119 181 217 134 148
10 | 154 125 114 178 111 139  99 142  82  85 100 121 218 100 119
11 | 134 101  87 156 119 113 113 118  84  89 137 144 195  91  91
12 | 113  67  65 111  91 109  99 128  70 117 127 171 211  84  94
13 | 110  45  83  74  87  94  77 102  67  99  92 163 174  61  53
14 | 111  79  67 106  86  90 102  84  58  69 100 165 189  56 110
15 |  89 100  70 106 111  90  99  95  80 110 104 192 173 102  84
16 | 105 110  68 122  80  94  92  91 102  97 134 155 174  94  45
17 |  88  76  96 101 124 102  55  89 118 105 152 165 149 110  60
18 |  82  65  61  65  90 101  71  95  73  97  86 122 132 103  58
19 |  47  53  43  56  52  67  90  93  44  54  59  99 103  80  51
20 |  41  30  41  47  49  53  69  85  61  68  82  97  92  75  55
21 |  70  56  57  67  52  41  72  66  46  61  71  81  83  62  48
22 |  63  40  30  41  53  32  63  42  40  63  68  85  88  36  46
23 |  50  46  39  31  53  40  70  64  53  48  59  89  71  32  55
---+------------------------------------------------------------
UT |   1   2   3   4   5   6   7   8   9  10  11  12  13  14  15
   |                    2017-08


   |                    2017-08
UT |  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
---+----------------------------------------------------------------
 0 |  64  61  46  48  26  45  45  17  30  22  40  39  52  48  28  34
 1 |  73  60  62  68  42  28  35  29  48  24  46  40  50  68  49  32
 2 |  98  51  53  56  42  36  49  31  35  55  43  48  56  56  53  58
 3 |  79  87  55  69  44  47  50  31  31  76  31  49  65  60  35  65
 4 |  74  97 109  74  50  53  39  34  43  67  66  64  42  70  40  66
 5 |  96  94 106 122  52  49  26  37  57  88  68  50  37  68  43  67
 6 | 139 129 122 123  50  47  42  56  49 102  86  40  54  48  64  71
 7 | 115 191 115  96  63  64  38  56  47  67  84  63  53  49  75  69
 8 | 129  91 147  70  53  42  45  49  41  48  68  69  63  69  86 100
 9 |  89 175 125  62  45  52  54  43  42 102  66  73  66  65  30  65
10 |  62 125  96  81  33  41  46  46  35  91  71  88  76  71  48  48
11 |  77  85  91  66  30  36  46  29  48  68  68 104 111  82  74  87
12 |  88  79 101  67  65  45  38  40  52  56  86  61 119  79 101  96
13 |  86  80  80  91  43  55  57  41  49  72  69  53  81  48  86  29
14 |  69  79  98  53  60  45  22  44  37  70  60  50  53  47  59  30
15 |  58  69  69  57  37  58  32  49  48  49  60  65  39  49  48  43
16 |  61 103  76  88  47  41  41  40  45  55  50  75  43  54  22  38
17 |  59  96  70  70  33  46  42  40  50  48  35  49  57  44  23  46
18 |  66 102  50  51  35  47  43  26  48  55  33  71  30  48  38  40
19 |  65  56  46  55  29  44  25  27  33  30  35  60  31  62  40  38
20 |  54  48  38  49  31  32  22  37  35  18  47  25  35  --  26  36
21 |  58  51  33  38  23  33  22  32  18  35  46  36  30  --  26  36
22 |  50  66  37  34  33  40  21  20  25  26  27  36  31  --  29  40
23 |  49  59  52  32  32  33  16  22  24  29  27  45  39  --  46  32
---+----------------------------------------------------------------
UT |  16  17  18  19  20  21  22  23  24  25  26  27  28  29  30  31
   |                    2017-08

Notes:
-- = System Down
Es = Sporadic E
