Dec| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1| 44 | 53 | 66 | 73 | 95 | 78 | 71 | 57 | 32 | 37 | 31 | 34 | 19 | 25 | 23 | 25 | 21 | 17 | 12 | 24 | 29 | 34 | 47 | 51 |
  2| 79 | 82 | 73 | 88 | 95 |103 | 64 | 78 | 29 | 21 | 21 | 23 | 21 | 15 | 19 | 19 | 19 | 10 | 23 | 23 | 23 | 41 | 41 | 35 |
  3| 62 | 62 | 80 | 86 | 88 | 83 | 49 | 58 | 58 | 31 | 23 | 25 | 18 | 13 | 19 | 11 | 25 | 15 | 26 | 19 | 19 | 39 | 37 | 43 |
  4| 80 | 72 | 76 | 96 | 93 | 90 | 71 | 40 | 23 | 22 | 13 | 19 | 28 | 16 | 15 | 17 | 15 | 21 | 14 | 17 | 24 | 38 | 37 | 27 |
  5| 44 | 78 | 78 | 73 | 80 | 92 | 62 | 40 | 19 | 25 | 32 | 24 | 23 | 17 | 20 | 18 | 28 | 18 | 11 | 19 | 30 | 41 | 47 | 60 |
  6| 72 | 60 | 75 | 84 | 80 | 77 | 63 | 53 | 17 | 24 | 15 | 22 | 38 | 31 | 24 | 33 | 29 | 21 | 24 | 24 | 37 | 49 | 54 | 48 |
  7| 76 |104 | 84 |102 | 84 | 51 | 30 | 26 | 22 | 36 | 37 | 27 | 17 | 32 | 31 | 16 | 16 | 18 | 16 | 18 | 31 | 56 | 56 | 52 |
  8| 73 | 75 | 84 | 80 | 85 | 67 | 39 | 38 | 31 | 28 | 30 | 18 | 22 | 32 | 18 | 14 | 16 | 19 | 10 | 16 | 32 | 47 | 62 | 39 |
  9| 56 | 76 | 94 | 95 | 82 | 85 | 41 | 37 | 22 | 26 | 23 | 21 | 23 | 22 | 17 | 12 | 14 | 15 | 11 | 24 | 32 | 45 | 59 | 55 |
 10| 58 | 75 | 69 | 89 |103 | 92 | 48 | 57 | 30 | 15 | 14 | 26 | 26 | 16 | 19 | 22 | 13 | 14 | 24 | 19 | 39 | 75 | 62 | 68 |
 11| 99 | 76 | 89 | 98 |125 | 98 | 66 | 43 | 34 | 15 |  4 |  6 |  8 |  8 | 13 |  9 |  8 | 19 | 37 | 35 | 35 | 55 | 94 |107 |
 12|133 |123 |107 |124 |158 |125 | 85 | 83 | 73 | 58 | 36 | 33 | 24 | 18 | 20 | 17 | 25 | 35 | 38 | 50 | 78 | 90 |118 |146 |
 13|239 |140 |139 |185 |171 |110 |103 |101 | 52 | 61 | 56 | 56 | 45 | 37 | 14 | 23 | 23 | 39 | 46 | 69 |107 |136 |150 |195 |
 14|271 |212 |188 |200 |211 |123 |102 | 96 | 67 | 49 | 40 | 21 | 23 | 28 | 24 | 37 | 22 | 31 | 45 | 52 | 37 | 63 | 67 | 91 |
 15|115 | 74 | 94 |124 |137 |101 | 73 | 35 | 38 | 35 | 26 | 22 | 18 | 20 | 15 | 13 | 17 | 17 | 10 | 15 | 16 | 26 | 44 | 32 |
 16| 65 | 74 | 92 | 87 | 88 | 98 | 51 | 35 | 42 | 26 | 19 | 18 | 19 | 18 | 14 | 11 |  8 | 21 | 14 | 22 | 24 | 35 | 35 | 47 |
 17| 63 | 93 | 88 | 97 |114 | 87 | 42 | 52 | 30 | 17 | 21 | 15 | 17 | 28 | 15 |  9 | 13 |  8 | 10 | 19 | 25 | 36 | 66 | 83 |
 18| 78 | 87 | 93 | 93 |103 |103 | 69 | 47 | 27 | 29 | 27 | 25 | 30 | 25 | 30 | 11 | 12 | 18 |  9 | 19 | 33 | 28 | 26 | 40 |
 19| 46 | 72 | 78 | 77 | 82 | 90 | 47 | 53 | 38 | 27 | 22 | 27 | 15 | 19 | 16 | 15 | 16 | 13 | 11 | 11 | 14 | 37 | 35 | 49 |
 20| 68 | 88 | 88 | 98 | 99 | 96 | 61 | 33 | 43 | 24 | 30 | 36 | 27 | 33 | 15 | 21 | 35 | 19 | 13 | 25 | 22 | 35 | 38 | 41 |
 21| 53 | 45 | 52 | 57 | 51 | 57 | 48 | 49 | 61 | 51 | 27 | 29 | 21 | 32 | 23 | 25 | 31 | 22 | 26 | 21 | 35 | 42 | 37 | 45 |
 22| 67 | 95 | 93 |105 |112 |100 | 61 | 46 | 47 | 47 | 46 | 52 | 51 | 36 | 45 | 28 | 34 | 34 | 24 | 19 | 29 | 22 | 35 | 49 |
 23| 71 | 71 | 66 | 80 | 93 | 69 | 41 | 34 | 31 | 35 | 29 | 30 | 36 | 23 | 23 | 17 | 18 | 13 | 11 | 21 | 22 | 26 | 33 | 41 |
 24| 43 | 61 | 85 | 87 | 94 | 83 | 72 | 49 | 46 | 28 | 22 | 26 | 30 | 13 | 15 | 20 | 13 | 13 | 19 | 30 | 24 |??? |??? |??? |
 25|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 26|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 27|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 28|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 29|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 30|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |
 31|??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |??? |

