Aug| 00h| 01h| 02h| 03h| 04h| 05h| 06h| 07h| 08h| 09h| 10h| 11h| 12h| 13h| 14h| 15h| 16h| 17h| 18h| 19h| 20h| 21h| 22h| 23h|
  1|  4 |  5 | 11 |  5 |  8 |  4 |  3 | 13 |  3 |  5 |  3 |  3 |  0 |  2 |  1 |  0 |  0 |  0 |  2 |  2 |  1 |  2 |  2 | 11 |
  2|  6 |  4 |  6 | 12 |  6 |  5 |  6 |  1 |  3 |  3 |  4 |  3 |  2 |  3 |  3 |  1 |  1 |  1 |  2 |  2 |  3 |  1 |  5 |  2 |
  3|  7 | 11 | 10 | 18 |  9 |  7 |  5 | 10 |  4 |  5 |  6 |  2 |  5 |  4 |  4 |  3 |  2 |  1 |  1 |  1 |  0 |  1 |  4 |  3 |
  4|  3 |  8 | 16 |  9 |  6 |  5 |  5 |  9 |  3 |  5 |  3 |  2 |  5 |  2 |  2 |  3 |  0 |  1 |  0 |  4 |  0 |  4 |  2 |  5 |
  5|  3 | 10 |  7 |  9 | 12 |  8 |  6 |  6 | 10 |  8 |  4 |  2 |  4 |  0 |  4 |  4 |  2 |  2 |  1 |  0 |  4 |  3 |  1 |  5 |
  6|  3 |  4 |  4 |  8 |  7 |  3 |  6 |  3 |  4 |  7 |  3 |  5 |  3 |  2 |  1 |  0 |  3 |  2 |  0 |  0 |  3 |  5 |  7 |  6 |
  7|  6 | 10 |  7 | 12 | 15 | 14 | 11 |  9 | 11 | 10 |  5 |  3 |  2 |  3 |  4 |  5 |  1 |  3 |  0 |  2 |  7 |  3 |  2 |  8 |
  8|  4 |  3 |  7 | 10 | 12 | 13 |  9 | 10 |  7 | 11 |  4 |  3 |  3 |  3 |  3 |  4 |  2 |  1 |  0 |  2 |  0 |  3 |  5 |  5 |
  9| 15 |  9 | 11 |  9 |  7 | 10 | 11 | 13 | 12 | 14 |  6 | 12 |  4 |  6 |  1 |  3 |  5 |  5 |  1 |  1 |  6 |  2 | 10 |  6 |
 10|  8 | 11 | 13 | 12 | 14 |  8 |  6 |  6 | 17 |  6 |  5 |  4 |  7 |  2 |  6 |  2 |  4 |  1 |  3 |  1 |  5 |  4 |  9 |  6 |
 11|  4 |  9 | 22 | 12 | 11 | 12 | 13 | 11 |  7 |  8 |  6 |  5 | 10 |  4 |  5 |  0 |  4 |  4 |  2 |  1 |  7 |  4 |  8 | 11 |
 12| 16 | 12 | 19 | 24 | 24 | 16 | 16 | 15 | 13 | 12 |  9 |  8 |  8 |  1 |  7 |  5 |  8 |  4 |  6 | 10 |  7 | 10 | 10 | 14 |
 13| 21 | 30 | 48 | 57 | 40 | 30 | 25 | 40 | 26 | 28 | 21 | 18 |  9 | 13 | 10 | 10 | 10 |  5 |  6 |  4 |  5 |  7 | 17 | 15 |
 14| 21 | 27 | 27 | 48 | 51 | 29 | 26 | 33 | 35 | 25 | 22 | 19 | 15 | 13 |  8 |  9 |  3 | 11 |  7 |  3 |  4 |  3 | 15 |  5 |
 15|  8 |  7 | 10 | 20 | 15 |  7 |  7 | 10 |  6 |  6 |  8 | 13 |  8 |  2 |  4 |  4 |  3 |  5 |  2 |  3 |  3 |  2 |  7 |  6 |
 16|  4 |  3 |  7 | 12 | 12 |  8 |  7 |  6 |  7 |  2 |  2 |  3 |  5 |  3 |  4 |  2 |  2 |  4 |  3 |  1 |  1 |  2 |  3 |  3 |
 17|  9 |  3 | 10 |  8 |  7 | 12 |  5 |  3 |  4 |  3 |  9 |  2 |  2 |  2 |  3 |  3 |  3 |  0 |  3 |  2 |  3 |  2 |  3 |  5 |
 18|  5 |  2 | 12 |  9 | 13 |  8 |  4 |  6 |  5 |  4 |  3 |  2 |  8 |  3 |  4 |  0 |  3 |  4 |  3 |  0 |  3 |  2 |  2 |  1 |
 19|  5 |  2 |  6 |  8 | 10 |  8 |  7 |  4 |  2 |  5 |  1 |  3 |  3 |  0 |  0 |  1 |  2 |  1 |  1 |  2 |  3 |  0 |  1 |  6 |
 20|  3 | 10 |  3 | 10 |  3 |  5 |  7 |  5 |  7 |  2 |  6 |  1 |  1 |  1 |  3 |  5 |  4 |  3 |  1 |  3 |  0 |  0 |  2 |  1 |
 21|  4 |  8 |  9 |  8 |  6 |  2 |  9 |  6 |  8 |  4 |  2 |  1 |  2 |  0 |  1 |  1 |  1 |  0 |  2 |  2 |  1 |  3 |  1 |  4 |
 22|  4 |  4 |  2 |  3 |  4 |  2 |  1 |  3 |  2 |  1 |  1 |  0 |  1 |  2 |  0 |  1 |  3 |  1 |  1 |  2 |  0 |  3 |  4 |  7 |
 23|  2 |  5 |  7 |  3 |  3 |  4 |  4 |  2 |  4 |  4 |  2 |  4 |  0 |  2 |  1 |  1 |  0 |  0 |  4 |  1 |  1 |  2 |  0 |  4 |
 24|  2 |  1 |  2 |  1 |  1 |  5 |  3 |  1 |  3 |  6 |  3 |  1 |  1 |  2 |  2 |  2 |  2 |  3 |  1 |  2 |  1 |  2 |  3 |  4 |
 25|  3 |  6 |  2 |  1 |  5 |  6 |  4 |  3 |  5 |  2 |  4 |  1 |  1 |  2 |  4 |  1 |  3 |  3 |  3 |  1 |  1 |  1 |  4 |  4 |
 26|  2 |  2 |  5 |  3 |  7 |  3 |  4 |  6 |  3 |  1 |  3 |  2 |  2 |  3 |  1 |  2 |  0 |  1 |  3 |  1 |  1 |  0 |  2 |  2 |
 27|  1 |  6 |  7 |  5 |  3 |  3 |  1 |  5 |  3 |  6 |  2 |  3 |  5 |  0 |  3 |  3 |  2 |  1 |  1 |  2 |  0 |  3 |  4 |  5 |
 28|  5 |  5 |  1 |  1 |  4 |  6 |  6 |  3 |  5 |  2 |  3 |  2 |  0 |  0 |  1 |  0 |  1 |  2 |  1 |  4 |  3 |  3 |  3 |  5 |
 29|  6 |  5 |  5 |  4 |  3 |  6 |  4 |  3 |  4 |  6 |  0 |  0 |  1 |  1 |  1 |  0 |  3 |  0 |  0 |  1 |  0 |  0 |  3 |  4 |
 30|  3 |  0 |  3 |  4 |  3 |  2 |  4 |  0 |  2 |  4 |  1 |  3 |  2 |  0 |  1 |  1 |  1 |  2 |  1 |  1 |  0 |  0 |  1 |  2 |
 31|  0 |  3 |  1 |  2 |  3 |  3 |  5 |  3 |  2 |  6 |  3 |  3 |  2 |  1 |  2 |  5 |  4 |  1 |  4 |  4 |  0 |  3 |  1 |  7 |

